N	3gram	Propp_Isto	Problema
1	тем не менее	6	56
2	о том что	3	39
3	в том что	8	37
4	и т д	30	33
5	в связи с	5	29
6	в данном случае	6	28
7	во всяком случае	2	25
8	с другой стороны	10	25
9	содержит в себе	2	23
10	и то что	4	20
11	на то что	4	19
12	точно так же	8	16
13	до сих пор	7	14
14	не что иное	6	14
15	в этом случае	8	14
16	что иное как	6	14
17	можно было бы	2	13
18	не может быть	4	12
19	в то время	2	12
20	можно сказать что	2	12
21	то время как	2	12
22	есть не что	2	11
23	с одной стороны	2	11
24	не только не	2	10
25	не только в	3	10
26	мы не будем	2	8
27	к тому же	4	7
28	но и в	2	7
29	это и есть	2	7
30	и в других	3	6
31	же как и	3	5
32	так же как	7	5
33	как мы видели	7	4
34	в одном случае	5	4
35	в таких случаях	2	4
36	но все же	5	4
37	мы видели выше	2	4
38	в этих случаях	13	4
39	в другом случае	3	4
40	подобно тому как	3	4
41	только в связи	2	4
42	в тех случаях	2	3
43	мы здесь не	2	3
44	после того как	3	3
45	чем перейти к	2	3
46	во всем мире	3	3
47	мы увидим ниже	3	3
48	как и в	2	3
49	здесь мы имеем	3	3
50	что и в	3	3
51	как мы увидим	2	3
52	тех случаях когда	2	3
53	том что в	2	3
54	мы уже видели	3	3
55	что в данном	2	3
56	по сравнению с	2	3
57	мы имеем в	4	2
58	и здесь мы	2	2
59	не будем здесь	2	2
60	в других случаях	2	2
61	по отношению к	2	2
62	одной и той	2	2
63	ни один из	2	2
64	но тем не	2	2
65	еще не вполне	2	2
66	что и здесь	2	2
67	и той же	2	2
68	а именно на	2	2
69	и тем что	2	2
70	не просто в	2	2
