N	2gram	Bakhtin_fo	Problema
1	и в	84	182
2	то есть	42	165
3	и не	19	152
4	вовсе не	20	145
5	то что	13	144
6	не только	16	104
7	потому что	11	89
8	в этом	41	88
9	может быть	18	82
10	том что	7	81
11	в том	16	81
12	только в	12	73
13	сказать что	4	72
14	но и	14	70
15	у нас	2	68
16	также и	6	68
17	и даже	5	66
18	по себе	3	64
19	о том	4	57
20	так и	17	56
21	а не	7	56
22	но в	16	55
23	так что	4	52
24	ни в	9	51
25	для нас	2	50
26	и вообще	3	48
27	отнюдь не	7	48
28	в себе	7	48
29	смысле слова	4	47
30	было бы	2	46
31	в своей	2	45
32	прежде всего	28	45
33	что в	9	44
34	в его	19	44
35	все эти	12	43
36	не в	10	43
37	таким образом	14	42
38	как раз	13	42
39	то же	18	42
40	если мы	2	42
41	так как	12	40
42	что мы	2	40
43	и то	5	40
44	что он	2	40
45	не может	8	39
46	в этой	3	39
47	во всяком	5	39
48	как бы	11	39
49	той или	3	38
50	в данном	4	38
51	хотя бы	2	37
52	того что	5	37
53	в нем	28	37
54	еще не	8	36
55	точки зрения	14	36
56	и все	10	36
57	и т	21	35
58	когда мы	2	35
59	в виду	5	34
60	и с	10	34
61	как и	15	34
62	уже не	5	34
63	не является	4	33
64	или иной	4	33
65	в таком	4	33
66	т д	3	33
67	же самое	2	33
68	в то	13	32
69	здесь не	5	32
70	но не	9	32
71	в своем	8	31
72	в конце	11	31
73	связи с	14	31
74	все это	10	31
75	так же	7	31
76	ясно что	2	30
77	с другой	4	30
78	и для	12	30
79	как мы	19	29
80	все же	12	29
81	об этом	3	29
82	в связи	13	29
83	можно сказать	2	29
84	данном случае	2	28
85	есть только	2	28
86	мы не	4	28
87	а в	6	28
88	и как	12	27
89	ничего не	9	27
90	и это	5	27
91	хотя и	5	27
92	еще и	3	26
93	в результате	6	26
94	вместе с	9	26
95	это не	8	26
96	да и	4	26
97	и его	26	26
98	с точки	9	25
99	и на	13	25
100	мы можем	2	25
101	тем более	4	24
102	не имеет	5	24
103	с тем	5	24
104	в нашем	3	24
105	а только	2	23
106	только и	5	23
107	мы находим	2	23
108	есть не	4	23
109	при этом	8	23
110	в качестве	6	23
111	по своему	3	23
112	никогда не	8	22
113	и является	2	22
114	его в	8	22
115	и есть	3	22
116	только на	3	22
117	нет ничего	4	22
118	значит что	2	22
119	вещи и	3	22
120	что и	5	22
121	и от	3	22
122	раз и	3	22
123	всех этих	9	22
124	есть в	3	22
125	и к	4	22
126	мы должны	2	21
127	и ее	4	21
128	а также	5	21
129	для себя	8	21
130	разного рода	2	21
131	в самом	9	21
132	и только	3	21
133	и потому	4	20
134	для того	12	20
135	именно в	5	20
136	о чем	4	20
137	или в	3	20
138	тем что	4	20
139	в отношении	5	19
140	в каком	2	19
141	то в	2	19
142	если бы	6	19
143	кроме того	7	19
144	это значит	3	19
145	если не	3	19
146	он не	6	19
147	с ним	5	19
148	уже в	5	19
149	самом деле	2	19
150	в них	11	19
151	как в	10	19
152	жизни и	12	19
153	того же	9	18
154	того чтобы	11	18
155	в ее	6	18
156	в этих	6	18
157	мы и	4	18
158	не было	8	18
159	в ней	4	18
160	что здесь	2	17
161	мы уже	17	17
162	значение и	7	17
163	и здесь	2	17
164	совсем не	4	17
165	что они	3	17
166	есть именно	2	17
167	совершенно не	3	17
168	во всех	13	17
169	к тому	6	16
170	но все	6	16
171	же в	6	16
172	в одно	3	16
173	далеко не	3	16
174	как это	2	16
175	самое время	3	16
176	в чем	3	15
177	здесь в	6	15
178	и более	3	15
179	всякого рода	3	15
180	в частности	11	15
181	у него	8	15
182	что не	3	15
183	с этим	11	15
184	в той	5	15
185	и сам	2	15
186	что все	4	14
187	в дальнейшем	10	14
188	людей и	2	14
189	сих пор	4	14
190	нас в	3	14
191	в котором	8	14
192	с другими	3	14
193	до сих	4	14
194	дело в	3	13
195	иной раз	2	13
196	здесь только	2	13
197	в других	9	13
198	в их	9	13
199	мы имеем	2	13
200	же и	2	13
201	сами по	2	13
202	из них	8	13
203	не являются	3	12
204	в которой	3	12
205	на первый	2	12
206	в другом	2	12
207	с одной	5	12
208	в самой	3	12
209	в целом	2	12
210	для них	3	12
211	в начале	3	12
212	в литературе	17	12
213	на земле	2	12
214	время как	5	12
215	в смысле	5	12
216	он сам	2	12
217	то время	4	12
218	не о	2	11
219	и следовательно	5	11
220	оказывается что	2	11
221	и во	13	11
222	в истории	6	11
223	вообще не	4	11
224	тот же	4	11
225	в таких	2	11
226	не могут	4	11
227	одной стороны	3	11
228	и у	8	11
229	по этому	2	11
230	жизни в	11	11
231	и их	11	11
232	не имеют	4	10
233	один из	5	10
234	быть и	4	10
235	быть только	4	10
236	слова и	4	10
237	ни с	3	10
238	в одном	10	10
239	внимание на	2	10
240	со всеми	4	10
241	но он	4	10
242	вопрос о	2	9
243	человеческой жизни	9	9
244	или как	5	9
245	само собой	2	9
246	тогда когда	2	9
247	в условиях	8	9
248	здесь как	3	9
249	в трагедии	3	9
250	здесь мы	4	9
251	которые в	2	9
252	она не	2	9
253	в буквальном	2	9
254	был бы	3	9
255	и до	7	9
256	только для	2	9
257	и наконец	6	9
258	с собой	2	9
259	их в	6	9
260	мы говорили	3	9
261	правда в	2	9
262	не был	2	9
263	но эта	5	9
264	однако не	2	9
265	нет и	4	9
266	именно как	4	9
267	в которых	4	9
268	что даже	2	9
269	это было	2	9
270	поэтому и	4	9
271	сколько угодно	2	9
272	и другие	6	9
273	жизнь и	4	9
274	в жизни	6	9
275	а потом	2	8
276	как он	4	8
277	между собой	5	8
278	от этого	4	8
279	и по	5	8
280	никто не	2	8
281	для него	5	8
282	и нет	2	8
283	значение в	5	8
284	с этой	3	8
285	себе и	4	8
286	входит в	3	8
287	является не	2	8
288	тем же	3	8
289	это то	2	8
290	для всех	3	8
291	том как	2	8
292	вплоть до	3	8
