N	2gram	Tiupa_Teor	Morfolog
1	может быть	22	61
2	таким образом	3	26
3	могут быть	5	21
4	мы имеем	7	19
5	не может	8	19
6	в этом	12	18
7	в этих	4	17
8	представляет собой	13	17
9	и в	24	17
10	и не	17	16
11	перед нами	3	14
12	прежде всего	3	14
13	и др	3	12
14	связи с	3	12
15	а не	14	11
16	то же	12	10
17	в том	20	10
18	не всегда	2	10
19	то что	6	10
20	так и	14	10
21	что в	10	10
22	что и	2	10
23	а затем	2	10
24	в связи	3	10
25	но и	14	9
26	с другой	9	9
27	не только	24	8
28	но не	13	8
29	а в	15	8
30	имеем в	3	8
31	в качестве	33	8
32	не могут	2	7
33	том что	11	7
34	если в	2	7
35	по отношению	10	7
36	тем не	3	7
37	не менее	6	7
38	отношению к	10	7
39	как это	10	7
40	а также	7	7
41	и здесь	2	7
42	точки зрения	11	7
43	во втором	3	7
44	один из	2	7
45	потому что	3	7
46	это не	4	6
47	не все	3	6
48	во всех	3	6
49	и как	3	6
50	или в	3	6
51	и другие	2	6
52	подобно тому	3	6
53	в нашем	4	6
54	о том	2	6
55	если мы	2	6
56	с точки	3	6
57	в форме	4	6
58	как бы	8	6
59	вовсе не	3	6
60	и ее	4	5
61	вслед за	3	5
62	об этом	2	5
63	в ходе	5	5
64	со стороны	6	5
65	что он	4	5
66	как в	5	5
67	далеко не	4	5
68	тому что	2	5
69	к тому	4	5
70	из которых	2	5
71	между тем	5	5
72	в целом	4	5
73	другой стороны	6	5
74	между собой	3	5
75	тому как	3	5
76	все эти	3	5
77	что они	2	5
78	он не	5	5
79	в первом	2	5
80	хотя и	4	5
81	сказать что	4	4
82	его в	4	4
83	так же	2	4
84	в то	9	4
85	подобных случаях	2	4
86	не является	5	4
87	еще не	6	4
88	могла бы	2	4
89	самом деле	2	4
90	но в	12	4
91	на котором	2	4
92	и для	3	4
93	как и	6	4
94	входит в	4	4
95	уже не	6	4
96	и к	3	4
97	на этом	2	4
98	несмотря на	2	4
99	того чтобы	5	4
100	о его	2	4
101	говорить о	4	4
102	и наоборот	2	4
103	никто не	3	4
104	случае не	2	4
105	быть названо	2	4
106	то в	2	3
107	а и	5	3
108	но как	2	3
109	здесь не	2	3
110	в которой	3	3
111	а на	3	3
112	то ни	2	3
113	это было	2	3
114	если бы	3	3
115	это и	2	3
116	и тем	5	3
117	он должен	3	3
118	не в	9	3
119	к герою	2	3
120	для того	5	3
121	героя и	6	3
122	с этой	3	3
123	у нас	2	3
124	в пределах	5	3
125	в какой	2	3
126	того что	5	3
127	приводит к	6	3
128	здесь мы	2	3
129	как уже	2	3
130	ее в	2	3
131	к нему	2	3
132	ни в	5	3
133	что такое	2	3
134	состоит в	22	3
135	в большинстве	2	3
136	к чему	2	3
137	вопрос что	2	3
138	и что	4	3
139	и по	3	3
140	и его	11	3
141	только в	9	3
142	в этой	3	3
143	бы то	2	3
144	с его	6	3
145	данном случае	5	2
146	в каком	2	2
147	герой не	3	2
148	не от	2	2
149	себя в	7	2
150	и иных	2	2
151	в данном	9	2
152	из этих	3	2
153	одной стороны	3	2
154	таких случаях	2	2
155	дело не	2	2
156	во второй	7	2
157	в глаза	2	2
158	в другом	4	2
159	и даже	2	2
160	или менее	6	2
161	что она	2	2
162	роль в	3	2
163	превращается в	2	2
164	не на	4	2
165	в частности	23	2
166	ни было	2	2
167	одним из	3	2
168	ни к	3	2
169	право на	2	2
170	на вопрос	2	2
171	в чем	2	2
172	не знает	4	2
173	с одной	3	2
174	в итоге	3	2
175	а с	3	2
176	не с	3	2
177	одной из	2	2
178	вытекает из	2	2
179	более или	6	2
180	их в	3	2
181	могли бы	2	2
182	оно не	2	2
183	быть и	2	2
184	не входит	2	2
185	однако все	2	2
186	а а	5	2
187	однако в	7	2
188	с другими	6	2
189	и больше	2	2
190	к другому	2	2
191	тогда как	18	2
192	себя и	2	2
193	все это	2	2
194	в основе	6	2
195	у него	2	2
196	как будто	2	2
197	например в	3	2
198	можно сказать	5	2
199	который в	2	2
200	для него	5	2
201	в одном	3	2
202	чем это	2	2
203	по своему	4	2
204	тем же	2	2
