N	2gram	Tiupa_Disk	EvropaiC
1	таким образом	4	34
2	в том	29	31
3	и в	27	24
4	том что	27	20
5	все эти	2	19
6	не может	17	18
7	то что	10	18
8	может быть	29	17
9	все же	8	15
10	точки зрения	6	14
11	в этом	29	13
12	все это	2	13
13	в своем	11	12
14	с этим	3	12
15	самом деле	2	12
16	между тем	5	12
17	по отношению	13	11
18	но и	22	11
19	отношению к	13	11
20	не только	36	10
21	так и	14	10
22	во всех	6	10
23	как и	27	10
24	как бы	9	10
25	в результате	3	9
26	и не	25	9
27	не в	8	9
28	что в	8	9
29	и все	5	9
30	того же	5	9
31	потому что	7	9
32	при этом	22	9
33	и что	2	9
34	из этих	3	8
35	или менее	2	8
36	чем у	2	8
37	к тому	6	8
38	более или	2	8
39	в самом	4	8
40	с точки	3	8
41	в силу	5	7
42	по своей	15	7
43	что он	6	7
44	того что	4	7
45	о котором	2	7
46	не менее	6	7
47	о том	12	7
48	что и	5	7
49	в этой	5	7
50	вместе с	3	7
51	в мире	9	6
52	отличается от	3	6
53	только в	9	6
54	еще не	20	6
55	что касается	2	6
56	в то	8	6
57	должна быть	2	6
58	с другой	14	6
59	и на	8	6
60	тогда как	28	6
61	что с	2	6
62	тому же	5	6
63	и от	2	5
64	но все	2	5
65	в себе	22	5
66	должно быть	2	5
67	к этому	4	5
68	в которой	2	5
69	как к	2	5
70	лишь в	4	5
71	из них	6	5
72	по своему	3	5
73	далеко не	10	5
74	но в	15	5
75	столь же	6	5
76	именно в	5	5
77	и без	2	5
78	и с	2	5
79	и к	4	5
80	другой стороны	5	5
81	в целом	5	5
82	в его	9	5
83	как будто	3	5
84	быть и	2	5
85	никогда не	3	4
86	и то	4	4
87	не могут	2	4
88	хотя бы	3	4
89	отношение к	6	4
90	целый ряд	2	4
91	и т.д	5	4
92	иначе говоря	5	4
93	то же	12	4
94	в их	5	4
95	в области	3	4
96	а с	8	4
97	одним из	2	4
98	между собой	2	4
99	этом случае	3	4
100	не есть	3	4
101	от современной	2	4
102	связи с	4	4
103	он не	4	4
104	хотя и	3	4
105	данном случае	6	3
106	и вообще	2	3
107	вопрос о	2	3
108	тем самым	6	3
109	это не	5	3
110	и потому	3	3
111	не подлежит	2	3
112	и до	2	3
113	в начале	2	3
114	в тех	2	3
115	каждый из	2	3
116	с этой	2	3
117	в этих	4	3
118	и наконец	2	3
119	одного и	5	3
120	вследствие этого	4	3
121	прежде всего	17	3
122	отличие от	13	3
123	с одной	12	3
124	одно из	4	3
125	в жизни	2	3
126	но не	17	3
127	и это	3	3
128	в данном	9	3
129	а в	5	3
130	может служить	2	3
131	на почве	3	3
132	в нем	16	3
133	в ней	2	3
134	не то	2	3
135	в сторону	4	3
136	ближе к	2	3
137	можно назвать	2	3
138	должны быть	3	3
139	различия между	3	3
140	и по	2	3
141	и может	3	3
142	в истории	5	3
143	во всем	2	3
144	в нашем	2	3
145	и того	6	3
146	заключается в	3	3
147	как мы	2	3
148	однако при	2	2
149	мы все	2	2
150	не от	2	2
151	только то	2	2
152	в процессе	6	2
153	но как	2	2
154	а к	3	2
155	к ним	3	2
156	одну из	2	2
157	и ее	5	2
158	то есть	29	2
159	в другом	5	2
160	свою очередь	3	2
161	на него	2	2
162	для себя	6	2
163	друг друга	2	2
164	однако это	3	2
165	как не	3	2
166	в виду	2	2
167	не было	9	2
168	из двух	5	2
169	в частности	18	2
170	же касается	4	2
171	не знает	4	2
172	в одно	2	2
173	к той	4	2
174	при отсутствии	2	2
175	рассматривать как	2	2
176	для него	9	2
177	есть в	3	2
178	том чтобы	2	2
179	ни для	4	2
180	также и	6	2
181	на том	2	2
182	они не	2	2
183	в котором	7	2
184	их в	2	2
185	я в	2	2
186	во втором	5	2
187	в своих	6	2
188	к своим	3	2
189	в свою	3	2
190	о них	2	2
191	что на	3	2
192	в которых	5	2
193	одной стороны	12	2
194	но для	2	2
195	к такому	2	2
196	на этом	3	2
197	отнюдь не	11	2
198	гораздо менее	3	2
199	в них	6	2
200	со своей	2	2
201	что же	4	2
202	всяком случае	2	2
203	жизни и	2	2
204	них в	2	2
205	сводится к	7	2
206	во всяком	3	2
207	говорить о	3	2
208	то с	2	2
209	себя и	2	2
210	не более	3	2
211	и его	4	2
212	в сущности	3	2
213	же время	9	2
214	с ее	3	2
215	и сам	2	2
216	не следует	4	2
217	в себя	7	2
218	той же	2	2
219	имеет место	4	2
220	в основе	11	2
221	и состоит	2	2
