N	2gram	Voloshinov	TeoriaLi
1	в качестве	4	33
2	в мире	2	26
3	не только	28	24
4	и в	42	24
5	в частности	3	23
6	то есть	5	22
7	может быть	13	22
8	в том	3	20
9	при этом	9	20
10	и не	14	17
11	а в	5	15
12	но и	16	14
13	так и	7	14
14	а не	7	14
15	в себе	10	14
16	но не	2	13
17	внутренней речи	18	13
18	представляет собой	2	13
19	в этом	10	12
20	то же	16	12
21	но в	5	12
22	в его	6	12
23	том что	3	11
24	точки зрения	11	11
25	и его	7	11
26	по отношению	2	10
27	лишь в	4	10
28	отношению к	2	10
29	как это	5	10
30	не в	6	9
31	в душе	2	9
32	в то	9	9
33	только в	7	9
34	не может	13	8
35	по своей	2	8
36	как бы	30	8
37	в своей	2	8
38	же время	7	8
39	или иной	6	7
40	мы имеем	2	7
41	себя в	4	7
42	отношение к	2	7
43	во второй	3	7
44	в области	6	7
45	в самом	5	7
46	однако в	2	7
47	место в	2	7
48	и т.п	25	7
49	в нем	6	7
50	тем самым	8	6
51	или иного	5	6
52	того или	5	6
53	в первой	2	6
54	еще не	3	6
55	то что	9	6
56	как и	12	6
57	с другими	2	6
58	уже не	4	6
59	между ними	3	6
60	в ее	3	6
61	в основе	3	6
62	с его	8	6
63	как в	3	5
64	в виду	3	5
65	и тем	7	5
66	не является	5	5
67	для того	9	5
68	в пределах	2	5
69	для него	3	5
70	высказывания в	3	5
71	между тем	3	5
72	того чтобы	7	5
73	того что	4	5
74	он не	2	5
75	можно сказать	4	5
76	художественного творчества	5	5
77	никогда не	7	4
78	сказать что	3	4
79	в отношении	2	4
80	его в	4	4
81	это не	3	4
82	в форме	6	4
83	этого слова	3	4
84	и т.д	21	4
85	в их	2	4
86	в этих	2	4
87	что он	2	4
88	по своему	3	4
89	к тому	4	4
90	речи и	6	4
91	слова в	6	4
92	в свою	6	4
93	в целом	4	4
94	языка в	2	4
95	или даже	2	4
96	и сам	2	4
97	отношения к	3	4
98	в нашем	5	4
99	не знает	3	4
100	в слове	4	4
101	хотя и	3	4
102	и то	5	3
103	перед нами	3	3
104	и потому	2	3
105	во всех	6	3
106	из этих	2	3
107	о чем	2	3
108	в которой	7	3
109	и для	3	3
110	человека с	2	3
111	общения людей	2	3
112	и как	10	3
113	если бы	4	3
114	к которому	2	3
115	роль в	3	3
116	или в	2	3
117	он должен	3	3
118	тот или	2	3
119	художественного высказывания	2	3
120	свою очередь	4	3
121	слова как	4	3
122	и вот	3	3
123	ни к	2	3
124	между собой	2	3
125	а с	5	3
126	не с	3	3
127	в жизни	2	3
128	или иных	3	3
129	их в	3	3
130	потому что	7	3
131	прежде всего	22	3
132	и к	4	3
133	отнюдь не	10	3
134	не будет	3	3
135	с точки	5	3
136	а на	2	3
137	все эти	3	3
138	той или	4	3
139	связи с	3	3
140	в связи	2	3
141	таким образом	8	3
142	тех или	4	3
143	в этой	6	3
144	и внешней	3	3
145	в одном	4	3
146	вовсе не	2	3
147	между двумя	2	3
148	одно и	6	2
149	еще и	2	2
150	в каком	2	2
151	значительной степени	2	2
152	для всех	2	2
153	слова не	2	2
154	так же	4	2
155	внешней речи	4	2
156	но как	2	2
157	формы высказывания	2	2
158	не всегда	2	2
159	человека и	2	2
160	о своем	3	2
161	как уже	2	2
162	об этом	3	2
163	и даже	3	2
164	в конце	6	2
165	и здесь	3	2
166	либо в	2	2
167	я и	2	2
168	времени и	2	2
169	в значительной	2	2
170	высказывания как	3	2
171	у нас	4	2
172	к своему	4	2
173	только на	3	2
174	вследствие этого	3	2
175	своей жизни	5	2
176	самом деле	5	2
177	между внутренней	2	2
178	вместе с	5	2
179	в какой	2	2
180	при всем	2	2
181	здесь мы	3	2
182	одной из	2	2
183	к нему	2	2
184	внутренней и	3	2
185	и является	5	2
186	и это	8	2
187	тому что	5	2
188	о том	4	2
189	что такое	4	2
190	высказывания не	2	2
191	или иную	4	2
192	мы легко	3	2
193	если мы	4	2
194	должен быть	2	2
195	и на	7	2
196	к чему	2	2
197	из которых	3	2
198	один из	4	2
199	несмотря на	3	2
200	здесь не	2	2
201	в той	5	2
202	мы в	3	2
203	что и	3	2
204	ту или	4	2
205	перед ним	3	2
206	и больше	2	2
207	высказывания и	3	2
208	во внутренней	4	2
209	не просто	4	2
210	все это	4	2
211	тем же	4	2
212	при условии	2	2
