N	2gram	Nazirov_Vr	Myshleni
1	в том	3	195
2	в этом	8	167
3	то что	7	166
4	и в	8	162
5	том что	3	161
6	таким образом	2	147
7	точки зрения	2	143
8	что в	7	119
9	не только	9	116
10	так же	4	100
11	может быть	4	89
12	с точки	2	89
13	что он	4	86
14	не может	2	81
15	как и	6	79
16	и не	5	78
17	но и	7	70
18	в его	3	67
19	как бы	4	64
20	вместе с	2	62
21	и что	8	60
22	то же	5	58
23	тем что	3	48
24	на основе	2	47
25	же как	2	43
26	о том	4	40
27	никогда не	2	39
28	в этой	2	37
29	в своем	3	36
30	и его	3	36
31	он не	3	35
32	в себе	2	35
33	и как	3	34
34	связи с	3	34
35	при этом	4	33
36	но в	6	32
37	и то	2	31
38	все же	6	31
39	на то	3	30
40	между тем	5	29
41	в своей	2	27
42	в то	5	27
43	и с	6	27
44	для него	2	26
45	все это	4	25
46	еще не	2	25
47	уже в	4	25
48	это не	4	25
49	в чем	3	25
50	мы знаем	2	24
51	целый ряд	4	24
52	в нем	6	24
53	в известном	2	22
54	столь же	2	22
55	отношение к	2	21
56	в истории	4	21
57	его в	3	21
58	к этому	3	21
59	и все	7	21
60	и ее	2	21
61	в котором	6	20
62	в виду	4	20
63	а в	2	20
64	из них	2	20
65	как раз	2	20
66	не менее	2	20
67	с ним	4	19
68	в той	2	19
69	а с	2	19
70	в связи	3	19
71	но это	2	18
72	в своих	4	17
73	в свою	2	17
74	их в	2	17
75	я не	3	17
76	у него	5	17
77	для нас	4	16
78	и даже	6	16
79	тем более	2	15
80	но как	2	15
81	том же	2	15
82	в начале	6	15
83	и это	2	15
84	в них	2	15
85	и во	3	14
86	что у	3	14
87	о чем	2	14
88	об этом	5	14
89	с его	3	14
90	одним из	3	14
91	отнюдь не	2	13
92	несмотря на	4	12
93	в ней	4	12
94	на первый	2	12
95	но он	3	12
96	в конце	3	11
97	ответ на	2	11
98	раз в	3	11
99	наряду с	3	11
100	отношения к	2	11
101	речь идет	3	10
102	в нашей	2	10
103	и т.п	2	10
104	и у	3	10
105	в момент	2	9
106	и он	2	9
107	место в	2	9
108	во время	2	8
109	в этот	3	8
110	в эту	2	8
111	что я	2	8
112	не мог	2	8
113	при помощи	2	7
114	а также	2	7
115	на место	2	7
116	же в	2	7
117	это в	2	7
118	его и	2	7
119	он сам	2	7
120	его с	2	7
121	начиная с	2	6
122	уже не	2	6
123	его на	2	6
124	и о	3	6
125	по нашему	3	6
126	этот момент	2	6
127	одна из	2	6
128	с которым	2	6
129	о которой	2	5
130	в него	2	5
131	что к	2	5
132	эти слова	3	5
133	к ним	2	5
134	по мнению	2	5
135	человека с	2	5
136	рядом с	2	4
137	в одну	2	4
138	мысль на	3	4
139	что есть	3	4
140	не было	5	4
141	как же	2	3
142	после этого	2	3
143	тогда как	2	3
144	на это	2	3
145	же не	2	3
146	далеко не	3	3
147	в период	2	3
148	в это	2	3
149	о нем	6	3
150	об этой	2	3
151	чтобы он	3	3
152	же время	5	3
153	могли быть	2	2
154	в эти	2	2
155	с нею	2	2
156	в мире	2	2
157	друга при	2	2
158	о влиянии	2	2
159	очень хорошо	2	2
160	который был	3	2
161	к себе	2	2
162	пришел к	2	2
163	он был	3	2
164	и уже	3	2
165	я хотел	3	2
166	время и	2	2
167	сказал он	2	2
