N	2gram	Bakhtin_Fr	NovoeSre
1	и в	105	16
2	не может	9	16
3	нового времени	17	12
4	и не	34	11
5	истории и	2	9
6	в эпоху	17	9
7	что в	4	9
8	жизни и	14	8
9	в том	17	8
10	он не	3	8
11	может быть	11	7
12	средние века	12	7
13	как и	15	7
14	в новой	2	7
15	в этом	22	7
16	культуры и	11	7
17	никогда не	11	6
18	лишь в	4	6
19	не в	4	6
20	не знает	6	6
21	но это	5	6
22	с его	9	6
23	не только	24	5
24	в жизни	7	5
25	все это	16	5
26	в нем	16	5
27	с ее	3	5
28	в ней	7	5
29	и к	7	5
30	культуры в	4	5
31	xix века	6	5
32	не во	2	4
33	по своему	9	4
34	в них	13	4
35	xix и	2	4
36	и для	3	4
37	прежде всего	26	4
38	не менее	2	4
39	не было	3	4
40	и потому	14	4
41	перестает быть	3	4
42	то что	7	4
43	о том	5	4
44	новое время	4	4
45	это не	4	4
46	потому что	6	4
47	и все	7	4
48	тому как	2	3
49	но и	20	3
50	к жизни	2	3
51	подобно тому	2	3
52	с другой	3	3
53	в ее	5	3
54	она не	2	3
55	духа и	3	3
56	к тому	3	3
57	и пр	5	3
58	жизни в	8	3
59	в своей	8	3
60	еще не	8	3
61	в истории	5	3
62	человека и	4	3
63	эти формы	5	3
64	в новое	5	3
65	как в	6	3
66	конечно не	2	3
67	за пределы	10	3
68	в духе	9	3
69	сказать что	12	3
70	во всех	13	3
71	в наши	2	3
72	это было	2	3
73	наряду с	2	3
74	в основе	8	3
75	и начало	3	3
76	в средние	13	3
77	в себе	7	2
78	для нового	2	2
79	и с	8	2
80	одна из	5	2
81	формы и	7	2
82	культура средневековья	4	2
83	но не	7	2
84	нет и	2	2
85	и т.п	26	2
86	думать что	2	2
87	и от	3	2
88	роль в	6	2
89	того чтобы	3	2
90	сама жизнь	3	2
91	и это	3	2
92	хотя бы	2	2
93	а в	4	2
94	но в	16	2
95	том что	9	2
96	не к	2	2
97	мир и	3	2
98	и на	25	2
99	средневековья и	12	2
100	века были	2	2
101	есть в	6	2
102	все эти	15	2
103	на протяжении	9	2
104	в смысле	2	2
105	жизнью в	2	2
106	стремление к	2	2
107	можно было	4	2
108	это и	3	2
109	связаны с	5	2
110	мира и	4	2
111	у него	2	2
112	самой жизни	4	2
113	времени и	9	2
114	от всякого	3	2
115	уже не	3	2
116	этот мир	2	2
117	по существу	2	2
118	с их	7	2
119	так же	2	2
120	так и	16	2
121	ни к	2	2
122	могут быть	4	2
123	жизни как	3	2
124	но для	3	2
125	одной стороны	2	2
126	в то	5	2
127	не могла	2	2
128	века и	8	2
129	хотя и	4	2
130	связана с	8	2
131	мысли и	4	2
132	должно было	2	2
133	с одной	2	2
134	xviii века	2	2
135	место в	4	2
136	и даже	10	2
