N	2gram	Tiupa_Teor	StatiiOP
1	и в	24	103
2	в том	20	89
3	том что	11	77
4	в этом	12	76
5	что в	10	74
6	не только	24	60
7	о том	2	47
8	но и	14	46
9	то что	6	44
10	что он	4	42
11	в его	12	42
12	и не	17	41
13	может быть	22	38
14	в этой	3	31
15	вовсе не	3	31
16	все это	2	29
17	таким образом	3	28
18	а в	15	27
19	а не	14	27
20	но в	12	26
21	так и	14	25
22	и его	11	24
23	не в	9	23
24	точки зрения	11	23
25	потому что	3	23
26	того что	5	22
27	в области	7	22
28	прежде всего	3	22
29	для того	5	22
30	у нас	2	22
31	в которой	3	22
32	как в	5	22
33	того чтобы	5	21
34	это не	4	20
35	в то	9	19
36	в своей	8	19
37	только в	9	19
38	об этом	2	18
39	не может	8	18
40	с другой	9	18
41	он не	5	18
42	в году	2	17
43	самом деле	2	17
44	в данном	9	17
45	в самом	7	17
46	как бы	8	17
47	в русской	6	17
48	сказать что	4	16
49	если бы	3	16
50	в этих	4	16
51	в отношении	4	15
52	как и	6	15
53	для него	5	15
54	например в	3	15
55	другой стороны	6	15
56	из этих	3	15
57	я не	2	15
58	и на	2	15
59	у него	2	15
60	как раз	3	15
61	была бы	3	14
62	к тому	4	14
63	между тем	5	14
64	то же	12	14
65	с точки	3	14
66	и что	4	14
67	в своем	7	13
68	в конце	2	13
69	со стороны	6	13
70	а с	3	13
71	тому что	2	13
72	в качестве	33	13
73	в нем	7	13
74	дело в	2	13
75	именно в	3	13
76	в той	2	13
77	вместе с	2	13
78	не менее	6	12
79	что они	2	12
80	в тексте	19	12
81	в первой	6	12
82	ни в	5	12
83	никогда не	4	11
84	в другом	4	11
85	своего рода	11	11
86	в них	2	11
87	все эти	3	11
88	и по	3	11
89	это было	2	11
90	в каком	2	10
91	так же	2	10
92	в виду	5	10
93	в частности	23	10
94	на вопрос	2	10
95	xix века	2	10
96	не столько	7	10
97	речь идет	2	10
98	в целом	4	10
99	что и	2	10
100	во всех	3	10
101	во второй	7	10
102	но не	13	10
103	что такое	2	10
104	же время	8	10
105	но он	4	10
106	в чем	2	9
107	такого рода	13	9
108	несмотря на	2	9
109	место в	7	9
110	можно сказать	5	9
111	в одном	3	9
112	говорит что	2	9
113	не является	5	9
114	с этой	3	9
115	времени и	2	9
116	и для	3	9
117	и к	3	9
118	и тем	5	9
119	и это	2	9
120	могут быть	5	8
121	отношение к	7	8
122	к которому	3	8
123	в их	4	8
124	и др	3	8
125	в какой	2	8
126	связи с	3	8
127	а также	7	8
128	мы имеем	7	8
129	дело не	2	8
130	что она	2	8
131	тем не	3	8
132	и даже	2	8
133	одним из	3	8
134	и о	5	8
135	заключается в	2	8
136	данном случае	5	7
137	о чем	3	7
138	в словаре	2	7
139	одной из	2	7
140	того же	4	7
141	во втором	3	7
142	а а	5	7
143	как это	10	7
144	тем более	2	7
145	в ее	6	7
146	не все	3	7
