N	2gram	Bakhtin_sl	Sovremen
1	не может	27	17
2	точки зрения	24	12
3	может быть	40	12
4	таким образом	16	11
5	мы не	4	9
6	в каждом	5	8
7	и в	69	7
8	в этом	21	7
9	и не	32	6
10	ничего не	5	6
11	как и	8	6
12	в результате	4	6
13	с точки	11	5
14	все эти	15	5
15	и наконец	9	5
16	в условиях	3	5
17	прежде всего	14	5
18	мы видели	3	4
19	зависимости от	4	4
20	это не	8	4
21	не только	37	4
22	в том	7	4
23	в зависимости	4	4
24	как бы	16	4
25	так как	7	4
26	точку зрения	6	4
27	если мы	2	4
28	в целом	3	4
29	жизни и	5	4
30	вместе с	3	4
31	а в	10	4
32	из них	3	4
33	с помощью	5	4
34	для нас	7	3
35	у каждого	2	3
36	может не	9	3
37	он может	3	3
38	и потому	9	3
39	но в	13	3
40	при этом	12	3
41	но мы	2	3
42	не в	14	3
43	все же	10	3
44	он в	6	3
45	как он	2	3
46	было бы	3	3
47	уже в	2	3
48	в себе	3	3
49	еще не	9	3
50	одна из	6	3
51	у нас	2	3
52	и все	9	3
53	все это	14	3
54	в нем	44	3
55	между собой	3	3
56	а не	29	3
57	в первом	3	3
58	и к	9	3
59	то же	17	3
60	в одном	4	3
61	отличается от	3	3
62	в системе	2	3
63	может иметь	3	2
64	но все	2	2
65	на его	9	2
66	и по	3	2
67	не знаем	3	2
68	всяком случае	7	2
69	что все	2	2
70	конечно в	2	2
71	значение в	2	2
72	быть и	6	2
73	роль в	4	2
74	а на	3	2
75	не менее	4	2
76	необходимо отметить	3	2
77	той же	3	2
78	не могут	7	2
79	в новых	2	2
80	мы видим	2	2
81	в его	19	2
82	с этим	5	2
83	и что	2	2
84	во всяком	9	2
85	и во	3	2
86	с другом	2	2
87	такого рода	2	2
88	приводит к	2	2
89	свою очередь	3	2
90	из этих	3	2
91	так сказать	11	2
92	в самом	6	2
93	и есть	2	2
94	в виде	4	2
95	еще более	7	2
96	что в	3	2
97	совершенно не	2	2
98	в таком	5	2
99	в которой	4	2
100	у него	5	2
101	из одного	2	2
102	в некоторых	3	2
103	со всеми	3	2
104	уже не	5	2
105	в свою	4	2
106	могут быть	25	2
107	в один	2	2
108	в отличие	12	2
109	отличие от	13	2
110	с одной	7	2
111	на этом	4	2
112	как мы	15	2
113	говорить о	2	2
114	или иной	13	2
115	тем не	2	2
116	на котором	3	2
117	своего предмета	5	2
118	и даже	11	2
119	друг с	2	2
