N	2gram	Vygotskiy_	Sovremen
1	не может	30	17
2	точки зрения	32	12
3	может быть	35	12
4	таким образом	38	11
5	мы не	15	9
6	в каждом	5	8
7	не можем	3	7
8	и в	55	7
9	в этом	21	7
10	и не	24	6
11	ничего не	4	6
12	как и	25	6
13	в результате	4	6
14	мы можем	6	6
15	что же	4	5
16	с точки	12	5
17	все эти	7	5
18	и наконец	2	5
19	прежде всего	5	5
20	вопрос о	3	4
21	мы видели	2	4
22	зависимости от	7	4
23	не только	25	4
24	в том	55	4
25	в зависимости	6	4
26	мы должны	4	4
27	как бы	11	4
28	их в	4	4
29	так как	28	4
30	точку зрения	3	4
31	если мы	21	4
32	в целом	8	4
33	жизни и	5	4
34	вместе с	10	4
35	а в	10	4
36	из них	4	4
37	для нас	5	3
38	у каждого	4	3
39	и мы	6	3
40	видели что	2	3
41	когда мы	4	3
42	и потому	2	3
43	но в	5	3
44	при этом	28	3
45	но мы	3	3
46	состоит из	2	3
47	не в	19	3
48	все же	9	3
49	у всех	2	3
50	мы получаем	4	3
51	он в	2	3
52	как он	4	3
53	было бы	14	3
54	в области	12	3
55	уже в	3	3
56	в себе	6	3
57	еще не	2	3
58	одна из	5	3
59	у нас	4	3
60	и все	8	3
61	все это	11	3
62	в нем	5	3
63	а не	18	3
64	и к	5	3
65	что она	11	3
66	в этой	5	3
67	при таком	5	3
68	мы получим	2	3
69	то же	17	3
70	в одном	4	3
71	отличается от	4	3
72	отнюдь не	11	3
73	в конце	6	3
74	ясно что	22	3
75	с общим	2	2
76	с совершенно	3	2
77	на его	3	2
78	на этот	2	2
79	и по	7	2
80	который как	2	2
81	не знаем	2	2
82	же самое	8	2
83	всяком случае	7	2
84	что все	10	2
85	значение в	2	2
86	которой он	2	2
87	роль в	4	2
88	форма в	3	2
89	каждого из	3	2
90	а на	4	2
91	не менее	9	2
92	той же	9	2
93	не могут	6	2
94	мы видим	8	2
95	в его	8	2
96	к чему	2	2
97	с этим	7	2
98	и что	28	2
99	то и	2	2
100	во всяком	9	2
101	и во	3	2
102	что такое	2	2
103	в науке	2	2
104	приводит к	3	2
105	что при	8	2
106	такие же	2	2
107	свою очередь	3	2
108	из этих	6	2
109	ее на	2	2
110	в самом	18	2
111	и есть	5	2
112	или же	2	2
113	еще более	2	2
114	знаем что	4	2
115	что в	39	2
116	времени и	2	2
117	в настоящее	2	2
118	совершенно не	7	2
119	в таком	5	2
120	в которой	6	2
121	у него	4	2
122	такой же	9	2
123	самом деле	19	2
124	со всеми	5	2
125	уже не	3	2
126	в свою	3	2
127	по мнению	2	2
128	то ни	2	2
129	если же	3	2
130	могут быть	15	2
131	только один	2	2
132	в отличие	4	2
133	же мы	2	2
134	отличие от	6	2
135	на другом	2	2
136	настоящее время	2	2
137	тот же	8	2
138	может дать	2	2
139	с одной	6	2
140	на этом	3	2
141	как мы	2	2
142	не дает	3	2
143	мы знаем	8	2
144	что это	12	2
145	этих двух	4	2
146	тем не	6	2
147	на котором	2	2
148	из которых	5	2
149	и даже	11	2
150	тем же	4	2
151	абсолютной величины	3	2
