N	2gram	Losev_Vlad	KulturaY
1	и т	3	143
2	и в	56	84
3	в том	26	74
4	потому что	16	68
5	не только	35	60
6	точки зрения	4	59
7	в этом	30	57
8	было бы	7	53
9	и не	33	52
10	может быть	12	47
11	том что	22	44
12	того чтобы	4	44
13	что в	24	44
14	т д	3	42
15	для того	4	41
16	в самом	3	41
17	у нас	11	38
18	хотя бы	5	37
19	так как	11	36
20	в области	3	34
21	таким образом	6	33
22	а не	5	33
23	если бы	2	32
24	не в	12	30
25	прежде всего	5	30
26	в его	18	30
27	все же	11	29
28	того что	6	28
29	не менее	9	28
30	все эти	6	28
31	уже не	6	26
32	не может	12	25
33	то что	30	25
34	вовсе не	8	25
35	еще не	2	24
36	с другой	3	24
37	так и	11	23
38	то же	10	23
39	только в	11	23
40	тем не	8	21
41	во всяком	8	20
42	но и	26	20
43	по себе	3	20
44	и что	11	20
45	то обстоятельство	2	19
46	что он	22	19
47	но в	19	19
48	обстоятельство что	2	19
49	тем что	2	19
50	о том	13	19
51	всяком случае	8	19
52	что же	11	19
53	связи с	7	18
54	все это	7	18
55	в качестве	7	18
56	к тому	5	18
57	с тем	4	18
58	в сущности	2	18
59	как бы	5	18
60	и с	27	18
61	вместе с	9	18
62	это не	3	17
63	как раз	7	17
64	как это	11	17
65	можно говорить	2	17
66	что это	2	17
67	другой стороны	3	17
68	в той	2	17
69	ничего не	4	16
70	в русском	2	16
71	что не	3	16
72	что и	6	16
73	тот же	7	16
74	но не	5	16
75	и тем	2	15
76	один из	4	15
77	а в	20	15
78	при этом	5	15
79	того как	2	15
80	лишь в	3	15
81	ни к	2	15
82	том чтобы	4	15
83	именно в	4	15
84	не было	12	15
85	как на	2	15
86	в нашем	5	15
87	в них	5	14
88	в связи	9	14
89	хотя и	9	14
90	я не	8	14
91	как мы	17	14
92	сказать что	14	14
93	мы имеем	2	14
94	также и	13	14
95	что такое	3	14
96	и на	7	14
97	в ней	5	14
98	не могут	2	13
99	это и	2	13
100	по существу	4	13
101	между прочим	18	13
102	что она	2	13
103	в этой	4	13
104	для нас	9	13
105	и его	12	13
106	той же	6	13
107	с этой	4	12
108	как в	6	12
109	того же	11	12
110	в результате	6	12
111	ясно что	2	12
112	еще и	10	11
113	в их	2	11
114	в своем	10	11
115	те же	2	11
116	из этих	5	11
117	в нем	7	11
118	этом отношении	2	11
119	совершенно не	2	11
120	и здесь	3	11
121	и то	13	11
122	и если	8	11
123	уже в	9	11
124	он не	13	11
125	в каком	3	10
126	тем самым	2	10
127	так же	4	10
128	в то	15	10
129	к этому	11	10
130	со стороны	5	10
131	в общем	4	10
132	как и	7	10
133	тех же	3	10
134	с этим	3	10
135	тем более	4	10
136	несмотря на	7	10
