N	3gram	Bakhtin_Fr	slovoVRo
1	не может быть	4	19
2	в то же	14	18
3	то же время	14	18
4	с точки зрения	5	15
5	в отличие от	3	14
6	в большинстве случаев	5	11
7	с одной стороны	2	11
8	более или менее	2	9
9	но в то	6	7
10	зрения на мир	4	7
11	как мы сказали	2	6
12	с другой стороны	2	6
13	и в то	3	6
14	между словом и	2	5
15	в том что	8	5
16	в этом отношении	7	5
17	как мы уже	6	5
18	точки зрения на	2	4
19	на первый план	3	4
20	для того чтобы	8	4
21	друг с другом	2	4
22	мы уже сказали	3	4
23	таким образом в	3	4
24	а также и	4	4
25	до сих пор	3	4
26	можно сказать что	4	4
27	до известной степени	4	3
28	как мы видели	4	3
29	включает в себя	2	3
30	в данном случае	4	3
31	в связи с	5	3
32	и не в	2	3
33	и не могут	2	2
34	и связанные с	2	2
35	между тем как	2	2
36	во всех этих	2	2
37	же как и	2	2
38	существенную роль в	3	2
39	в первом случае	3	2
40	в нем не	4	2
41	мы уже говорили	7	2
42	нужно сказать что	4	2
43	о том что	5	2
44	можно было бы	2	2
45	в средние века	2	2
46	в то время	3	2
47	с самого начала	3	2
48	той же задаче	2	2
49	и во всех	3	2
50	но и в	3	2
51	между человеком и	2	2
52	в мировой литературе	2	2
53	шута и дурака	2	2
