N	2gram	Potebnia_M	Analitik
1	не только	32	71
2	тогда как	8	67
3	и в	48	66
4	но и	30	57
5	в том	47	52
6	может быть	46	52
7	в этом	19	51
8	как и	22	50
9	и не	28	48
10	а не	22	42
11	том что	28	40
12	при этом	6	40
13	так и	17	35
14	то есть	53	35
15	в мире	3	31
16	не может	18	29
17	как бы	10	29
18	а в	14	28
19	в его	6	27
20	и его	4	27
21	не в	24	26
22	но не	8	26
23	в себе	26	24
24	к тому	9	22
25	и даже	3	22
26	в этой	3	22
27	что в	30	22
28	лишь в	2	21
29	о том	7	20
30	по отношению	12	19
31	но в	8	19
32	в своей	2	19
33	то же	35	19
34	в самом	11	19
35	в то	16	18
36	в данном	3	18
37	отношению к	10	18
38	тем самым	11	17
39	с другой	8	17
40	со стороны	4	17
41	в целом	5	17
42	только в	29	17
43	могут быть	6	16
44	то что	37	16
45	что и	16	16
46	не есть	24	15
47	в их	2	15
48	прежде всего	6	15
49	в сущности	3	15
50	уже не	11	15
51	и на	5	15
52	между тем	19	15
53	данном случае	3	14
54	отличие от	2	14
55	не менее	9	14
56	того же	5	14
57	я и	3	14
58	далеко не	5	14
59	столь же	8	14
60	же время	8	14
61	по себе	26	13
62	точки зрения	4	13
63	в начале	3	13
64	этого слова	14	13
65	для него	14	13
66	он не	4	13
67	никогда не	2	12
68	и к	5	12
69	есть не	9	12
70	еще не	9	12
71	как в	17	12
72	даже в	3	11
73	в свою	6	11
74	это не	2	11
75	и как	8	11
76	на наш	2	11
77	не с	4	11
78	можно сказать	4	11
79	той же	6	11
80	в той	2	11
81	не следует	6	11
82	все же	3	10
83	в произведении	4	10
84	один из	7	10
85	было бы	16	10
86	подобно тому	3	10
87	с одной	8	10
88	именно в	5	10
89	со своей	2	10
90	отношения к	2	10
91	в своем	6	9
92	того что	24	9
93	не столько	2	9
94	одной стороны	4	9
95	крайней мере	8	9
96	свою очередь	6	9
97	по поводу	8	9
98	другой стороны	4	9
99	за пределы	2	9
100	только не	5	9
101	по крайней	8	9
102	том чтобы	4	9
103	тому как	6	9
104	и того	2	9
105	говорить о	6	9
106	таким образом	24	9
107	вместе с	22	9
108	перед нами	3	8
109	не всегда	5	8
110	что он	8	8
111	одной из	3	8
112	и все	5	8
113	этом отношении	2	8
114	хотя и	3	8
115	между двумя	5	8
116	нашего времени	2	8
117	если бы	20	8
118	времени и	2	8
119	с точки	3	8
120	с ним	10	8
121	во времени	2	7
122	в новом	2	7
123	и тем	8	7
124	в свое	2	7
125	место в	4	7
126	на его	4	7
127	в ее	3	7
128	все это	4	7
129	который в	2	7
130	во всяком	4	7
131	себя и	4	7
132	художественного произведения	6	7
133	несмотря на	2	7
134	в глазах	3	7
135	у него	3	7
136	со своим	2	7
137	в одном	4	7
138	таком случае	2	7
139	собственно говоря	2	7
140	всяком случае	3	7
141	внимание на	2	7
