N	2gram	Trubetskoy	SlovoVZh
1	не может	18	16
2	точки зрения	14	14
3	может быть	17	14
4	и его	2	13
5	как бы	10	13
6	и в	24	12
7	таким образом	34	12
8	в нашем	3	11
9	отношению к	11	11
10	по отношению	11	11
11	и не	9	10
12	так как	7	9
13	если бы	8	9
14	прежде всего	3	8
15	для нас	3	7
16	при этом	9	6
17	в том	31	6
18	в нем	3	6
19	только в	6	6
20	в процессе	2	6
21	в ней	3	6
22	никогда не	4	5
23	что мы	4	5
24	в жизни	3	5
25	в виду	2	5
26	но в	5	5
27	том что	20	5
28	то же	4	5
29	как и	10	5
30	должна быть	6	5
31	хотя бы	4	5
32	то что	18	5
33	отнюдь не	2	5
34	в самом	8	4
35	в этом	13	4
36	не только	10	4
37	на самом	7	4
38	его в	5	4
39	зависимости от	2	4
40	жизни и	2	4
41	мы все	2	4
42	не в	9	4
43	ни было	3	4
44	с другой	6	4
45	все же	15	4
46	к нему	2	4
47	и к	5	4
48	так и	10	4
49	и на	6	4
50	от того	3	4
51	отношение к	4	4
52	как к	5	3
53	в них	2	3
54	и вообще	3	3
55	о том	7	3
56	и для	6	3
57	ее и	4	3
58	и проч	4	3
59	он должен	2	3
60	из этого	7	3
61	и уже	2	3
62	все эти	19	3
63	в котором	2	3
64	бы то	3	3
65	и наконец	3	3
66	то ни	4	3
67	так же	8	3
68	конечно не	3	3
69	в себе	5	3
70	еще не	6	3
71	все это	13	3
72	и ее	2	3
73	между тем	12	3
74	и с	5	3
75	но для	2	3
76	не менее	7	3
77	сих пор	15	3
78	с ним	6	3
79	до сих	15	3
80	быть и	5	3
81	и по	3	3
82	в такой	4	3
83	самом деле	12	3
84	того что	7	3
85	тем не	4	3
86	и более	2	3
87	но и	11	3
88	для него	2	3
89	ясно что	8	3
90	конечно в	2	2
91	и то	4	2
92	тем как	2	2
93	в его	5	2
94	данном случае	3	2
95	имеет место	2	2
96	что в	9	2
97	к ним	2	2
98	а к	2	2
99	социальной жизни	4	2
100	не так	4	2
101	не есть	4	2
102	в психике	7	2
103	общего с	2	2
104	и те	2	2
105	как не	2	2
106	что и	7	2
107	это не	3	2
108	и все	9	2
109	с точки	8	2
110	она не	2	2
111	но все	5	2
112	тому же	6	2
113	в своем	12	2
114	на все	5	2
115	все они	6	2
116	в данном	3	2
117	независимо от	2	2
118	ко всем	3	2
119	из него	2	2
120	и что	9	2
121	в то	6	2
122	себя и	2	2
123	те же	2	2
124	с этой	3	2
125	в этих	3	2
126	одной стороны	2	2
127	в настоящее	3	2
128	он не	4	2
129	такой же	2	2
130	точку зрения	2	2
131	как на	6	2
132	и потому	3	2
133	но не	3	2
134	если же	3	2
135	в себя	2	2
136	мы можем	6	2
137	между собой	4	2
138	настоящее время	3	2
139	и так	2	2
140	с одной	3	2
141	к этому	5	2
142	слагается из	3	2
143	между ними	2	2
144	этих двух	2	2
145	тогда когда	3	2
146	другой стороны	5	2
147	вместе с	7	2
148	на него	2	2
