N	2gram	Nazirov_Tv	Myshleni
1	в том	13	195
2	в этом	11	167
3	то что	9	166
4	и в	40	162
5	том что	14	161
6	таким образом	14	147
7	что в	17	119
8	мышления и	2	117
9	не только	16	116
10	того что	3	109
11	в процессе	3	101
12	так же	6	100
13	потому что	10	95
14	может быть	11	89
15	что он	11	86
16	не может	9	81
17	как и	16	79
18	так как	6	78
19	и не	12	78
20	только в	7	75
21	в целом	7	74
22	но и	10	70
23	в его	19	67
24	сказать что	3	65
25	как бы	26	64
26	вместе с	4	62
27	в качестве	2	60
28	и что	2	60
29	было бы	2	60
30	представляет собой	4	60
31	то же	19	58
32	в основе	3	58
33	между собой	2	53
34	в самом	6	52
35	к тому	2	49
36	что они	3	48
37	тем что	2	48
38	мы не	3	47
39	если бы	4	46
40	но не	7	45
41	с другой	4	45
42	по отношению	3	45
43	тем самым	10	43
44	же как	3	43
45	как это	2	42
46	тому что	2	42
47	отношению к	3	42
48	не является	3	41
49	о том	9	40
50	так и	5	39
51	никогда не	13	39
52	с одной	2	39
53	не в	3	37
54	в этой	7	37
55	мы видим	3	37
56	в своем	4	36
57	с самого	3	36
58	все эти	3	36
59	и его	14	36
60	самого начала	3	36
61	как в	10	36
62	а не	9	36
63	того же	2	35
64	он не	10	35
65	в которой	5	35
66	в себе	3	35
67	и как	5	34
68	связи с	2	34
69	приводит к	4	34
70	при этом	14	33
71	прежде всего	10	33
72	по себе	2	33
73	что и	3	32
74	именно в	6	32
75	но в	11	32
76	той же	4	32
77	и тем	2	32
78	что оно	2	32
79	и на	12	32
80	развития в	2	31
81	все же	9	31
82	мысли и	5	30
83	между тем	2	29
84	могут быть	4	29
85	показывает что	5	29
86	как известно	3	29
87	переход от	2	28
88	с этим	2	28
89	самом деле	4	28
90	что с	2	28
91	что все	4	27
92	в своей	8	27
93	только что	2	27
94	с этой	4	27
95	в то	23	27
96	перед нами	3	27
97	другой стороны	2	27
98	и с	9	27
99	в их	5	26
100	в частности	4	26
101	для него	9	26
102	все это	14	25
103	по мере	2	25
104	еще не	5	25
105	уже в	5	25
106	что она	5	25
107	это не	9	25
108	в чем	4	25
109	можно сказать	2	25
110	мы уже	2	25
111	так что	4	24
112	мы знаем	2	24
113	тот же	3	24
114	в нем	4	24
115	на этот	3	24
