N	2gram	Tiupa_Lite	PoTuStor
1	может быть	24	17
2	и в	26	16
3	в этом	19	9
4	и только	4	9
5	таким образом	4	9
6	прежде всего	14	9
7	и с	4	8
8	точки зрения	8	8
9	не может	10	8
10	и его	7	8
11	не только	29	7
12	с его	5	7
13	в сознание	3	7
14	с точки	4	6
15	самом деле	2	6
16	я и	10	6
17	для него	6	6
18	при этом	23	6
19	все эти	2	5
20	что такое	2	5
21	как бы	8	5
22	нуждается в	3	5
23	еще не	4	5
24	в чем	2	5
25	как мы	2	4
26	и на	5	4
27	его в	4	4
28	в его	9	4
29	но и	25	4
30	и не	19	4
31	но в	5	4
32	в этой	7	4
33	с ее	3	4
34	и наконец	2	4
35	так как	2	4
36	все что	3	4
37	только в	8	4
38	в нем	4	4
39	а потому	4	4
40	хотя бы	3	4
41	так и	7	4
42	для всех	5	4
43	отнюдь не	4	4
44	и даже	9	4
45	художественного творчества	3	4
46	едва ли	5	3
47	что в	7	3
48	жизни и	6	3
49	и художественного	2	3
50	и как	2	3
51	тех же	3	3
52	а в	5	3
53	в том	22	3
54	и вот	2	3
55	быть это	4	3
56	в области	5	3
57	только на	3	3
58	крайней мере	2	3
59	и есть	3	3
60	в этих	2	3
61	в конечном	9	3
62	с их	3	3
63	как это	9	3
64	то что	14	3
65	во всех	4	3
66	если б	2	3
67	по крайней	2	3
68	могут быть	4	3
69	всяком случае	2	3
70	вместе с	5	3
71	в одном	2	3
72	к себе	3	3
73	и др	4	3
74	на этом	3	3
75	во всяком	3	3
76	том что	19	3
77	в основе	5	3
78	один из	7	2
79	никогда не	5	2
80	для нас	3	2
81	не можем	2	2
82	в жизни	7	2
83	для этого	5	2
84	же как	3	2
85	что не	3	2
86	все то	2	2
87	нашего времени	2	2
88	аналогии с	3	2
89	так называемый	3	2
90	что и	3	2
91	не менее	11	2
92	и мы	2	2
93	было бы	4	2
94	сводится к	4	2
95	и других	4	2
96	о том	3	2
97	то же	13	2
98	как и	13	2
99	что он	8	2
100	того же	5	2
101	на два	2	2
102	в своей	5	2
103	мы не	5	2
104	себя и	3	2
105	ни было	2	2
106	из этих	2	2
107	но как	3	2
108	в самом	4	2
109	в начале	4	2
110	с этой	6	2
111	по аналогии	3	2
112	не на	2	2
113	в частности	18	2
114	он не	4	2
115	у него	5	2
116	всю жизнь	2	2
117	ту же	4	2
118	со всеми	2	2
119	при всей	5	2
120	не есть	2	2
121	в душе	3	2
122	за пределы	3	2
123	к этому	2	2
124	путь к	2	2
125	конечном счете	8	2
126	из тех	2	2
127	не знает	3	2
128	в пределах	4	2
129	и т.п	14	2
130	является по	2	2
131	быть может	2	2
132	только то	3	2
133	на основе	2	2
134	с ним	2	2
135	но это	2	2
136	но зато	2	2
137	в итоге	2	2
