N	2gram	Nazirov_Tr	Analitik
1	не только	8	71
2	и в	18	66
3	но и	4	57
4	в том	2	52
5	может быть	7	52
6	в частности	2	51
7	в этом	9	51
8	как и	5	50
9	и не	7	48
10	том что	4	40
11	при этом	3	40
12	так и	5	35
13	то есть	3	35
14	в мире	3	31
15	своего рода	3	30
16	не может	5	29
17	как бы	7	29
18	отнюдь не	3	29
19	в его	3	27
20	и его	6	27
21	не в	2	26
22	в себе	4	24
23	не случайно	2	24
24	к тому	2	22
25	и даже	4	22
26	в этой	4	22
27	что в	4	22
28	о том	2	20
29	но в	6	19
30	то же	5	19
31	в самом	2	19
32	с его	2	19
33	в то	5	18
34	в данном	2	18
35	тем самым	3	17
36	в целом	4	17
37	то что	4	16
38	что и	2	16
39	прежде всего	4	15
40	уже не	2	15
41	и на	7	15
42	данном случае	2	14
43	отличие от	2	14
44	в отличие	2	14
45	столь же	2	14
46	же время	6	14
47	ничего не	2	13
48	для него	3	13
49	он не	2	13
50	никогда не	2	12
51	как это	3	12
52	еще не	4	12
53	как в	3	12
54	ивана петровича	6	12
55	и сам	3	12
56	это не	5	11
57	и как	3	11
58	в конце	3	10
59	все же	5	10
60	один из	3	10
61	в своем	3	9
62	по поводу	2	9
63	говорит о	2	9
64	перед нами	2	8
65	о чем	3	8
66	в ходе	2	8
67	что он	6	8
68	и все	4	8
69	о его	2	8
70	он и	2	8
71	с ним	3	8
72	как говорит	2	7
73	в году	9	7
74	в ее	2	7
75	все это	4	7
76	который в	2	7
77	одна из	2	7
78	несмотря на	5	7
79	как будто	3	7
80	в глазах	2	7
81	у него	6	7
82	личности и	2	7
83	в одном	2	7
84	времени в	2	7
85	в таком	2	7
86	не мог	2	7
87	его в	2	6
88	в нем	4	6
89	он был	2	6
90	и то	2	6
91	уже в	3	6
92	не могут	2	5
93	так что	2	5
94	в романе	10	5
95	не так	2	5
96	и до	2	5
97	все эти	3	5
98	в первом	2	5
99	я не	4	5
100	и здесь	2	5
101	и он	3	5
102	с ее	3	5
103	тем что	2	5
104	ни в	2	5
105	еще в	2	5
106	к жизни	5	5
107	в поле	3	5
108	и ее	2	4
109	отношение к	2	4
110	а как	2	4
111	как у	2	4
112	к нему	3	4
113	и что	4	4
114	потому что	2	4
115	жизнь и	3	4
116	бы и	2	4
117	но при	2	4
118	но это	4	4
119	что она	2	4
120	из своих	2	4
121	об этом	4	4
122	вопрос о	2	3
123	о жизни	2	3
124	не был	2	3
125	тут же	2	3
126	и за	2	3
127	с тем	2	3
128	только к	2	3
129	что все	2	3
130	и я	2	3
131	никто не	3	3
132	должно быть	3	3
133	его за	2	3
134	в рассказе	2	3
135	во сне	2	3
136	на меня	2	3
137	и с	7	3
138	мог бы	3	3
139	раз и	2	3
140	он сам	7	3
141	от всего	2	2
142	так же	4	2
143	но особенно	2	2
144	еще раз	2	2
145	лицо его	2	2
146	поведение в	2	2
147	имеет в	2	2
148	на всем	2	2
149	одном из	2	2
150	один в	3	2
151	любви и	2	2
152	что этот	2	2
153	что с	3	2
154	но эта	2	2
155	что это	5	2
156	то и	2	2
157	в глаза	2	2
158	но они	2	2
159	по словам	2	2
160	не имеет	2	2
161	в дальнейшем	5	2
162	дома и	2	2
163	жизнью и	2	2
164	не просто	2	2
