N	3gram	Tiupa_Anal	Narrotol
1	в том что	13	18
2	в данном случае	3	17
3	не только в	3	13
4	по отношению к	9	11
5	в отличие от	8	11
6	о том что	8	9
7	к тому же	6	9
8	не сводится к	2	8
9	в то же	9	8
10	той или иной	8	8
11	тем не менее	3	8
12	в этом отношении	5	8
13	в соответствии с	2	8
14	то же время	7	8
15	не может быть	17	8
16	во времени и	4	6
17	и тем самым	2	6
18	с одной стороны	6	6
19	в известном смысле	2	6
20	состоит в том	6	6
21	времени и пространстве	5	6
22	мы имеем дело	7	6
23	и все же	2	5
24	подобно тому как	5	5
25	для того чтобы	3	5
26	но и в	3	5
27	имеем дело с	4	5
28	к тому что	2	4
29	в конечном счете	5	4
30	в равной степени	2	4
31	так и не	5	3
32	то же самое	3	3
33	в первом случае	2	3
34	как уже говорилось	3	3
35	присутствия в мире	3	3
36	и не может	4	3
37	того или иного	3	3
38	в связи с	2	3
39	в ответ на	2	3
40	на себя внимание	3	3
41	с точки зрения	6	3
42	в самом деле	3	3
43	я в мире	2	3
44	на то что	2	3
45	обращает на себя	3	3
46	по природе своей	3	3
47	и представляет собой	4	3
48	при встрече с	3	3
49	одно и то	2	2
50	и то же	2	2
51	не только не	2	2
52	в таком случае	5	2
53	более или менее	2	2
54	далеко не всегда	2	2
55	тому или иному	2	2
56	не все что	2	2
57	не в том	3	2
58	в отрыве от	2	2
59	одного и того	2	2
60	в той мере	2	2
61	мере в какой	2	2
62	как правило не	2	2
63	в частности в	2	2
64	что иное как	6	2
65	с легкой руки	2	2
66	и т п	3	2
67	в силу своей	3	2
68	по этой причине	2	2
69	той мере в	2	2
70	собственно говоря и	3	2
71	и того же	2	2
72	сами по себе	3	2
73	кадров внутреннего зрения	4	2
74	с той или	2	2
75	но и не	5	2
76	событие самого рассказывания	2	2
77	и не в	4	2
78	в той или	3	2
