N	2gram	Tiupa_Hudo	Freidism
1	и не	15	34
2	точки зрения	7	31
3	не может	10	30
4	может быть	12	28
5	и в	34	28
6	в этом	22	28
7	прежде всего	12	26
8	в его	17	25
9	и его	8	22
10	как бы	11	19
11	как мы	5	18
12	то что	13	17
13	вовсе не	2	16
14	так как	2	15
15	с точки	5	15
16	все эти	4	15
17	самом деле	6	14
18	так и	19	14
19	в своей	15	14
20	с ним	6	14
21	во всех	2	13
22	и все	10	13
23	в душе	6	13
24	но в	6	13
25	как и	16	13
26	по отношению	15	13
27	и потому	3	12
28	том что	31	12
29	то же	14	12
30	что он	14	12
31	ни в	5	12
32	в самом	7	12
33	для него	15	12
34	все это	2	12
35	сказать что	3	11
36	его в	5	11
37	отношению к	15	11
38	мы знаем	4	11
39	только в	8	11
40	никогда не	8	10
41	и с	10	10
42	не только	22	10
43	но и	13	10
44	не в	16	10
45	он не	8	10
46	в том	24	10
47	мы уже	7	10
48	все что	4	10
49	один из	6	10
50	что же	4	10
51	к нему	2	9
52	уже не	12	9
53	и на	6	9
54	мы не	2	9
55	а не	23	9
56	с его	9	9
57	все же	5	8
58	с этим	3	8
59	было бы	8	8
60	по мнению	6	8
61	еще не	10	8
62	с другими	2	8
63	а в	11	8
64	знаем что	2	8
65	в ней	6	8
66	на этом	5	8
67	при этом	21	8
68	так сказать	3	7
69	до конца	3	7
70	в жизни	9	7
71	в то	12	7
72	в себе	19	7
73	что в	8	7
74	и ее	3	7
75	хотя бы	2	7
76	и для	5	7
77	отношение к	3	7
78	роль в	2	7
79	я и	7	7
80	того что	5	7
81	и у	3	7
82	его жизни	6	7
83	но не	7	7
84	что все	3	7
85	об этом	8	7
86	в нем	5	7
87	и к	6	7
88	из них	5	7
89	жизни и	10	7
90	в этой	11	7
91	одно из	4	6
92	на самом	2	6
93	но мы	2	6
94	из этих	3	6
95	в человеке	5	6
96	человека и	4	6
97	не менее	9	6
98	для того	3	6
99	в таком	3	6
100	и только	2	6
101	и о	8	6
102	в пределах	4	6
103	она не	6	6
104	к тому	11	6
105	можно сказать	9	6
106	чем же	2	6
107	ни о	3	6
108	зрения на	2	6
109	как раз	7	6
110	и что	3	6
111	высшей степени	2	6
112	же время	11	6
113	в основе	3	6
114	по поводу	3	5
115	что это	2	5
116	ничего не	11	5
117	со стороны	6	5
118	тех же	2	5
119	что она	10	5
120	в которой	2	5
121	и по	3	5
122	во второй	7	5
123	между ними	2	5
124	в этих	7	5
125	чем не	2	5
126	как это	8	5
127	не знает	2	5
128	что и	3	5
129	тому что	8	5
130	в своих	4	5
131	это не	12	5
132	той же	3	5
133	отнюдь не	4	5
134	в следующей	3	5
135	того чтобы	6	5
136	не было	8	5
137	в ее	16	5
138	с ними	3	5
139	он сам	3	5
140	говорить о	4	5
141	в себя	3	5
142	вместе с	2	5
143	данном случае	3	4
144	человека в	10	4
145	одна из	4	4
146	все время	2	4
147	характер и	3	4
148	так же	3	4
149	но это	2	4
150	мысли и	2	4
151	с ее	7	4
152	в другом	3	4
153	тем не	7	4
154	на него	3	4
155	этом отношении	4	4
156	если бы	7	4
157	в первый	2	4
158	но ведь	2	4
159	только на	6	4
160	у него	13	4
161	как в	11	4
162	к ней	2	4
163	в своем	9	4
164	влияние на	2	4
165	по своему	3	4
166	едва ли	6	4
167	а только	4	4
168	в котором	5	4
169	потому что	7	4
170	именно в	9	4
171	и внешней	2	4
172	в голову	3	4
173	уже знаем	2	4
174	о себе	3	4
175	личности и	3	4
176	и т.п	2	4
177	по себе	3	4
178	в целом	2	4
179	нет и	2	4
180	себя и	4	4
181	то ни	2	4
182	это и	2	4
183	в данном	3	4
184	я не	8	4
185	сводится к	7	4
186	и то	2	3
187	и от	6	3
188	читателя в	6	3
189	о них	4	3
190	жизни в	12	3
191	нуждается в	2	3
192	конечном счете	4	3
193	в результате	2	3
194	к себе	8	3
195	и даже	4	3
196	и тот	2	3
197	себя с	3	3
198	этих двух	2	3
199	а как	2	3
200	такой же	3	3
201	в центре	4	3
202	как на	2	3
203	себе и	3	3
204	сих пор	3	3
205	согласиться с	3	3
206	ни на	2	3
207	в г	3	3
208	о том	21	3
209	это уже	2	3
210	и она	2	3
211	они не	2	3
212	один и	2	3
213	все его	3	3
214	другому человеку	3	3
215	жизни так	4	3
216	в конечном	5	3
217	их в	2	3
218	на себя	3	3
219	приводит к	5	3
220	в одном	3	3
221	же касается	2	3
222	в них	3	3
223	только не	3	3
224	уже в	2	3
225	следующей главе	3	3
226	себя в	11	3
227	сознания в	2	3
228	на это	2	3
229	которой он	2	3
230	раз и	2	3
231	говорит о	4	3
232	когда он	2	3
233	и сам	3	3
234	и тех	3	3
235	в нашем	2	3
236	о которой	3	3
237	до сих	3	3
238	во втором	2	3
239	между тем	14	3
240	представляется нам	3	3
241	на основе	2	3
242	во сне	3	3
243	да и	5	2
244	чтобы не	3	2
245	роли в	2	2
246	вопрос о	2	2
247	к личности	2	2
248	к этой	4	2
249	о которых	2	2
250	или иной	2	2
251	когда мы	2	2
252	нас к	2	2
253	а также	4	2
254	то в	6	2
255	и об	3	2
256	и сама	3	2
257	в одной	3	2
258	для нее	6	2
259	предыдущей главе	3	2
260	по преимуществу	6	2
261	для своего	2	2
262	бы и	2	2
263	дело в	2	2
264	в состоянии	3	2
265	должно быть	2	2
266	и поэтому	2	2
267	бы в	2	2
268	превращается в	6	2
269	такого рода	4	2
270	дело не	2	2
271	это было	2	2
272	не как	3	2
273	нам о	2	2
274	его и	2	2
275	также в	2	2
276	в конце	5	2
277	и смерти	4	2
278	как к	4	2
279	есть и	3	2
280	для себя	9	2
281	века в	2	2
282	как по	2	2
283	что бы	2	2
284	друг друга	5	2
285	в следующем	3	2
286	однако и	5	2
287	и тем	2	2
288	все они	2	2
289	матери и	2	2
290	в их	2	2
291	другого человека	2	2
292	только для	4	2
293	но именно	3	2
294	к своему	2	2
295	и другие	5	2
296	же из	2	2
297	ничем не	3	2
298	для нас	4	2
299	противоречие с	4	2
300	обратимся к	2	2
301	нас в	2	2
302	в такой	2	2
303	с одной	4	2
304	вся жизнь	3	2
305	а с	5	2
306	о нем	4	2
307	в мире	10	2
308	страх перед	2	2
309	от этого	2	2
310	и так	3	2
311	в него	2	2
312	не имеет	2	2
313	говорить об	2	2
314	с другой	4	2
315	личной жизни	2	2
316	они и	2	2
317	он в	2	2
318	заметить что	2	2
319	и было	2	2
320	личности не	3	2
321	но все	2	2
322	а его	3	2
323	он и	2	2
324	личность в	4	2
325	одной стороны	4	2
326	личность не	2	2
327	жизнь в	3	2
328	но как	3	2
329	это прежде	3	2
330	по-видимому не	2	2
331	на них	2	2
332	в я	4	2
333	но когда	2	2
334	там где	2	2
335	же как	4	2
336	в предыдущей	3	2
337	и уже	3	2
338	для всего	3	2
339	проникнуть в	3	2
340	каждого человека	3	2
341	в качестве	13	2
342	только о	2	2
343	не следует	2	2
