N	2gram	Propp_Isto	Vvedenie
1	и т	33	45
2	т е	36	40
3	т д	30	39
4	в том	13	38
5	в этом	25	35
6	и в	43	35
7	том что	12	30
8	может быть	22	30
9	не только	28	26
10	таким образом	15	21
11	не может	8	19
12	то что	20	19
13	потому что	8	18
14	со стороны	3	16
15	о том	4	16
16	только в	8	16
17	так как	13	15
18	представляет собой	6	14
19	и не	16	13
20	что в	29	13
21	в нем	11	13
22	того что	8	12
23	точки зрения	3	12
24	в его	7	12
25	в данном	7	11
26	то же	11	11
27	по себе	3	11
28	как мы	11	11
29	ясно что	2	11
30	вопрос о	4	10
31	не в	9	10
32	прежде всего	3	10
33	но в	15	10
34	между тем	2	10
35	из этих	5	9
36	тем не	6	9
37	и как	6	9
38	все же	13	9
39	представляют собой	5	9
40	смысле этого	3	9
41	но не	10	9
42	не менее	6	9
43	дело с	2	9
44	это не	10	8
45	можно было	3	8
46	с другой	10	8
47	как нечто	3	8
48	в качестве	4	8
49	и то	4	7
50	сих пор	7	7
51	как и	9	7
52	как бы	5	7
53	этот вопрос	3	7
54	но и	24	7
55	было бы	5	7
56	до сих	7	7
57	сказать что	5	6
58	его в	7	6
59	хотя бы	3	6
60	иное как	6	6
61	об этом	8	6
62	и даже	4	6
63	но если	2	6
64	тем что	8	6
65	а именно	8	6
66	так например	3	6
67	с тем	3	6
68	и это	5	6
69	а в	13	6
70	уже не	11	6
71	в которых	7	6
72	могут быть	9	6
73	в то	2	6
74	один из	7	6
75	в руки	3	6
76	и что	6	6
77	и его	10	6
78	все это	4	6
79	этом случае	8	6
80	вовсе не	3	6
81	вместе с	12	6
82	данном случае	6	5
83	независимо от	3	5
84	дело не	3	5
85	не что	6	5
86	есть и	7	5
87	в виду	2	5
88	и тем	2	5
89	а как	2	5
90	связь между	2	5
91	одним из	4	5
92	с этой	3	5
93	что он	17	5
94	так что	8	5
95	что иное	6	5
96	в течение	6	5
97	что не	3	5
98	одно из	2	5
99	как это	5	5
100	есть не	2	5
101	не есть	3	5
102	другой стороны	10	5
103	в них	6	5
104	в целом	4	5
105	всяком случае	2	5
106	что и	17	5
107	не просто	4	5
108	а не	13	5
109	хотя и	4	5
110	во всяком	2	5
111	да и	2	4
112	особого рода	3	4
113	должен был	5	4
114	по сравнению	2	4
115	мы имеем	24	4
116	одной стороны	2	4
117	и ее	3	4
118	по отношению	2	4
119	только что	3	4
120	связана с	4	4
121	в особенности	3	4
122	это только	2	4
123	еще не	15	4
124	по мере	2	4
125	е в	2	4
126	отношению к	2	4
127	в чем	4	4
128	с одной	2	4
129	к тому	9	4
130	но все	5	4
131	и для	3	4
132	не имеет	3	4
133	только с	2	4
134	в котором	5	4
135	в виде	2	4
136	не вполне	7	4
137	в одном	9	4
138	из них	7	4
139	в себе	2	4
140	как она	2	4
141	в своей	4	4
142	сравнению с	2	4
143	можно сказать	3	4
144	той же	3	4
145	однако не	2	4
146	никогда не	9	3
147	одна из	2	3
148	в очень	2	3
149	что это	4	3
150	на нее	4	3
151	в своем	2	3
152	и той	2	3
153	а также	5	3
154	с этим	13	3
155	так же	16	3
156	в начале	2	3
157	и наоборот	2	3
158	что она	8	3
159	к этому	10	3
160	в другом	11	3
161	от того	3	3
162	отношение к	4	3
163	во второй	2	3
164	и здесь	8	3
165	или же	2	3
166	если бы	7	3
167	при помощи	11	3
168	и вот	3	3
169	раньше чем	6	3
170	в этих	18	3
171	в силу	2	3
172	только на	2	3
173	в частности	6	3
174	как в	6	3
175	здесь все	2	3
176	не с	2	3
177	мы видели	18	3
178	стороны и	3	3
179	вообще не	2	3
180	к нему	12	3
181	на этой	2	3
182	на том	3	3
183	и на	7	3
184	в ней	3	3
185	и к	4	3
186	на этом	5	3
187	то это	5	3
188	по этому	2	3
189	что же	2	3
190	здесь не	6	3
191	же как	8	3
192	вот почему	3	3
193	при этом	4	3
194	он сам	2	3
195	и уже	2	3
196	наряду с	4	3
197	все эти	8	3
198	связи с	9	3
199	и есть	3	3
200	как будто	2	3
201	не следует	2	3
202	в этой	7	3
203	в работе	3	3
204	того как	3	3
205	дать ответ	2	2
206	это еще	2	2
207	в таких	3	2
208	ничего не	12	2
209	у нас	7	2
210	и потому	2	2
211	из того	2	2
212	его к	5	2
213	мы должны	9	2
214	все время	2	2
215	но как	2	2
216	с ней	6	2
217	для нее	2	2
218	это в	2	2
219	есть только	4	2
220	или нет	2	2
221	доказывать что	2	2
222	что здесь	8	2
223	в этот	6	2
224	материал который	2	2
225	чтобы он	3	2
226	в связи	5	2
227	это делает	2	2
228	подобно тому	3	2
229	казалось бы	2	2
230	этой стороны	2	2
231	имеет свою	3	2
232	и при	2	2
233	с изучением	3	2
234	и другие	6	2
235	после этого	2	2
236	то она	2	2
237	так и	6	2
238	к своему	3	2
239	одной и	2	2
240	и др	4	2
241	после того	5	2
242	на котором	2	2
243	как следует	2	2
244	увидим что	2	2
245	она была	2	2
246	и так	3	2
247	это уже	3	2
248	на то	4	2
249	могло бы	2	2
250	если это	4	2
251	состоит в	4	2
252	можно только	3	2
253	а если	3	2
254	уже знаем	3	2
255	себе и	2	2
256	пока не	3	2
257	в свою	5	2
258	и с	10	2
259	исторической действительности	2	2
260	но это	5	2
261	он и	4	2
262	что мы	5	2
263	от которых	2	2
264	мы можем	10	2
265	тому как	3	2
266	точно так	8	2
267	себя в	2	2
268	для них	3	2
269	жизни и	2	2
270	а затем	6	2
271	не было	2	2
272	тогда как	6	2
273	только после	2	2
274	из него	3	2
275	мы не	3	2
276	в тех	3	2
277	что они	14	2
278	стоит в	2	2
279	как только	2	2
280	именно на	2	2
281	все равно	3	2
282	должна быть	2	2
283	не мог	2	2
284	например в	3	2
285	во всем	3	2
286	в дальнейшем	8	2
287	этого слова	3	2
288	если же	2	2
289	из его	2	2
290	по существу	3	2
291	оказалось что	2	2
292	этих двух	2	2
293	мы уже	9	2
294	быть и	3	2
295	этих случаях	14	2
