N	3gram	Potebnia_M	Analitik
1	в том что	18	25
2	не может быть	11	19
3	по отношению к	13	18
4	в то же	3	16
5	то же время	3	14
6	подобно тому как	7	9
7	с одной стороны	6	9
8	с другой стороны	7	9
9	по крайней мере	6	9
10	в свою очередь	8	9
11	не только в	3	8
12	как и в	3	8
13	с точки зрения	3	8
14	во всяком случае	7	7
15	что иное как	2	7
16	в таком случае	4	7
17	тем не менее	10	6
18	одного и того	6	6
19	не что иное	2	6
20	и того же	6	6
21	но и в	4	5
22	не только не	2	5
23	для того чтобы	4	4
24	из того что	2	4
25	не в том	6	4
26	и тем самым	2	4
27	и в этом	7	4
28	в этом смысле	4	4
29	сама по себе	4	4
30	бы то ни	2	3
31	и т п	4	3
32	в противном случае	3	3
33	между тем в	2	3
34	и как бы	4	3
35	сам по себе	5	3
36	не могут быть	5	3
37	в связи с	2	3
38	одной и той	3	3
39	сами по себе	8	3
40	быть не может	2	3
41	и той же	3	3
42	дело в том	3	3
43	а в том	4	3
44	том что по	2	2
45	в эту минуту	2	2
46	в применении к	3	2
47	на этот вопрос	2	2
48	более или менее	6	2
49	не в состоянии	2	2
50	к тому что	2	2
51	в том и	2	2
52	с этой точки	2	2
53	до сих пор	5	2
54	смысле этого слова	3	2
55	а между тем	5	2
56	на то что	3	2
57	в сравнении с	4	2
