N	3gram	Voloshinov	StatiiOP
1	в том что	9	47
2	о том что	2	29
3	в этом отношении	4	24
4	для того чтобы	7	19
5	до сих пор	10	19
6	с точки зрения	31	14
7	во всяком случае	4	13
8	с другой стороны	6	13
9	не может быть	23	11
10	в то же	7	9
11	в самом деле	13	9
12	то же время	7	9
13	на то что	2	9
14	можно было бы	2	9
15	на самом деле	5	8
16	тем не менее	3	8
17	не только в	2	8
18	к тому что	4	8
19	том что он	3	7
20	в конце концов	3	7
21	но все же	4	7
22	по отношению к	9	6
23	так и в	2	6
24	так же как	2	6
25	вопрос о том	2	6
26	в этом смысле	2	6
27	с самого начала	9	5
28	но и в	3	5
29	ничего общего с	2	4
30	в связи с	12	4
31	с одной стороны	2	4
32	так или иначе	2	4
33	того или иного	2	4
34	бы то ни	11	3
35	можно сказать что	4	3
36	а иногда и	2	3
37	в том числе	3	3
38	одним и тем	2	3
39	себе отчет в	2	3
40	и не в	3	3
41	и пр в	4	3
42	к тому же	2	3
43	в этом случае	3	3
44	и тем же	2	3
45	более или менее	3	3
46	в значительной степени	3	3
47	то же самое	8	2
48	как мы видели	4	2
49	тех пор пока	2	2
50	все более и	2	2
51	но в то	6	2
52	может быть и	8	2
53	и пр но	2	2
54	на этой почве	4	2
55	в какой степени	2	2
56	в чем же	2	2
57	той или иной	5	2
58	в отличие от	7	2
59	то ни было	11	2
60	у нас не	3	2
61	чуть ли не	2	2
62	на этот вопрос	3	2
63	в настоящее время	6	2
64	вовсе не является	3	2
65	свое выражение в	2	2
66	в зависимости от	2	2
67	тесно связана с	3	2
68	том числе и	3	2
69	до тех пор	2	2
70	является не только	4	2
71	более и более	2	2
72	в свою очередь	5	2
73	а не в	3	2
74	в той или	3	2
