N	3gram	Voloshinov	Problemy
1	то же время	7	26
2	в то же	9	26
3	с точки зрения	5	25
4	по отношению к	2	18
5	на самом деле	3	15
6	не может быть	2	14
7	но в то	2	11
8	в конце концов	3	11
9	с самого начала	4	9
10	в самом деле	2	9
11	как бы в	3	7
12	и в то	2	7
13	той или иной	4	5
14	в зависимости от	7	5
15	но все же	3	5
16	о том что	2	4
17	в этом отношении	2	4
18	смысле этого слова	2	4
19	но при этом	2	3
20	все то что	2	3
21	и то же	5	3
22	как мы видели	3	3
23	как мы уже	3	3
24	как мы увидим	2	3
25	одно и то	5	3
26	в этом случае	3	3
27	его внутренней речи	2	3
28	мы увидим что	2	3
29	в той же	3	3
30	в каждом слове	2	3
31	можно сказать что	2	3
32	прежде всего в	4	2
33	то же самое	4	2
34	не только в	3	2
35	к тому что	2	2
36	вместе с тем	2	2
37	для того чтобы	7	2
38	в значительной степени	2	2
39	в свою очередь	4	2
