N	3gram	Voloshinov	EvropaiE
1	с точки зрения	31	16
2	в то же	7	15
3	то же время	7	14
4	в отношении к	7	12
5	с одной стороны	2	8
6	в том что	9	6
7	для того чтобы	7	5
8	так же как	2	5
9	то ни было	11	4
10	бы то ни	11	4
11	той или иной	5	4
12	не только в	2	4
13	того или иного	2	4
14	само по себе	2	4
15	и прежде всего	4	3
16	во всяком случае	4	3
17	же как и	2	3
18	в этом отношении	4	3
19	можно сказать что	4	3
20	в этом смысле	2	3
21	можно было бы	2	3
22	друг с другом	2	3
23	в той или	3	3
24	рано или поздно	2	2
25	с другой стороны	6	2
26	на то что	2	2
27	каких бы то	3	2
28	в большинстве случаев	7	2
29	но в то	6	2
30	или хотя бы	2	2
31	так и в	2	2
32	как мы видели	4	2
33	мы можем сказать	2	2
34	в свою очередь	5	2
35	не может быть	23	2
