N	2gram	Tiupa_Narr	VLabPisa
1	в этом	17	29
2	не только	32	26
3	и в	19	26
4	может быть	25	23
5	хотя бы	4	20
6	и не	20	20
7	не может	10	17
8	в том	18	15
9	в его	9	15
10	этом отношении	3	14
11	в силу	4	14
12	прежде всего	4	13
13	в частности	14	12
14	как это	6	12
15	в качестве	21	12
16	что в	3	11
17	с другой	8	11
18	из них	3	11
19	то же	4	10
20	но и	23	10
21	и др	2	10
22	о том	6	10
23	для него	2	9
24	в своем	2	8
25	том что	14	8
26	говорит и	2	8
27	могут быть	3	8
28	другой стороны	4	8
29	все эти	2	8
30	было бы	4	8
31	только в	4	8
32	это не	2	7
33	из этих	3	7
34	по отношению	7	7
35	то что	11	7
36	отношению к	6	7
37	как и	7	7
38	в нем	4	7
39	в конечном	3	7
40	не было	2	7
41	говорит о	2	7
42	же в	4	7
43	а не	12	7
44	не в	14	6
45	в то	3	6
46	в себе	8	6
47	или менее	2	6
48	это и	3	6
49	все же	7	6
50	у него	4	6
51	так и	9	6
52	более или	2	6
53	приводит к	2	6
54	один из	3	6
55	и его	5	6
56	между тем	3	6
57	никогда не	3	5
58	даже в	2	5
59	сказать что	4	5
60	конечном счете	2	5
61	перед нами	4	5
62	в результате	2	5
63	как говорит	3	5
64	в пределах	2	5
65	не является	8	5
66	одним из	2	5
67	к тому	7	5
68	как бы	4	5
69	утверждать что	2	5
70	связи с	4	5
71	же время	4	5
72	и есть	2	5
73	одна из	3	4
74	и ее	2	4
75	различного рода	3	4
76	роль в	2	4
77	что он	6	4
78	по существу	2	4
79	когда он	3	4
80	отнюдь не	5	4
81	как раз	2	4
82	в ее	3	4
83	в связи	2	4
84	можно сказать	5	4
85	в этой	5	4
86	с его	6	4
87	например в	2	3
88	мы имеем	2	3
89	так же	2	3
90	но как	2	3
91	и он	3	3
92	вслед за	4	3
93	в форме	5	3
94	в значительной	2	3
95	его в	2	3
96	и как	5	3
97	тому как	2	3
98	подобно тому	2	3
99	при всем	2	3
100	того что	2	3
101	нет и	2	3
102	далеко не	5	3
103	что у	2	3
104	она не	2	3
105	а в	11	3
106	всего лишь	2	3
107	именно в	6	3
108	точки зрения	10	3
109	мира и	2	3
110	между ними	2	3
111	что не	4	3
112	жизни и	3	3
113	сводится к	3	3
114	или в	2	3
115	что они	3	3
116	в противоположность	2	3
117	не о	3	2
118	если в	3	2
119	да и	4	2
120	или иной	5	2
121	и потому	2	2
122	того или	2	2
123	о чем	2	2
124	одной стороны	7	2
125	можно было	2	2
126	вплоть до	2	2
127	который по	3	2
128	при всей	4	2
129	даже не	3	2
130	отличается от	4	2
131	что нет	2	2
132	и даже	3	2
133	лица и	2	2
134	из многочисленных	2	2
135	бы не	2	2
136	в особенности	4	2
137	не всегда	2	2
138	в области	2	2
139	еще не	7	2
140	всех его	2	2
141	с одной	7	2
142	не с	3	2
143	как известно	2	2
144	одной из	4	2
145	они и	2	2
146	но не	6	2
147	и для	2	2
148	не менее	3	2
149	на него	3	2
150	но в	6	2
151	они не	2	2
152	зависит от	2	2
153	и процессов	2	2
154	пока еще	4	2
155	в ней	3	2
156	например как	2	2
157	будто бы	3	2
158	этой точки	2	2
159	из которых	4	2
160	не столько	4	2
161	что мы	2	2
162	по себе	5	2
163	может не	3	2
164	человека в	2	2
165	же как	3	2
166	он сам	2	2
167	числе и	4	2
168	говорить о	2	2
169	было в	2	2
170	только о	2	2
171	он не	3	2
172	во всей	2	2
173	должна быть	2	2
174	который в	2	2
175	хотя и	3	2
176	том числе	6	2
