N	3gram	Potebnia_M	DiskursI
1	в том что	22	28
2	по отношению к	10	17
3	с одной стороны	4	14
4	не может быть	7	12
5	в данном случае	3	12
6	то же время	8	10
7	о том что	5	9
8	в то же	8	8
9	в этом отношении	2	8
10	тогда как в	2	7
11	как и в	3	7
12	по крайней мере	8	6
13	так и в	2	6
14	с точки зрения	2	6
15	то же самое	3	5
16	и как бы	2	5
17	подобно тому как	3	5
18	не только в	4	5
19	с другой стороны	4	5
20	и может быть	2	5
21	в свою очередь	6	5
22	тем не менее	7	4
23	одного и того	2	4
24	не в том	6	4
25	можно сказать что	3	4
26	в этом случае	2	4
27	не было в	3	4
28	и того же	2	4
29	одно и то	7	3
30	и то же	7	3
31	в себе не	2	3
32	в том случае	2	3
33	более или менее	6	3
34	во всяком случае	3	3
35	а не как	2	2
36	сами по себе	3	2
37	и той же	4	2
38	все то что	2	2
39	потому что в	4	2
40	и тем же	4	2
41	в большинстве случаев	2	2
42	но и в	4	2
43	упускать из виду	2	2
44	заключает в себе	10	2
45	и в том	3	2
46	одной и той	4	2
47	только в том	5	2
48	одним и тем	4	2
49	из виду что	2	2
50	по себе не	2	2
51	то есть к	3	2
52	а в том	5	2
53	и то что	3	2
54	в том чтобы	4	2
