N	2gram	Losev_Dial	RusskieA
1	и в	34	79
2	в том	17	64
3	том что	18	59
4	что в	12	57
5	т е	72	54
6	не только	35	41
7	так как	12	34
8	в этом	14	33
9	как бы	19	31
10	но и	14	31
11	как и	14	28
12	может быть	30	28
13	и на	6	28
14	в этот	3	26
15	одна из	4	24
16	и т	41	23
17	о том	11	23
18	при этом	7	22
19	т д	38	21
20	это не	13	20
21	е в	4	20
22	как мы	4	20
23	а в	3	20
24	из них	4	19
25	все это	13	18
26	с тем	4	17
27	потому что	21	17
28	показывает что	4	17
29	то что	25	17
30	об этом	8	17
31	таким образом	14	17
32	вместе с	3	17
33	мы не	11	16
34	или на	2	15
35	у нас	7	14
36	для нас	2	14
37	не менее	11	14
38	в них	6	14
39	как это	8	14
40	тем не	10	14
41	и не	50	14
42	и с	10	14
43	и что	21	14
44	так что	11	13
45	и по	2	13
46	к этому	3	13
47	не может	29	13
48	еще не	7	13
49	как в	2	13
50	уже не	9	13
51	в некоторых	3	13
52	в виде	11	12
53	мы имеем	3	12
54	тем что	5	12
55	что на	3	11
56	но это	10	11
57	не имеет	18	11
58	его в	2	10
59	так и	11	10
60	по существу	2	10
61	все же	4	10
62	что и	8	10
63	в течение	4	10
64	или в	4	10
65	данном случае	3	9
66	о чем	2	9
67	но в	3	9
68	и все	17	9
69	что они	2	9
70	того как	2	9
71	то же	9	9
72	но не	3	9
73	на части	2	9
74	так же	7	8
75	после этого	2	8
76	того что	22	8
77	одно из	8	8
78	в данном	6	8
79	на себя	3	8
80	их в	2	8
81	же в	2	8
82	связи с	3	8
83	не объясняет	2	8
84	представление о	3	8
85	что это	20	8
86	как например	2	8
87	во всех	2	8
88	подобно тому	5	8
89	ее в	3	8
90	для того	4	8
91	в этих	3	8
92	тому как	5	8
93	в своем	7	7
94	ничего не	29	7
95	в свете	3	7
96	не в	11	7
97	к нему	4	7
98	на них	2	7
99	было бы	13	7
100	для этого	3	7
101	из этих	5	7
102	в это	4	7
103	и как	13	7
104	не можем	3	7
105	только в	10	7
106	как будто	3	7
107	а не	39	7
108	в этой	3	6
109	и у	3	6
110	друг друга	3	6
111	на этом	3	6
112	в их	2	6
113	не всегда	3	6
114	только на	8	6
115	тому что	5	6
116	она не	10	6
117	к тому	4	6
118	что этот	3	6
119	в нем	7	6
120	так в	2	6
121	же как	4	6
122	с ними	3	6
123	все эти	4	6
124	чем в	2	6
125	но она	4	6
126	в одном	3	6
127	что она	13	6
128	и о	9	6
129	что здесь	3	6
130	но они	3	6
131	и пр	16	6
132	в разные	2	6
133	в таком	15	6
134	на самом	2	5
135	вопрос о	9	5
136	и потому	6	5
137	вплоть до	2	5
138	но если	11	5
139	или же	3	5
140	нас к	2	5
141	тогда когда	9	5
142	что он	18	5
143	нет никаких	3	5
144	прежде всего	20	5
145	в разных	2	5
146	с этим	4	5
147	заметить что	2	5
148	в то	9	5
149	или вообще	3	5
150	как объяснить	2	5
151	в связи	3	5
152	не было	6	5
153	например в	3	5
154	в его	6	5
155	то и	5	5
156	в особенности	9	5
157	ничего общего	2	5
158	чаще всего	3	5
159	в целях	4	5
160	и для	5	5
161	с другой	5	5
162	и к	5	5
163	отнюдь не	16	5
164	с ним	3	5
165	мы уже	6	5
166	где есть	2	4
167	и ее	8	4
168	иное как	6	4
169	не что	6	4
170	и при	4	4
171	только тогда	7	4
172	или по	4	4
173	отличие от	2	4
174	могут быть	5	4
175	и тогда	6	4
176	не на	7	4
177	во всяком	5	4
178	в основе	6	4
179	и от	4	4
180	по своему	2	4
181	в древней	2	4
182	дело не	2	4
183	несмотря на	2	4
184	и здесь	3	4
185	не просто	20	4
186	кроме того	8	4
187	та же	5	4
188	природы и	4	4
189	она в	3	4
190	что иное	6	4
191	и из	2	4
192	что у	2	4
193	их не	3	4
194	что для	5	4
195	именно в	5	4
196	в котором	2	4
197	в своих	3	4
198	в ней	4	4
199	всяком случае	3	4
200	то время	6	4
201	во всем	5	4
202	но он	3	4
203	никогда не	9	3
204	чтобы не	4	3
205	всех этих	3	3
206	ее и	2	3
207	руки и	2	3
208	том как	2	3
209	в одной	4	3
210	них как	2	3
211	сразу же	2	3
212	есть и	14	3
213	это и	12	3
214	в виду	12	3
215	тут же	3	3
216	как он	4	3
217	и другое	2	3
218	обычно не	2	3
219	мы знаем	3	3
220	ноги и	2	3
221	что все	16	3
222	и это	12	3
223	тех пор	3	3
224	точки зрения	43	3
225	с которой	2	3
226	в ее	5	3
227	что с	2	3
228	и во	3	3
229	сюда же	2	3
230	в своей	4	3
231	в природе	5	3
232	содержится в	3	3
233	нет и	5	3
234	из самых	3	3
235	место в	2	3
236	хотя и	9	3
237	и то	7	3
238	или не	10	3
239	независимо от	3	3
240	от этого	5	3
241	если бы	10	3
242	известно что	4	3
243	на небо	2	3
244	на первый	4	3
245	можно говорить	2	3
246	они могли	2	3
247	а именно	7	3
248	между собою	3	3
249	жизнь и	9	3
250	не имеем	3	3
251	с одной	4	3
252	это конечно	2	3
253	есть в	4	3
254	думать что	3	3
255	на то	5	3
256	все что	3	3
257	когда он	3	3
258	и этим	3	3
259	из которых	4	3
260	так чтобы	4	3
261	находится в	2	3
262	можно назвать	3	3
263	с точки	25	3
264	говорит о	5	3
265	здесь не	2	3
266	только как	7	3
267	и его	8	3
268	по его	2	3
269	же и	2	3
270	как на	6	3
271	как только	5	3
272	что именно	10	3
273	тому же	2	3
274	быть и	7	3
275	и притом	10	2
276	в область	2	2
277	что их	2	2
278	о характере	2	2
279	следовательно и	2	2
280	всем этом	2	2
