N	2gram	Bakhtin_Pr	EvropaiE
1	и в	83	37
2	в отношении	3	32
3	в пределах	8	25
4	точки зрения	17	23
5	что в	5	21
6	не только	14	18
7	с точки	13	17
8	в то	8	16
9	отношении к	2	15
10	хотя бы	6	15
11	то же	10	15
12	в своем	2	14
13	но в	12	14
14	но и	16	14
15	и не	41	14
16	же время	8	14
17	в этом	24	12
18	в том	22	11
19	в их	7	11
20	в области	6	11
21	так и	9	10
22	все более	2	9
23	так же	4	9
24	в смысле	2	9
25	не может	18	9
26	в себе	10	9
27	прежде всего	20	9
28	только в	10	9
29	между тем	2	8
30	в ее	3	8
31	было бы	6	8
32	в своей	5	8
33	к тому	2	8
34	по своему	6	7
35	нам кажется	4	7
36	также и	5	7
37	с другой	4	7
38	а также	4	7
39	как и	13	7
40	так как	12	7
41	том что	9	6
42	во всех	15	6
43	то есть	86	6
44	и даже	5	6
45	может быть	23	6
46	и на	27	6
47	на то	2	6
48	то что	14	6
49	как бы	27	6
50	вовсе не	12	6
51	но не	9	5
52	тем самым	2	5
53	и по	5	5
54	и потому	6	5
55	но если	4	5
56	в той	2	5
57	как мы	12	5
58	не в	10	5
59	одной из	6	5
60	даже в	3	4
61	сказать что	12	4
62	и притом	2	4
63	или иной	2	4
64	во многих	2	4
65	можно сказать	12	4
66	именно в	3	4
67	в процессе	4	4
68	в самом	7	4
69	мы не	7	4
70	в ней	8	4
71	по себе	3	4
72	несмотря на	3	4
73	тем более	2	4
74	к ней	3	4
75	в направлении	2	4
76	той или	2	4
77	как это	2	4
78	чем в	2	4
79	никогда не	10	3
80	и от	4	3
81	и для	5	3
82	о том	3	3
83	к ним	5	3
84	в общем	2	3
85	того же	5	3
86	время в	2	3
87	в которых	2	3
88	когда он	2	3
89	можно было	2	3
90	этом смысле	5	3
91	мира и	3	3
92	бы и	3	3
93	и к	13	3
94	в результате	2	3
95	мы можем	9	3
96	но на	2	3
97	от них	2	3
98	из них	7	3
99	и прежде	6	3
100	во все	5	3
101	в них	4	3
102	место в	3	3
103	на себя	3	3
104	мы видели	2	3
105	что и	4	3
106	друг с	6	3
107	и некоторые	2	3
108	отметить что	3	3
109	там где	3	3
110	и тем	4	3
111	не дает	3	3
112	по своим	2	3
113	тем что	2	3
114	говорит о	2	3
115	жизни в	4	3
116	потому что	9	3
117	в таком	3	3
118	с другом	6	3
119	как в	10	3
120	в известной	3	3
121	большинстве случаев	9	3
122	ее в	4	3
123	во всяком	2	3
124	дело в	3	3
125	есть в	7	2
126	для понимания	3	2
127	и если	4	2
128	представление о	3	2
129	в мире	8	2
130	кажется что	3	2
131	если в	2	2
132	в его	15	2
133	отношений между	2	2
134	начиная с	4	2
135	что это	2	2
136	в эту	3	2
137	и то	2	2
138	меньшей степени	6	2
139	к нему	3	2
140	не могут	4	2
141	она не	4	2
142	и xix	3	2
143	а в	4	2
144	с этим	3	2
145	мы должны	4	2
146	или по	3	2
147	с другими	6	2
148	в котором	8	2
149	и человеческой	2	2
150	с большой	3	2
151	но как	2	2
152	далеко не	4	2
153	в своих	4	2
154	от друга	2	2
155	и отчасти	2	2
156	и еще	2	2
157	и поэтому	2	2
158	в большинстве	9	2
159	во многом	3	2
160	и с	10	2
161	бы в	2	2
162	этот вопрос	3	2
163	что на	2	2
164	могут быть	5	2
165	в развитии	5	2
166	другой стороны	3	2
167	что все	3	2
168	xviii и	3	2
169	между ними	14	2
170	по своей	12	2
171	следует отметить	2	2
172	на язык	4	2
173	в европейской	2	2
174	в одном	4	2
175	и ту	2	2
176	на них	2	2
177	для них	2	2
178	в этих	8	2
179	жизни и	13	2
180	еще более	6	2
181	в других	2	2
182	а не	19	2
183	и тут	2	2
184	и других	12	2
185	мы видим	2	2
186	и что	3	2
187	и во	6	2
188	или точнее	2	2
189	и наконец	4	2
190	но именно	4	2
191	и все	14	2
192	влияние на	14	2
193	или в	7	2
194	друг от	2	2
195	наряду с	6	2
196	по сравнению	6	2
197	таким образом	9	2
198	в истории	4	2
199	он не	5	2
200	как будто	3	2
201	во всей	5	2
202	главным образом	3	2
203	сравнению с	6	2
204	не к	3	2
205	в этой	3	2
206	в некоторых	7	2
207	но с	2	2
208	хотя и	10	2
209	вместе с	5	2
210	он сам	5	2
211	на основе	4	2
212	и более	3	2
