N	2gram	Berdyaev_V	Poddanst
1	не только	2	17
2	и в	16	14
3	и не	20	12
4	в этом	4	10
5	но в	3	9
6	в том	3	9
7	хотя бы	3	8
8	только в	2	7
9	но и	5	6
10	в ней	4	6
11	не в	3	5
12	что в	3	4
13	и потому	7	4
14	том что	2	4
15	в котором	4	4
16	как бы	5	4
17	то что	9	4
18	а в	2	4
19	что мы	4	3
20	с тем	2	3
21	но не	2	3
22	это не	2	3
23	мы не	2	3
24	потому что	4	3
25	в нем	4	3
26	между тем	2	3
27	вслед за	2	3
28	могут быть	2	3
29	прежде всего	2	3
30	и т	2	3
31	хотя и	5	3
32	тот же	3	3
33	для нас	2	2
34	должно быть	3	2
35	да и	2	2
36	в них	3	2
37	является в	2	2
38	в жизни	3	2
39	в мире	5	2
40	одна из	2	2
41	для них	2	2
42	не к	2	2
43	и мы	3	2
44	и это	2	2
45	более чем	2	2
46	духа и	2	2
47	в его	4	2
48	говорить о	4	2
49	все это	5	2
50	а не	7	2
51	не было	3	2
52	и есть	4	2
53	на этих	2	2
54	во всех	3	2
55	к чему	3	2
56	того что	5	2
