N	2gram	Voloshinov	KFilosof
1	может быть	8	45
2	в его	7	42
3	в нем	2	32
4	не может	8	29
5	и не	8	28
6	и в	13	28
7	по отношению	3	26
8	отношению к	3	22
9	в себе	3	21
10	и его	12	18
11	только в	6	18
12	в ее	3	17
13	а не	2	17
14	в этом	2	15
15	не в	3	13
16	для него	2	13
17	точки зрения	7	13
18	в своей	4	11
19	все эти	2	11
20	в целом	2	10
21	и для	3	10
22	все это	4	10
23	с точки	5	10
24	в их	3	9
25	но и	3	9
26	как бы	6	9
27	и все	3	9
28	если бы	2	8
29	лишь в	4	8
30	было бы	4	8
31	для себя	2	7
32	то что	6	7
33	во всем	2	7
34	вовсе не	2	7
35	в том	2	6
36	не имеет	2	6
37	и их	7	6
38	никогда не	3	5
39	все же	5	5
40	не только	6	5
41	хотя бы	5	5
42	то же	4	5
43	но ведь	5	5
44	ни одно	2	5
45	а в	2	5
46	но в	4	5
47	как и	3	5
48	в одном	3	5
49	там где	2	5
50	том что	2	4
51	что в	3	4
52	не как	3	4
53	и т.д	5	4
54	прежде всего	9	4
55	в чем	2	4
56	здесь мы	3	4
57	в своих	2	4
58	входит в	2	4
59	с ними	2	4
60	при этом	2	4
61	во всей	2	4
62	между тем	2	4
63	или иного	2	3
64	того или	2	3
65	сознания и	2	3
66	в каждом	4	3
67	в другом	2	3
68	тем что	2	3
69	и тем	2	3
70	самом деле	3	3
71	и пр	7	3
72	и этот	2	3
73	не менее	2	3
74	в ней	2	3
75	могут быть	2	3
76	но для	3	3
77	мы не	4	3
78	и может	2	3
79	на язык	2	3
80	тот же	2	3
81	конечно в	2	2
82	и то	3	2
83	кажется что	2	2
84	в данном	2	2
85	его на	2	2
86	говорить о	3	2
87	и ее	2	2
88	и эта	5	2
89	а как	2	2
90	в области	2	2
91	так и	3	2
92	может иметь	2	2
93	как в	2	2
94	от этого	2	2
95	думать что	2	2
96	всей своей	2	2
97	в сознании	4	2
98	соответствии с	2	2
99	в процессе	5	2
100	что эта	2	2
101	ничего общего	3	2
102	мы получим	2	2
