N	2gram	Medvedev_V	VrazhdaK
1	тургенева и	2	18
2	в году	7	18
3	у тургенева	3	11
4	не только	26	9
5	в этом	29	8
6	и в	26	8
7	что в	11	7
8	но и	10	7
9	достоевского и	2	7
10	то что	7	7
11	но в	2	6
12	как и	7	6
13	в котором	3	6
14	в нем	7	6
15	все же	6	6
16	в романе	4	6
17	и даже	2	6
18	и не	20	5
19	не было	7	5
20	об этом	9	5
21	то же	10	5
22	в то	6	5
23	же время	5	5
24	у него	6	5
25	между тем	6	5
26	в письме	16	5
27	в своих	2	4
28	это не	7	4
29	в виду	4	4
30	все это	13	4
31	о том	10	4
32	в ней	2	4
33	как бы	5	4
34	так же	3	4
35	что он	4	4
36	письме к	12	4
37	в дневнике	3	4
38	может быть	23	4
39	человека в	2	3
40	т е	18	3
41	и у	2	3
42	в том	15	3
43	в чем	2	3
44	одним из	5	3
45	его в	3	3
46	далеко не	3	3
47	что у	3	3
48	в своем	8	3
49	том что	8	3
50	в его	15	3
51	в связи	4	3
52	апреля года	2	3
53	и его	6	3
54	и как	3	3
55	он не	2	3
56	связи с	5	3
57	к этому	9	3
58	на то	2	3
59	в конце	3	3
60	марта года	2	3
61	с его	4	3
62	никогда не	5	2
63	с нею	2	2
64	в них	5	2
65	а н	3	2
66	одна из	4	2
67	к ним	2	2
68	и достоевский	2	2
69	начиная с	2	2
70	для него	9	2
71	при помощи	3	2
72	при создании	3	2
73	мы знаем	3	2
74	а в	3	2
75	он сам	2	2
76	в этой	4	2
77	том же	6	2
78	в нашей	4	2
79	в своей	4	2
80	как раз	4	2
81	он пишет	9	2
82	же в	7	2
83	но как	3	2
84	и он	3	2
85	в себе	6	2
86	еще не	2	2
87	точки зрения	3	2
88	о чем	2	2
89	же как	2	2
90	после этого	2	2
91	таким образом	32	2
92	и ее	4	2
93	во время	4	2
94	мая года	3	2
95	п в	3	2
96	на это	2	2
97	их в	7	2
98	письме от	5	2
99	не может	17	2
100	и образы	3	2
101	из них	11	2
102	не менее	2	2
103	отнюдь не	4	2
104	на основе	5	2
105	вместе с	8	2
