N	2gram	Savitsky_E	DiskursI
1	в качестве	14	72
2	а не	2	60
3	может быть	6	56
4	не только	18	49
5	и в	37	49
6	как и	7	47
7	в том	11	44
8	и не	14	44
9	то есть	6	41
10	представляет собой	3	41
11	том что	6	40
12	в этом	12	38
13	в себе	9	37
14	в частности	5	36
15	но и	14	35
16	но не	5	31
17	со стороны	5	28
18	так и	10	28
19	но в	14	28
20	не может	9	27
21	по своей	2	26
22	как в	3	25
23	отнюдь не	9	23
24	а также	7	20
25	прежде всего	9	19
26	в своей	8	19
27	далеко не	2	18
28	в данном	3	17
29	то же	15	17
30	с другой	7	17
31	в мире	2	17
32	точки зрения	23	16
33	только в	9	16
34	в его	2	15
35	то что	6	15
36	о том	3	15
37	или иной	4	14
38	не в	5	14
39	одной стороны	8	14
40	можно сказать	4	14
41	не является	3	14
42	с одной	8	14
43	как бы	6	13
44	данном случае	2	12
45	в своем	14	12
46	и все	2	12
47	того же	3	12
48	в своих	2	12
49	и на	6	12
50	что в	21	11
51	и как	2	11
52	столь же	5	11
53	а в	2	10
54	той или	4	10
55	также и	7	10
56	же время	14	10
57	тем самым	5	9
58	в то	16	9
59	в силу	2	9
60	между тем	8	9
61	в них	3	9
62	этом отношении	3	8
63	к тому	8	8
64	потому что	3	8
65	не на	4	8
66	хотя и	2	8
67	если в	2	8
68	и даже	6	8
69	жизни в	3	8
70	в этих	2	8
71	в котором	2	8
72	в одном	2	8
73	из них	3	8
74	он не	2	8
75	могут быть	2	7
76	одной из	5	7
77	и для	3	7
78	в процессе	4	7
79	что и	3	7
80	в этой	2	7
81	другой стороны	2	7
82	иначе говоря	2	7
83	мира в	4	7
84	в пределах	25	7
85	таким образом	2	7
86	никогда не	3	6
87	именно в	4	6
88	что же	2	6
89	в истории	2	6
90	в ее	8	6
91	имеет место	2	6
92	и то	2	6
93	то в	4	6
94	дело в	3	6
95	во всех	6	6
96	в которых	3	6
97	с точки	17	6
98	и того	2	6
99	в их	11	5
100	свою очередь	2	5
101	и потому	5	5
102	того что	7	5
103	к ним	3	5
104	в прошлом	3	5
105	стороны и	6	5
106	мира и	3	5
107	во втором	2	5
108	несмотря на	4	5
109	как будто	2	5
110	сказать что	4	5
111	во второй	3	5
112	в значительной	2	5
113	себе не	3	5
114	к той	2	5
115	известной степени	3	5
116	в свою	3	5
117	в сторону	2	5
118	в той	5	5
119	не к	2	5
120	по своим	3	5
121	в ней	4	5
122	тем что	3	5
123	не могут	2	4
124	из того	2	4
125	более чем	2	4
126	и прежде	3	4
127	и тем	3	4
128	одном из	2	4
129	того или	4	4
130	по своему	7	4
131	как это	4	4
132	в полной	4	4
133	его на	2	4
134	и во	2	4
135	во всяком	3	4
136	или иного	4	4
137	в результате	3	4
138	по преимуществу	2	4
139	в данной	3	4
140	в культуре	3	4
141	в какой	2	4
142	есть в	2	4
143	частности в	2	4
144	в самом	4	4
145	не есть	2	4
146	и к	3	4
147	по себе	4	4
148	говорит о	3	4
149	не более	3	4
150	точка зрения	2	4
151	или в	2	4
152	вопрос о	4	3
153	и притом	4	3
154	идет о	3	3
155	в области	11	3
156	на основании	2	3
157	как на	3	3
158	но как	2	3
159	она не	2	3
160	заметить что	2	3
161	что на	2	3
162	на себя	3	3
163	не говоря	2	3
164	между собой	2	3
165	в сферу	2	3
166	было бы	8	3
167	мы не	4	3
168	начало в	2	3
169	говоря уже	2	3
170	должна быть	2	3
171	как мы	5	3
172	и от	3	3
173	с этим	2	3
174	хотя бы	15	3
175	к ней	4	3
176	и по	5	3
177	но также	2	3
178	как не	2	3
179	и наконец	2	3
180	заключается в	2	3
181	и более	2	3
182	не имеет	4	3
183	когда он	3	3
184	всяком случае	3	3
185	жизни и	2	3
186	то ни	4	3
187	место в	3	3
188	в большинстве	2	3
189	и что	2	3
190	вместе с	2	3
191	в отношении	32	2
192	очевидно что	3	2
193	мы должны	2	2
194	всего лишь	3	2
195	как было	3	2
196	вслед за	6	2
197	есть не	2	2
198	же к	2	2
199	культуры не	2	2
200	всего в	2	2
201	в россии	5	2
202	мы видели	3	2
203	для понимания	2	2
204	к нему	2	2
205	или по	2	2
206	большинстве случаев	3	2
207	ни столь	2	2
208	большей части	2	2
209	обстоит дело	3	2
210	же как	5	2
211	на язык	2	2
212	вовсе не	6	2
213	бы то	4	2
214	представление о	2	2
215	различия в	3	2
216	утверждать что	2	2
217	с другими	2	2
218	время в	3	2
219	тем более	4	2
220	не нужно	2	2
221	мы можем	3	2
222	как их	2	2
223	целый ряд	2	2
224	если бы	2	2
225	ни было	4	2
226	для того	6	2
227	с этой	6	2
228	такой же	2	2
229	отношении к	15	2
230	заключает в	3	2
231	случаях когда	2	2
232	на этот	2	2
233	ее в	3	2
234	на то	6	2
235	пожалуй и	2	2
236	еще более	2	2
237	и с	2	2
238	но на	3	2
239	и теперь	2	2
240	в случае	2	2
241	он сам	2	2
242	в некоторых	2	2
243	и только	3	2
244	на основе	2	2
