N	2gram	Nazirov_Tr	VrazhdaK
1	в году	9	18
2	в бесах	9	10
3	не только	8	9
4	достоевский в	7	8
5	и что	4	8
6	в этом	9	8
7	и в	18	8
8	что в	4	7
9	но и	4	7
10	и все	4	7
11	достоевского в	3	7
12	то что	4	7
13	но в	6	6
14	как и	5	6
15	в нем	4	6
16	и с	7	6
17	все же	5	6
18	в романе	10	6
19	и даже	4	6
20	и не	7	5
21	об этом	4	5
22	то же	5	5
23	в то	5	5
24	же время	6	5
25	у него	6	5
26	что достоевский	4	4
27	уже в	3	4
28	несмотря на	5	4
29	у достоевского	5	4
30	это не	5	4
31	все это	4	4
32	при этом	3	4
33	о том	2	4
34	как бы	7	4
35	так же	4	4
36	что он	6	4
37	с ним	3	4
38	и детей	2	4
39	может быть	7	4
40	в том	2	3
41	его в	2	3
42	петр верховенский	7	3
43	в своем	3	3
44	том что	4	3
45	в его	3	3
46	сам достоевский	3	3
47	ставрогина и	3	3
48	и его	6	3
49	достоевский не	4	3
50	и как	3	3
51	что князь	2	3
52	он был	2	3
53	он не	2	3
54	достоевский уже	3	3
55	я не	4	3
56	ставрогина он	2	3
57	в конце	3	3
58	с его	2	3
59	тем что	2	3
60	никогда не	2	2
61	и дети	2	2
62	и то	2	2
63	уже не	2	2
64	в мире	3	2
65	одна из	2	2
66	для него	3	2
67	и это	2	2
68	как же	2	2
69	роман достоевского	2	2
70	он сам	7	2
71	в этой	4	2
72	столь же	2	2
73	петра верховенского	17	2
74	и он	3	2
75	в себе	4	2
76	еще не	4	2
77	о чем	3	2
78	и ее	2	2
79	что я	4	2
80	году в	2	2
81	по мнению	2	2
82	в письмах	2	2
83	не может	5	2
84	права на	2	2
85	в это	2	2
86	но это	4	2
87	в глазах	2	2
88	отцы и	2	2
89	отнюдь не	3	2
90	не мог	2	2
91	отношение к	2	2
