N	2gram	Trubetskoy	Tvorches
1	и в	14	56
2	как бы	4	41
3	в его	4	37
4	в то	10	30
5	то же	11	25
6	не только	9	24
7	но в	2	24
8	же время	10	24
9	и не	19	23
10	а в	5	23
11	как и	4	23
12	и т	3	22
13	в этом	17	22
14	в том	17	21
15	что в	4	21
16	том что	9	19
17	он не	5	19
18	может быть	9	19
19	потому что	5	19
20	у него	2	18
21	то что	13	18
22	что он	6	17
23	все это	6	17
24	и на	5	17
25	таким образом	11	17
26	никогда не	5	16
27	прежде всего	8	16
28	при этом	5	16
29	не может	22	16
30	но и	10	16
31	в этой	4	15
32	но это	2	15
33	в мире	4	15
34	и с	7	15
35	и даже	2	14
36	о том	7	13
37	а не	2	13
38	тем самым	2	12
39	в котором	2	12
40	все же	4	11
41	в своей	5	11
42	для него	6	11
43	отнюдь не	7	11
44	в конце	3	10
45	не в	4	10
46	но не	4	10
47	в самом	3	10
48	он сам	3	10
49	только в	5	10
50	как будто	2	10
51	в нем	5	9
52	и от	2	9
53	жизни в	5	9
54	в своих	6	9
55	так же	2	8
56	в себе	9	8
57	в их	4	8
58	одной из	3	8
59	так как	4	8
60	тогда как	2	8
61	еще не	3	8
62	именно в	3	8
63	вместе с	4	8
64	самом деле	7	7
65	в этих	2	7
66	уже не	2	7
67	его в	4	6
68	приводит к	4	6
69	так что	2	6
70	на эту	2	6
71	место в	2	6
72	все эти	2	6
73	одна из	3	6
74	хотя бы	5	6
75	и как	3	6
76	если бы	6	6
77	с ним	2	6
78	а потому	5	6
79	из всех	2	5
80	приходит к	3	5
81	по отношению	2	5
82	но если	3	5
83	том же	2	5
84	в виде	3	5
85	в своем	6	5
86	а с	2	5
87	не так	2	5
88	самим собой	12	5
89	что и	3	5
90	отметить что	2	5
91	и по	3	5
92	что они	3	5
93	что это	3	5
94	в россии	6	5
95	с этим	2	5
96	между тем	5	5
97	если не	2	5
98	из них	3	5
99	не было	3	5
100	в таком	2	5
101	и потому	3	4
102	только на	2	4
103	в частности	2	4
104	того что	3	4
105	что все	3	4
106	к нему	2	4
107	точки зрения	11	4
108	сих пор	5	4
109	себя в	4	4
110	тем что	3	4
111	на земле	4	4
112	и наконец	2	4
113	и есть	2	4
114	его и	2	4
115	отказаться от	4	4
116	и более	2	4
117	зависит от	2	4
118	этот вопрос	2	4
119	с точки	9	4
120	говорить о	3	4
121	до сих	5	4
122	не есть	3	3
123	на самом	6	3
124	от него	2	3
125	даже не	2	3
126	к себе	2	3
127	в другом	3	3
128	для себя	2	3
129	друг друга	3	3
130	и тем	2	3
131	со стороны	4	3
132	в области	2	3
133	людей и	2	3
134	любви к	2	3
135	о котором	3	3
136	только с	2	3
137	к тому	7	3
138	во главе	2	3
139	от этой	2	3
140	и человек	2	3
141	в ней	2	3
142	на себя	2	3
143	что оно	3	3
144	всяком случае	6	3
145	себя как	2	3
146	по этому	2	3
147	точно так	2	3
148	что с	2	3
149	да и	3	3
150	если в	6	3
151	во многих	2	3
152	то в	3	3
153	время в	2	3
154	из этих	3	3
155	в начале	2	3
156	это в	2	3
157	и тогда	2	3
158	больше чем	2	3
159	отличается от	2	3
160	лишь в	3	3
161	и вот	2	3
162	только для	2	3
163	ее в	2	3
164	для того	6	3
165	во имя	5	3
166	что для	3	3
167	и если	7	3
168	и к	6	3
169	по себе	2	3
170	несмотря на	3	3
171	может не	3	3
172	жизни и	4	3
173	сводится к	3	3
174	вряд ли	3	3
175	и что	2	3
176	во всяком	9	3
177	или в	3	3
178	и только	5	3
179	данном случае	3	2
180	в таких	2	2
181	не могут	4	2
182	но мы	3	2
183	во что	3	2
184	но даже	2	2
185	в силу	2	2
186	точку зрения	4	2
187	в другое	4	2
188	с тем	6	2
189	тому что	2	2
190	она не	2	2
191	на том	3	2
192	стремление к	7	2
193	настоящее время	2	2
194	то это	3	2
195	между собой	5	2
196	что же	4	2
197	не будет	7	2
198	для них	3	2
199	того чтобы	8	2
200	было бы	5	2
201	связи с	3	2
202	в качестве	3	2
203	во время	2	2
204	самого себя	7	2
205	но она	2	2
206	всех этих	3	2
207	стремления к	2	2
208	в россию	2	2
209	в данном	7	2
210	ли это	4	2
211	во всех	5	2
212	с самим	2	2
213	даже если	2	2
214	в результате	2	2
215	и о	2	2
216	указывает на	2	2
217	ни к	7	2
218	отношении к	2	2
219	в глазах	2	2
220	культуры и	2	2
221	и должно	2	2
222	и является	2	2
223	ни в	2	2
224	их в	2	2
225	а между	5	2
226	все что	4	2
227	путь к	4	2
228	но для	2	2
229	которой он	4	2
230	из этого	3	2
231	конце концов	3	2
232	бы ни	2	2
233	не просто	2	2
234	себя на	2	2
235	как на	8	2
236	если же	2	2
237	за то	2	2
238	не к	2	2
239	мы уже	2	2
240	ибо в	3	2
241	по самому	2	2
242	ясно что	2	2
