N	2gram	Vinokur_St	RusskieA
1	и в	61	79
2	в том	56	64
3	том что	49	59
4	что в	41	57
5	т е	21	54
6	не только	36	41
7	во время	5	38
8	так как	7	34
9	в этом	37	33
10	и другие	3	33
11	как бы	8	31
12	но и	28	31
13	п в	4	30
14	в и	143	30
15	в других	2	30
16	как и	11	28
17	может быть	16	28
18	и на	7	28
19	и т	36	23
20	о том	30	23
21	при этом	4	22
22	т д	25	21
23	это не	8	20
24	е в	3	20
25	а в	18	20
26	из них	11	19
27	xix в	6	18
28	все это	13	18
29	с тем	3	17
30	потому что	13	17
31	то что	27	17
32	об этом	9	17
33	таким образом	16	17
34	вместе с	5	17
35	мы не	3	16
36	во многих	3	16
37	будто бы	4	15
38	у нас	12	14
39	для нас	7	14
40	не менее	8	14
41	в них	2	14
42	как это	6	14
43	тем не	4	14
44	и не	23	14
45	и с	6	14
46	и что	8	14
47	так что	8	13
48	и по	6	13
49	к этому	4	13
50	не может	10	13
51	еще не	4	13
52	как в	15	13
53	в которых	5	13
54	в некоторых	3	13
55	в виде	3	12
56	этом случае	3	12
57	мы имеем	2	12
58	тем что	6	12
59	что на	3	11
60	а на	4	11
61	но это	9	11
62	не имеет	5	11
63	его в	4	10
64	так и	15	10
65	по существу	3	10
66	так например	12	10
67	между тем	7	10
68	все же	12	10
69	что и	8	10
70	а также	4	10
71	в течение	7	10
72	данном случае	7	9
73	о чем	4	9
74	том же	3	9
75	но в	16	9
76	и все	3	9
77	что они	9	9
78	того как	8	9
79	то же	7	9
80	в г	10	9
81	но не	5	9
82	видно что	3	9
83	так же	7	8
84	того что	14	8
85	в россии	7	8
86	одно из	3	8
87	в данном	16	8
88	на себя	3	8
89	того чтобы	15	8
90	их в	2	8
91	связи с	3	8
92	представление о	5	8
93	что это	5	8
94	как например	2	8
95	не все	3	8
96	во всех	8	8
97	ее в	2	8
98	для того	15	8
99	в этих	5	8
100	в своем	8	7
101	ничего не	6	7
102	начиная с	2	7
103	в настоящее	2	7
104	не в	15	7
105	должна была	6	7
106	а с	6	7
107	в руках	2	7
108	к нему	2	7
109	настоящее время	2	7
110	по этому	5	7
111	на них	2	7
