N	3gram	Bakhtin_Pr	KulturaY
1	и т п	10	93
2	и т д	4	42
3	с точки зрения	21	36
4	в том что	6	33
5	в самом деле	6	29
6	можно было бы	3	25
7	во всяком случае	4	19
8	тем не менее	2	19
9	с другой стороны	6	17
10	в зависимости от	5	16
11	до сих пор	9	14
12	по крайней мере	2	13
13	по отношению к	12	13
14	в этом отношении	3	11
15	не может быть	8	11
16	о том что	2	10
17	в этом смысле	12	10
18	на самом деле	4	8
19	не только в	2	8
20	само по себе	4	8
21	в то же	13	6
22	к тому же	2	6
23	хотя бы и	3	6
24	этой точки зрения	2	6
25	то же время	13	6
26	в отличие от	4	6
27	на этот вопрос	2	5
28	но все же	3	5
29	т е в	3	5
30	более или менее	4	5
31	так и в	2	5
32	в данном случае	2	5
33	и в этом	5	5
34	т п все	2	5
35	сам по себе	2	4
36	том что он	5	4
37	на то что	2	4
38	в том и	2	4
39	только то что	2	4
40	в большей или	2	3
41	но с другой	2	3
42	в настоящее время	3	3
43	в лучшем случае	2	3
44	в то время	2	3
45	или меньшей степени	2	3
46	как раз и	5	3
47	в конце концов	7	3
48	в той же	3	3
49	большей или меньшей	2	3
50	сама по себе	5	3
51	между тем как	5	2
52	бы то ни	3	2
53	а следовательно и	2	2
54	потому что она	3	2
55	в большинстве случаев	10	2
56	может быть и	2	2
57	хотя и не	3	2
58	это не значит	3	2
59	слова т е	2	2
60	т е не	2	2
61	в узком смысле	2	2
62	в одном из	2	2
63	и в других	2	2
64	можно сказать что	2	2
65	сами по себе	4	2
66	и в то	2	2
67	это вовсе не	2	2
68	а вовсе не	2	2
