N	2gram	Bakhtin_sl	FransuaR
1	и в	69	367
2	то есть	46	209
3	в этом	21	112
4	и не	32	101
5	у рабле	3	100
6	таким образом	16	100
7	и его	45	99
8	в его	19	98
9	прежде всего	14	92
10	не только	37	87
11	мы уже	4	85
12	но и	37	84
13	как бы	16	82
14	все эти	15	79
15	вовсе не	16	77
16	в романе	64	77
17	как и	8	76
18	в нем	44	75
19	но в	13	75
20	и др	17	72
21	и на	17	72
22	в том	7	71
23	как мы	15	71
24	то же	17	66
25	и все	9	66
26	так и	22	65
27	в них	11	65
28	в сущности	18	64
29	и с	10	64
30	в то	17	63
31	все это	14	62
32	во всех	25	62
33	же время	15	55
34	что в	3	52
35	в своем	9	51
36	только в	9	48
37	так как	7	46
38	и до	2	46
39	том что	6	45
40	здесь в	6	41
41	то что	2	41
42	жизни и	5	40
43	у него	5	40
44	в самом	6	38
45	точки зрения	24	37
46	в ней	7	37
47	с его	8	36
48	может быть	40	35
49	мы видим	2	35
50	о том	5	35
51	сказать что	4	34
52	и даже	11	34
53	в себе	3	34
54	рядом с	7	32
55	он не	5	32
56	мы видели	3	32
57	для него	8	32
58	в своей	8	31
59	до конца	25	31
60	так же	2	30
61	никогда не	9	30
62	и потому	9	30
63	той же	3	30
64	один из	9	30
65	потому что	2	30
66	но он	4	30
67	в духе	3	29
68	в этих	8	29
69	не может	27	29
70	еще не	9	29
71	его в	7	29
72	не в	14	29
73	при этом	12	29
74	в одном	4	29
75	в особенности	10	29
76	связи с	4	29
77	что он	2	29
78	из них	3	28
79	в основе	8	28
80	всех этих	8	28
81	в той	13	28
82	также и	5	28
83	и к	9	28
84	роль в	4	27
85	сих пор	4	27
86	по своему	2	27
87	и другие	3	27
88	до сих	4	27
89	и их	6	27
90	все же	10	27
91	кроме того	6	26
92	все они	9	26
93	в условиях	3	26
94	на самом	2	25
95	с помощью	5	25
96	но это	3	25
97	мира и	4	25
98	отношение к	8	24
99	в ее	2	24
100	и от	5	24
101	в частности	3	24
102	например в	6	24
103	но не	7	24
104	в большинстве	16	24
105	как в	18	24
106	и у	2	24
107	так сказать	11	23
108	и для	7	23
109	это не	8	23
110	в их	6	23
111	с ним	12	23
112	и здесь	5	23
113	к нему	7	23
114	большинстве случаев	11	23
115	форм и	3	22
116	и о	3	22
117	связь с	2	22
118	и во	3	22
119	даже в	4	22
120	а в	10	22
121	что и	2	22
122	там где	10	22
123	поэтому и	7	22
124	и других	5	22
125	вместе с	3	22
126	не было	4	22
127	именно в	5	21
128	в себя	3	21
129	в качестве	4	21
130	в отношении	9	21
131	и наконец	9	21
132	ни в	4	21
133	одним из	5	21
134	культуры и	2	21
135	и как	3	21
136	уже в	2	21
137	а также	5	20
138	как раз	3	20
139	одной из	4	20
140	этом отношении	2	20
141	в виду	2	20
142	они были	3	20
143	в значительной	6	20
144	с точки	11	20
145	в связи	2	20
146	в форме	3	19
147	того же	7	19
148	во всем	3	19
149	хотя и	4	19
150	к этому	3	19
151	в эту	3	19
152	было бы	3	19
153	за пределы	6	19
154	далеко не	7	19
155	с другой	8	19
156	с ее	6	19
157	на протяжении	3	19
158	связанные с	7	18
159	со всеми	3	18
160	на этом	4	18
161	на мир	6	18
162	здесь не	6	18
163	перед нами	7	18
164	одна из	6	18
165	связан с	2	18
166	конечно и	3	18
167	в плане	11	17
168	связанных с	4	17
169	для того	2	17
170	но все	2	17
171	того что	4	17
172	можно было	2	17
173	в результате	4	17
174	связана с	2	17
175	на его	9	17
176	меньшей степени	4	17
177	еще более	7	17
178	конечно не	7	17
179	большей или	5	17
180	а не	29	17
181	в большей	3	17
182	между тем	5	16
183	или меньшей	5	16
184	ничего не	5	16
185	влияние на	3	16
186	в свете	3	16
187	между ними	2	16
188	в другом	4	16
189	они не	3	16
190	дело в	2	16
191	с одной	7	16
192	почти вовсе	5	16
193	и одновременно	2	16
194	в истории	6	15
195	и вообще	2	15
196	xix века	2	15
197	особенно в	3	15
198	в которой	4	15
199	не были	3	15
200	характерно что	3	15
201	из этих	3	15
202	мы не	4	14
203	по существу	3	14
204	слов и	5	14
205	в данном	5	14
206	и образ	2	14
207	в более	2	14
208	несмотря на	2	14
209	и по	3	14
210	в чем	2	14
211	в котором	2	14
212	образом в	4	14
213	характер и	2	14
214	на них	2	14
215	так в	2	13
216	как он	2	13
217	отличие от	13	13
218	что все	2	13
219	на языке	2	13
220	это было	2	13
221	в других	4	13
222	или в	10	13
223	с этим	5	13
224	и есть	2	13
225	и сам	4	13
226	мира в	2	13
227	более того	5	13
228	не на	6	13
229	и эта	2	13
230	в известной	3	13
231	в одной	2	13
232	на все	3	13
233	в основном	7	13
234	только на	3	13
235	одной стороны	7	13
236	не знает	3	13
237	одновременно и	5	13
238	подчеркнуть что	2	13
239	века в	2	12
240	лишь в	6	12
241	у нас	2	12
242	не могут	7	12
243	все то	2	12
244	менее всего	3	12
245	жизни в	2	12
246	в пределах	27	12
247	и ее	3	12
248	но именно	5	12
249	те же	3	12
250	по своей	2	12
251	не был	2	12
252	в атмосфере	2	12
253	он в	6	12
254	но здесь	5	12
255	место в	2	12
