N	2gram	Tiupa_Narr	VelikijI
1	и не	20	20
2	и в	19	16
3	то что	11	9
4	еще не	7	8
5	и потому	2	7
6	что они	3	7
7	а не	12	7
8	не есть	3	6
9	в мире	9	5
10	как бы	4	5
11	на себя	3	5
12	но и	23	5
13	хотя и	3	5
14	того что	2	5
15	нет у	2	4
16	и все	2	4
17	как и	7	4
18	в нем	4	4
19	в ней	3	4
20	что не	4	4
21	что мы	2	4
22	в его	9	4
23	говорить о	2	4
24	в этом	17	4
25	что он	6	4
26	и есть	2	4
27	так и	9	4
28	никогда не	3	3
29	что в	3	3
30	в том	18	3
31	и для	2	3
32	не имеет	2	3
33	но в	6	3
34	к тому	7	3
35	ни в	3	3
36	они в	2	3
37	оно не	2	3
38	хотя бы	4	3
39	жизни и	3	3
40	не было	2	3
41	если не	4	3
42	не в	14	3
43	все эти	2	3
44	должна быть	2	3
45	с его	6	3
46	да и	4	2
47	они и	2	2
48	одна из	3	2
49	но не	6	2
50	нет и	2	2
51	в прошлом	3	2
52	это не	2	2
53	не только	32	2
54	а в	11	2
55	том что	14	2
56	истории и	2	2
57	на том	3	2
58	вслед за	4	2
59	уже не	5	2
60	могут быть	3	2
61	один из	3	2
62	не будет	3	2
63	мира в	5	2
64	тем что	3	2
65	можно было	2	2
66	это все	2	2
67	только в	4	2
68	в форме	5	2
69	в себя	6	2
70	которым можно	2	2
71	прежде всего	4	2
72	между тем	3	2
73	а с	3	2
74	для него	2	2
75	не с	3	2
