N	3gram	Ircho_Kome	FransuaR
1	в то же	11	55
2	то же время	11	55
3	до сих пор	12	27
4	в том числе	2	27
5	в том что	15	27
6	в этом отношении	2	20
7	с точки зрения	6	20
8	для того чтобы	8	17
9	о том что	7	17
10	том числе и	2	17
11	в связи с	3	16
12	с одной стороны	4	13
13	с другой стороны	2	12
14	и в то	2	12
15	в отличие от	3	11
16	в конце концов	3	10
17	таким образом и	2	10
18	по отношению к	4	9
19	более или менее	2	8
20	после того как	3	8
21	в чем же	2	7
22	в самом деле	13	7
23	о том как	5	7
24	в то время	3	7
25	с самого начала	5	6
26	к тому же	9	6
27	но все же	3	6
28	в свою очередь	10	6
29	имеем в виду	2	6
30	мы имеем в	2	5
31	во всяком случае	3	5
32	то же самое	3	5
33	в основе своей	2	5
34	в том же	2	5
35	и тот же	3	5
36	друг с другом	3	5
37	одной стороны и	2	5
38	по сравнению с	3	5
39	один и тот	3	4
40	дошедших до нас	3	4
41	и в самом	7	4
42	что и в	2	4
43	бы то ни	3	3
44	потому что в	2	3
45	именно потому что	2	3
46	вместе с тем	5	3
47	сих пор не	2	2
48	так как он	2	2
49	в этом случае	2	2
50	в конечном счете	2	2
51	в тех же	2	2
52	пор не было	2	2
53	то ни было	3	2
54	друг за другом	2	2
55	мы найдем в	2	2
56	только для того	2	2
57	он и не	2	2
58	мы можем судить	2	2
