N	2gram	Medvedev_S	Tvorches
1	и в	3	56
2	как бы	2	41
3	в его	3	37
4	то же	2	25
5	не только	3	24
6	в этом	5	22
7	в том	5	21
8	что в	2	21
9	том что	2	19
10	может быть	2	19
11	то что	2	18
12	все это	7	17
13	таким образом	2	17
14	но и	2	16
15	в конце	2	10
16	не в	3	10
17	только в	2	10
18	как будто	2	10
19	по природе	2	9
20	еще не	2	8
21	по отношению	2	5
22	дело не	2	5
23	отношению к	2	5
24	это и	2	4
25	в частности	2	4
26	и мы	2	4
27	далеко не	2	4
28	к которому	2	3
29	идей и	2	3
30	и что	2	3
31	и только	3	3
32	ведь это	2	2
33	было бы	2	2
34	но ведь	3	2
35	в результате	2	2
36	только как	2	2
37	конце концов	2	2
38	или даже	2	2
