N	2gram	Losev_Dial	VeschiIm
1	т е	49	81
2	не есть	67	79
3	и не	51	57
4	вещи есть	3	55
5	не только	26	48
6	то что	25	48
7	не может	16	46
8	и в	35	45
9	вещи и	5	40
10	и есть	20	40
11	это –	38	40
12	может быть	30	39
13	и т	31	39
14	т д	28	38
15	а не	24	37
16	значит что	25	32
17	это значит	18	30
18	что я	5	26
19	потому что	23	25
20	было бы	14	24
21	не просто	19	24
22	в себе	23	23
23	что она	18	23
24	по себе	39	23
25	только в	7	23
26	с вещью	2	22
27	сказать что	19	22
28	и что	17	22
29	в смысле	5	22
30	и следовательно	7	20
31	что такое	13	20
32	как бы	19	20
33	с нею	3	19
34	что это	21	19
35	но и	17	19
36	что же	5	19
37	есть только	9	18
38	все же	9	18
39	в этом	18	18
40	есть не	8	17
41	и это	6	17
42	прежде всего	14	17
43	так как	24	17
44	что мы	3	17
45	и –	15	17
46	оно есть	5	16
47	того что	6	16
48	таким образом	5	16
49	как раз	7	16
50	от всего	2	15
51	в том	20	15
52	как и	10	15
53	в ней	4	15
54	уже не	3	15
55	не в	12	14
56	– в	11	14
57	и то	15	14
58	но это	12	14
59	том что	18	13
60	и явление	2	13
61	есть и	11	13
62	это и	6	13
63	не будет	2	13
64	и больше	2	13
65	и для	2	13
66	в самом	6	13
67	ничего не	19	12
68	иное как	4	12
69	но если	6	12
70	вещей и	5	12
71	совершенно не	13	12
72	есть ни	7	12
73	смысл и	6	12
74	что в	19	12
75	больше ничего	3	12
76	точки зрения	25	12
77	в вещи	2	12
78	она есть	12	12
79	что и	7	12
80	что они	8	12
81	есть то	2	12
82	если она	4	12
83	и как	14	12
84	не что	4	12
85	то же	21	12
86	ни было	2	12
87	еще не	4	12
88	что иное	4	12
89	смысл вещи	2	12
90	между собою	3	12
91	и даже	23	12
92	о том	8	12
93	если мы	3	12
94	и с	10	12
95	есть нечто	16	12
96	не значит	6	12
97	еще и	4	11
98	в то	10	11
99	вещи не	2	11
100	не менее	5	11
101	что не	13	11
102	вовсе не	19	11
103	содержит в	6	11
104	себя в	2	11
105	тем не	3	11
106	– не	17	11
107	д и	3	11
108	и их	5	11
109	и пр	7	11
110	также и	7	11
111	ни в	20	11
112	и только	5	11
113	крайней мере	11	10
114	сама вещь	2	10
115	есть ли	3	10
116	в чем	9	10
117	что оно	9	10
118	вещи в	4	10
119	по крайней	11	10
120	учение об	3	10
121	вещь не	3	10
122	ясно что	11	10
123	это не	18	9
124	нисколько не	7	9
125	со стороны	2	9
126	так что	21	9
127	в своем	7	9
128	то и	3	9
129	она не	10	9
130	другими словами	2	9
131	ли это	4	9
132	бы и	4	9
133	должно быть	7	9
134	хотя бы	6	9
135	бы в	3	9
136	в результате	2	9
137	я и	3	9
138	явление и	3	9
139	на то	5	9
140	но не	9	9
141	ни с	8	9
142	но что	10	9
143	говорить о	9	9
144	и его	6	9
145	с ним	9	9
146	в отношении	5	8
147	его в	3	8
148	и потому	6	8
149	указывает на	3	8
150	даже не	4	8
151	что он	16	8
152	– как	6	8
153	что тут	5	8
154	но в	8	8
155	в ее	3	8
156	все это	14	8
157	это есть	13	8
158	должна быть	5	8
159	можно сказать	10	8
160	только и	5	8
161	смысла и	3	8
162	по сравнению	2	8
163	с другими	2	8
164	мы имеем	4	8
165	отличается от	3	8
166	если бы	12	8
167	с тем	2	8
168	что есть	2	8
169	для него	2	8
170	не с	5	8
171	с другой	10	8
172	как с	2	8
173	тут не	5	8
174	отнюдь не	13	8
175	с чем	2	7
176	не потому	5	7
177	от того	2	7
178	значит ли	2	7
179	и тут	6	7
180	и тем	2	7
181	из них	5	7
182	самом деле	6	7
183	тут –	5	7
184	а в	8	7
185	можно ли	3	7
186	необходимо чтобы	2	7
187	все эти	4	7
188	в сущности	2	7
189	е в	3	7
190	я не	9	7
191	относится к	2	7
192	никак не	6	7
193	или не	5	7
194	можно только	4	7
195	то не	4	7
196	сама по	12	7
197	тем что	2	7
198	вообще не	2	7
199	вещь но	2	7
200	с этой	3	7
201	ни на	8	7
202	ни от	2	7
203	и нечто	3	7
204	оно не	2	7
205	мог бы	3	7
206	и тогда	4	7
207	сравнению с	2	7
208	без всякого	3	7
209	никогда не	18	6
210	в каком	10	6
211	вопрос о	3	6
212	есть сама	2	6
213	как же	8	6
214	независимо от	2	6
215	действительность есть	4	6
216	когда мы	3	6
217	она –	9	6
218	как я	3	6
219	и все	11	6
220	так или	3	6
221	больше того	5	6
222	даже больше	2	6
223	в нем	25	6
224	бытие и	2	6
225	для всякого	2	6
226	в разных	6	6
227	должны быть	2	6
228	и до	2	6
229	в своей	9	6
230	тех или	5	6
231	как мы	5	6
232	одно и	8	6
233	и вообще	10	6
234	в данном	5	6
235	можно было	5	6
236	есть просто	6	6
237	и бытия	4	6
238	оно –	4	6
239	и другое	3	6
240	все равно	7	6
241	быть только	3	6
242	на почве	2	6
243	или иначе	3	6
244	в сфере	2	6
245	их в	2	6
246	мы говорим	6	6
247	несмотря на	12	6
248	в той	4	6
249	жизни и	9	6
250	с точки	18	6
251	тут мы	2	6
252	как только	4	6
253	и значит	4	6
254	момент в	2	6
255	в одном	4	6
256	и если	5	5
257	да и	11	5
258	значило бы	2	5
259	мы должны	6	5
260	когда я	2	5
261	а это	2	5
262	должен быть	2	5
263	и мы	8	5
264	это что	2	5
265	ничем не	4	5
266	действительности и	4	5
267	вместе с	3	5
268	внутреннего и	11	5
269	собственно говоря	5	5
270	как это	8	5
271	на себе	3	5
272	точка зрения	3	5
273	даже и	3	5
274	тогда когда	6	5
275	то это	6	5
276	мы находим	7	5
277	один из	3	5
278	всегда есть	4	5
