N	2gram	Vygotskiy_	PoTuStor
1	может быть	35	17
2	и в	55	16
3	мы можем	6	9
4	в этом	21	9
5	и только	5	9
6	таким образом	38	9
7	прежде всего	5	9
8	и с	5	8
9	точки зрения	32	8
10	совершенно не	7	8
11	не может	30	8
12	и его	14	8
13	сказать что	12	7
14	не только	25	7
15	с его	3	7
16	в сознание	2	7
17	и это	6	6
18	с точки	12	6
19	конечно не	2	6
20	самом деле	19	6
21	и к	5	6
22	при этом	28	6
23	бессознательное и	2	5
24	ни в	9	5
25	все эти	7	5
26	что такое	2	5
27	как бы	11	5
28	нуждается в	3	5
29	еще не	2	5
30	в чем	5	5
31	в него	4	5
32	отношение к	3	5
33	как мы	2	4
34	и на	6	4
35	все это	11	4
36	на самом	6	4
37	его в	3	4
38	в его	8	4
39	и ее	4	4
40	но и	12	4
41	и не	24	4
42	и все	8	4
43	но в	5	4
44	в этой	5	4
45	но мы	3	4
46	с ее	3	4
47	и наконец	2	4
48	так как	28	4
49	и их	4	4
50	все что	4	4
51	и может	3	4
52	только в	18	4
53	в нем	5	4
54	а потому	5	4
55	хотя бы	4	4
56	с ними	2	4
57	можно сказать	2	4
58	так и	6	4
59	бессознательного и	2	4
60	для всех	5	4
61	мысли и	2	4
62	отнюдь не	11	4
63	и даже	11	4
64	художественного творчества	6	4
65	едва ли	5	3
66	что в	39	3
67	жизни и	5	3
68	и художественного	2	3
69	и теперь	2	3
70	и как	9	3
71	и потому	2	3
72	тех же	2	3
73	а в	10	3
74	в том	55	3
75	их в	4	3
76	по сравнению	3	3
77	и вот	5	3
78	в общем	2	3
79	с другими	2	3
80	между ними	2	3
81	в области	12	3
82	те же	9	3
83	до сих	8	3
84	только на	7	3
85	и есть	5	3
86	сравнению с	3	3
87	в этих	6	3
88	в конечном	6	3
89	как это	8	3
90	то что	47	3
91	только как	3	3
92	во всех	4	3
93	могут быть	15	3
94	сих пор	8	3
95	всяком случае	7	3
96	вместе с	10	3
97	в одном	4	3
98	этом смысле	3	3
99	на этом	3	3
100	мы знаем	8	3
101	во всяком	9	3
102	и значение	2	3
103	том что	30	3
104	в основе	13	3
105	один из	6	2
106	никогда не	13	2
107	для нас	5	2
108	что мы	9	2
109	по своему	2	2
110	мы видим	8	2
111	в них	4	2
112	не можем	3	2
113	в жизни	5	2
114	в каком	3	2
115	к ним	4	2
116	метода и	2	2
117	и вообще	3	2
118	же как	8	2
119	и для	9	2
120	и содержание	3	2
121	совсем не	3	2
122	и этот	3	2
123	что не	2	2
124	в область	3	2
125	все то	4	2
126	что это	12	2
127	этой теории	8	2
128	аналогии с	2	2
129	и по	7	2
130	таким путем	6	2
131	а на	4	2
132	что и	27	2
133	не менее	9	2
134	не существует	4	2
135	во сне	2	2
136	и мы	6	2
137	было бы	14	2
138	не могут	6	2
139	как не	2	2
140	сводится к	3	2
141	и других	4	2
142	чувства и	4	2
143	о том	11	2
144	то же	17	2
145	с этим	7	2
146	как и	25	2
147	что он	17	2
148	так же	29	2
149	того же	3	2
150	на два	2	2
151	в науке	2	2
152	и таким	4	2
153	в своей	6	2
154	мы не	15	2
155	себя и	3	2
156	ни было	2	2
157	из этих	6	2
158	но как	4	2
159	в самом	18	2
160	и говорить	2	2
161	знаем что	4	2
162	с этой	8	2
163	в детской	2	2
164	не на	2	2
165	в частности	6	2
166	он не	8	2
167	у него	4	2
168	всю жизнь	2	2
169	ту же	6	2
170	если мы	21	2
171	со всеми	5	2
172	и о	4	2
173	оно не	2	2
174	не есть	4	2
175	к другим	2	2
176	за пределы	2	2
177	к этому	5	2
178	что на	4	2
179	конечном счете	6	2
180	меньше всего	3	2
181	что оно	4	2
182	и так	7	2
183	быть может	2	2
184	всех других	2	2
185	есть в	7	2
186	только то	3	2
187	не будет	4	2
188	на основе	2	2
189	с ним	2	2
190	но это	3	2
