N	2gram	Vygotskiy_	Sotsiolo
1	все это	8	7
2	в том	59	5
3	в этом	35	5
4	метод в	2	4
5	для нас	6	3
6	не только	16	3
7	и только	4	3
8	в его	22	3
9	не в	10	3
10	и в	38	3
11	отношению к	3	2
12	по отношению	4	2
13	еще не	6	2
14	только в	16	2
15	что в	31	2
16	тем более	2	2
17	в частности	4	2
18	том что	44	2
19	было бы	15	2
20	таким образом	36	2
21	в смысле	9	2
22	то же	18	2
23	и что	15	2
24	к которому	6	2
25	исторического развития	2	2
26	то что	27	2
27	и заключается	2	2
28	как бы	17	2
29	но и	9	2
30	главным образом	3	2
31	и мы	2	2
32	или даже	2	2
33	далеко не	2	2
34	может быть	25	2
35	по существу	4	2
36	в результате	6	2
