N	2gram	Nazirov_Vr	Freidism
1	и не	5	34
2	таким образом	2	34
3	точки зрения	2	31
4	не может	2	30
5	– это	6	29
6	может быть	4	28
7	и в	8	28
8	в этом	8	28
9	в его	3	25
10	и его	3	22
11	как бы	4	19
12	то что	7	17
13	с точки	2	15
14	в своей	2	14
15	с ним	4	14
16	и все	7	13
17	но в	6	13
18	как и	6	13
19	том что	3	12
20	то же	5	12
21	что он	4	12
22	для него	2	12
23	все это	4	12
24	его в	3	11
25	мы знаем	2	11
26	никогда не	2	10
27	и с	6	10
28	не только	9	10
29	но и	7	10
30	он не	3	10
31	в том	3	10
32	к этому	3	9
33	в чем	3	9
34	уже не	2	9
35	с его	3	9
36	все же	6	8
37	по мнению	2	8
38	еще не	2	8
39	а в	2	8
40	в ней	4	8
41	при этом	4	8
42	в то	5	7
43	в себе	2	7
44	что в	7	7
45	и ее	2	7
46	отношение к	2	7
47	и у	3	7
48	чувств и	2	7
49	об этом	5	7
50	в нем	6	7
51	из них	2	7
52	в этой	2	7
53	не менее	2	6
54	и о	3	6
55	в свою	2	6
56	как раз	2	6
57	и что	8	6
58	же время	5	6
59	во время	2	6
60	на первый	2	5
61	далеко не	3	5
62	в своих	4	5
63	это не	4	5
64	отнюдь не	2	5
65	не было	5	5
66	он сам	2	5
67	в период	2	5
68	вместе с	2	5
69	человека в	3	4
70	одна из	2	4
71	так же	4	4
72	и образы	2	4
73	но это	2	4
74	в этот	3	4
75	в виду	4	4
76	у него	5	4
77	в своем	3	4
78	в котором	6	4
79	о себе	3	4
80	и т.п	2	4
81	в истории	4	4
82	я не	3	4
83	и то	2	3
84	к себе	2	3
85	и даже	6	3
86	и как	3	3
87	на место	2	3
88	он был	3	3
89	одним из	3	3
90	о том	4	3
91	человека с	2	3
92	их в	2	3
93	ответ на	2	3
94	в них	2	3
95	уже в	4	3
96	на это	2	3
97	о которой	2	3
98	между тем	5	3
99	на основе	2	3
100	в одну	2	2
101	а также	2	2
102	его с	2	2
103	его и	2	2
104	в конце	3	2
105	при помощи	2	2
106	матери и	3	2
107	для нас	4	2
108	в момент	2	2
109	а с	2	2
110	о нем	6	2
111	в мире	2	2
112	в него	2	2
113	в эту	2	2
114	во многом	4	2
115	но как	2	2
116	же как	2	2
117	и уже	3	2
118	и во	3	2
119	отношения к	2	2
120	рядом с	2	2
121	в нашей	2	2
