N	2gram	Medvedev_F	KFilosof
1	может быть	30	45
2	в его	30	42
3	в нем	25	32
4	не может	26	29
5	и не	34	28
6	и в	54	28
7	по отношению	4	26
8	в котором	2	24
9	отношению к	4	22
10	не есть	4	22
11	в себе	4	21
12	и его	27	18
13	только в	6	18
14	в своем	12	17
15	в ее	10	17
16	а не	11	17
17	в этом	39	15
18	не в	16	13
19	для него	9	13
20	точки зрения	21	13
21	но не	5	12
22	и это	4	12
23	к нему	3	12
24	ни в	3	12
25	в своей	16	11
26	во всех	9	11
27	все эти	12	11
28	это не	4	10
29	его целом	8	10
30	в целом	7	10
31	и для	5	10
32	все это	11	10
33	с точки	17	10
34	в их	16	9
35	для нее	2	9
36	но и	18	9
37	как бы	10	9
38	и все	9	9
39	если бы	8	8
40	не было	7	8
41	лишь в	15	8
42	со стороны	7	8
43	в мире	4	8
44	в единстве	8	8
45	жизни и	10	8
46	было бы	10	8
47	и здесь	8	7
48	должен быть	5	7
49	совершенно не	5	7
50	то что	14	7
51	уже не	9	7
52	отнюдь не	13	7
53	конечно не	5	7
54	и только	5	7
55	что и	10	7
56	во всем	3	7
57	вовсе не	18	7
58	на основе	6	7
59	ее и	3	6
60	должно быть	13	6
61	менее всего	4	6
62	отношение к	4	6
63	жизнь как	3	6
64	но эта	2	6
65	мира в	2	6
66	в том	17	6
67	смысл и	2	6
68	но все	4	6
69	не имеет	2	6
70	в смысле	2	6
71	место в	8	6
72	и их	13	6
73	и действительно	2	6
74	но это	4	6
75	он не	8	6
76	никогда не	6	5
77	от его	3	5
78	его в	5	5
79	все же	8	5
80	не только	14	5
81	бытия в	3	5
82	но как	2	5
83	бы быть	3	5
84	его как	5	5
85	хотя бы	10	5
86	отвлечение от	2	5
87	и содержание	2	5
88	то же	16	5
89	жизни в	2	5
90	но ведь	4	5
91	еще не	6	5
92	а в	11	5
93	но в	9	5
94	культуры и	3	5
95	есть лишь	3	5
96	в контексте	2	5
97	как и	18	5
98	именно в	12	5
99	время и	2	5
100	в одном	2	5
101	там где	3	5
102	со всем	4	5
103	с ним	3	5
104	в основе	7	5
105	тем самым	5	4
106	нет в	2	4
107	том что	3	4
108	нисколько не	2	4
109	что в	10	4
110	могла бы	3	4
111	не как	7	4
112	не по	4	4
113	ни было	2	4
114	прежде всего	34	4
115	в чем	2	4
116	его конкретной	2	4
117	это противопоставление	2	4
118	могло бы	2	4
119	в своих	3	4
120	входит в	8	4
121	нем как	3	4
122	места в	2	4
123	при этом	14	4
124	только как	3	4
125	познания и	4	4
126	из него	2	4
127	вне ее	3	4
128	всех своих	2	4
129	во всей	4	4
130	должна быть	11	4
131	как его	3	4
132	между тем	4	4
133	до конца	9	3
134	или иного	8	3
135	ничего не	5	3
136	и должна	3	3
137	предмета в	2	3
138	положения в	2	3
139	того или	6	3
140	в то	14	3
141	на самом	8	3
142	от него	2	3
143	здесь не	5	3
144	всех этих	6	3
145	в каждом	3	3
146	в другом	2	3
147	от того	2	3
148	а лишь	4	3
149	это и	7	3
150	тем что	6	3
151	и тем	3	3
152	та же	3	3
153	нигде не	3	3
154	для того	3	3
155	в современной	2	3
156	самом деле	12	3
157	в виду	2	3
158	лишь как	7	3
159	и пр	30	3
160	в корне	6	3
161	нет и	2	3
162	и этот	2	3
163	нем и	2	3
164	для этой	2	3
165	не менее	12	3
166	и ни	2	3
167	независимо от	5	3
168	а все	2	3
169	в конкретной	2	3
170	в ней	15	3
171	в свою	8	3
172	вступает в	2	3
173	могут быть	7	3
174	но для	4	3
175	этом смысле	3	3
176	и этим	2	3
177	и совершенно	2	3
178	ее целом	3	3
179	и на	10	3
180	что не	4	3
181	на своем	3	3
182	того что	7	3
183	мы не	6	3
184	и может	6	3
185	был бы	2	3
186	войти в	2	3
187	жизни но	2	3
188	из его	2	3
189	но конечно	2	3
190	на язык	5	3
191	целом и	4	3
192	не дает	3	3
193	быть и	5	3
194	ясно что	3	3
195	не о	7	2
196	все остальные	2	2
197	чтобы не	2	2
198	для этого	6	2
199	и должен	3	2
200	своем содержании	4	2
201	смысла и	3	2
202	мышления и	2	2
203	ее как	2	2
204	и потому	9	2
205	в данном	2	2
206	место и	3	2
207	его с	5	2
208	включая сюда	2	2
209	своих моментах	2	2
210	можно и	2	2
211	себе а	2	2
212	говорить о	4	2
213	и ее	15	2
214	и эта	2	2
215	то ни	5	2
216	к этому	3	2
217	действительности в	3	2
218	вопрос о	3	2
219	это было	3	2
220	с ее	7	2
221	тем не	2	2
222	стал бы	2	2
223	как к	5	2
224	и как	6	2
225	в виде	2	2
226	а как	5	2
227	и других	4	2
228	бы оно	2	2
229	в области	6	2
230	что он	8	2
231	со всеми	3	2
232	мира как	2	2
233	все остальное	4	2
234	так и	24	2
235	отношении к	2	2
236	философии культуры	4	2
237	жизнь и	3	2
238	его и	2	2
239	смысла в	2	2
240	едва ли	3	2
241	в жизни	3	2
242	с тем	11	2
243	как в	12	2
244	как предмет	3	2
245	от этого	3	2
246	думать что	4	2
247	в него	2	2
248	тому что	3	2
249	она не	8	2
250	единства и	2	2
251	но есть	2	2
252	не из	5	2
253	еще более	6	2
254	ни одна	2	2
255	и само	2	2
256	оно не	6	2
257	говорим о	2	2
258	ее до	2	2
259	вся эта	2	2
260	мы говорим	4	2
261	в процессе	17	2
