N	2gram	Bakhtin_Pr	Problemy
1	и в	83	106
2	и не	41	90
3	как бы	27	70
4	может быть	23	66
5	в его	15	56
6	в этом	24	52
7	в нем	21	51
8	не может	18	49
9	чужое слово	7	49
10	из подполья	6	48
11	что он	6	44
12	как и	13	44
13	у достоевского	30	43
14	но и	16	40
15	точки зрения	17	40
16	и его	13	39
17	а не	19	38
18	о себе	2	37
19	не только	14	36
20	то же	10	36
21	в пределах	8	35
22	то что	14	33
23	но в	12	33
24	прежде всего	20	32
25	в то	8	29
26	все это	11	29
27	он не	5	29
28	и все	14	28
29	не в	10	27
30	в одном	4	27
31	к себе	8	26
32	же время	8	26
33	к нему	3	25
34	в сущности	15	25
35	с точки	13	25
36	в самом	7	25
37	и с	10	25
38	себе самому	7	25
39	не как	5	24
40	с самим	7	24
41	героя и	3	24
42	вовсе не	12	24
43	рядом с	2	23
44	слова и	5	23
45	и на	27	23
46	таким образом	9	22
47	в каждом	5	22
48	что я	2	22
49	по себе	3	22
50	как мы	12	21
51	там где	3	21
52	никогда не	10	20
53	все же	3	20
54	потому что	9	20
55	только в	10	20
56	что в	5	19
57	достоевского в	12	19
58	с его	4	19
59	отношению к	5	19
60	слова в	3	19
61	на самом	2	18
62	в себе	10	18
63	по отношению	6	18
64	о нем	2	18
65	все эти	9	18
66	уже не	5	18
67	еще не	10	18
68	но не	9	18
69	это не	10	17
70	в том	22	17
71	так и	9	17
72	себе самом	2	17
73	а в	4	17
74	самим собою	6	17
75	и к	13	17
76	человека из	2	17
77	с ним	3	17
78	так же	4	16
79	в своей	5	16
80	этом смысле	5	16
81	до конца	3	15
82	чужим словом	2	15
83	третьего типа	3	15
84	достоевского не	3	15
85	и наконец	4	15
86	и для	5	15
87	у него	5	15
88	на чужое	2	14
89	в отношении	3	14
90	так как	12	14
91	в своем	2	14
92	в конце	5	14
93	я не	6	14
94	слово героя	2	14
95	он и	2	14
96	себя самого	3	14
97	как раз	6	14
98	а как	4	14
99	его в	4	13
100	перед нами	17	13
101	героя в	2	13
102	достоевского и	8	13
103	в романе	9	13
104	и это	3	13
105	роман достоевского	2	13
106	большинстве случаев	9	13
107	в целом	3	13
108	себя и	3	13
109	в романах	5	13
110	творчестве достоевского	6	13
111	с другими	6	13
112	в мире	8	13
113	на него	2	13
114	в большинстве	9	13
115	том что	9	12
116	в одной	4	12
117	слово в	5	12
118	даже в	3	12
119	в плане	3	12
120	ничего не	8	12
121	последнее слово	2	12
122	к тому	2	12
123	между тем	2	12
124	не знает	8	12
125	что и	4	12
126	при этом	6	12
127	было бы	6	12
128	во всяком	2	12
129	так сказать	8	12
130	но это	7	12
131	за пределы	7	12
132	и даже	5	12
133	и слово	2	12
134	как в	10	12
135	себе и	2	12
136	отношении к	2	12
137	для достоевского	5	12
138	в котором	8	12
139	и что	3	12
140	мире достоевского	2	12
141	не могут	4	11
142	в форме	6	11
143	слово и	2	11
144	пределах одного	6	11
145	она не	4	11
146	видения и	3	11
147	произведениях достоевского	4	11
148	этого слова	3	11
149	бы и	3	11
150	он сам	5	11
151	должно быть	4	11
152	бы в	2	11
153	а я	3	11
154	тем что	2	11
155	с другой	4	11
156	их в	3	11
157	более того	9	11
158	своему предмету	2	11
159	мы уже	9	11
160	как будто	3	11
161	к одному	2	10
162	в произведении	3	10
163	отношение к	14	10
164	идеи в	2	10
165	в него	4	10
166	самого начала	5	10
167	до сих	8	10
168	сих пор	8	10
169	далеко не	4	10
170	в самой	2	10
171	свой предмет	3	10
172	в творчестве	8	10
173	той же	6	10
174	достоевский в	3	10
175	в слове	2	10
176	романах достоевского	7	10
177	творчества достоевского	13	10
178	и потому	6	9
179	с самого	4	9
180	или в	7	9
181	могут быть	5	9
182	в них	4	9
183	ивана карамазова	4	9
184	раз и	2	9
185	хотя и	10	9
186	да и	3	9
187	другой стороны	3	9
188	хотя бы	6	9
189	друг с	6	9
190	достоевского но	4	9
191	человека в	6	9
192	из одного	2	9
193	ни в	4	9
194	в той	2	9
195	романе достоевского	2	9
196	героев достоевского	5	9
197	но он	3	9
198	мы должны	4	8
199	но как	2	8
200	романов достоевского	3	8
201	уже в	3	8
202	авантюрный сюжет	9	8
203	наконец в	3	8
204	в произведениях	2	8
205	одним из	6	8
206	и о	3	8
207	здесь не	5	8
208	чужой голос	3	8
209	произведений достоевского	8	8
210	несмотря на	3	8
211	же не	2	8
212	нам кажется	4	8
213	с ними	2	8
214	и до	6	8
215	и от	4	8
216	менее всего	4	8
217	что это	2	8
218	художественного видения	2	8
219	все время	2	8
220	и он	5	8
221	с их	3	8
222	то перед	5	8
223	в результате	2	8
224	о том	3	8
225	и у	8	8
226	и так	4	8
227	в стилизации	2	8
228	с другом	6	8
229	из них	7	8
230	тон и	2	8
231	не о	2	7
232	от него	3	7
233	в этих	8	7
234	но эта	2	7
235	в их	7	7
236	к своему	4	7
237	в виду	3	7
238	и др	18	7
239	в процессе	4	7
240	он в	2	7
241	все его	3	7
242	к самому	5	7
243	только на	3	7
244	мира и	3	7
245	на свой	2	7
246	между ними	14	7
247	себя как	2	7
248	и другого	2	7
249	как слово	3	7
250	что все	3	7
251	что они	2	7
252	и ее	8	7
253	все равно	6	7
254	например в	8	7
255	тот же	2	7
256	сказать что	12	7
257	кажется что	3	7
258	настасьи филипповны	8	7
259	одной плоскости	2	7
260	чужих слов	2	7
261	устную речь	3	7
262	в жизни	14	7
263	его с	2	7
264	что она	2	7
265	мысли и	2	7
266	отличается от	2	7
267	сама по	2	7
268	лишь на	3	7
269	и их	6	7
270	во всех	15	7
271	мы остановимся	5	7
272	двуголосое слово	2	7
273	если же	5	7
274	но на	2	7
275	не было	5	7
276	уже говорили	3	7
277	как его	2	7
278	полифонического романа	2	7
279	в себя	8	7
280	от автора	2	6
281	героя но	2	6
282	как он	4	6
283	может стать	4	6
284	достоевского это	2	6
285	знает что	2	6
286	по существу	7	6
287	сочетается с	4	6
288	не менее	4	6
289	но эти	3	6
290	собою и	2	6
291	и этим	3	6
292	рассказ в	3	6
293	на его	4	6
294	на устную	4	6
295	достоевского с	4	6
296	и во	6	6
297	и здесь	4	6
298	на них	2	6
299	одна из	9	6
300	для этого	2	6
301	с этим	3	6
302	словом и	2	6
303	в начале	2	6
304	его творчества	12	6
305	можно было	2	6
306	во всем	5	6
307	зависимости от	3	6
308	и самое	2	6
309	кроме того	6	6
310	превращается в	5	6
311	но ведь	3	6
312	его художественного	3	6
313	человек и	2	6
314	но для	2	6
315	диалога в	2	6
316	друг друга	7	6
317	его слова	4	6
318	в этой	3	6
319	на то	2	6
320	он может	2	6
321	в своих	4	6
322	этот вопрос	3	6
323	в которых	2	6
324	на этом	4	6
325	жизни и	13	6
326	и тон	2	6
327	конечно не	11	6
328	что было	2	6
