N	3gram	Trubetskoy	EvropaiC
1	в том что	3	16
2	до сих пор	5	15
3	друг с другом	5	9
4	более или менее	5	8
5	с точки зрения	6	8
6	для того чтобы	5	7
7	на то что	2	7
8	так или иначе	3	5
9	по сравнению с	2	5
10	к тому же	4	5
11	то ясно что	2	4
12	с течением времени	3	4
13	тем не менее	3	4
14	в конце концов	3	4
15	может быть и	2	4
16	о том что	4	4
17	то ни было	2	3
18	вместе с тем	8	3
19	бы то ни	2	3
20	так же как	3	3
21	таким образом в	2	3
22	в связи с	3	3
23	но вместе с	2	2
24	ничего общего с	2	2
25	с одной стороны	7	2
26	между этими двумя	2	2
27	заключает в себе	2	2
28	во всяком случае	6	2
29	как бы то	2	2
30	но все же	4	2
31	в том виде	2	2
32	то же время	2	2
33	а с другой	5	2
34	в то же	2	2
35	первое время после	2	2
36	друг на друга	2	2
