N	2gram	Potebnia_M	Otkroven
1	о человеке	5	29
2	у него	3	22
3	человеческой природы	2	20
4	и в	48	19
5	но и	30	13
6	и не	28	13
7	в этом	19	12
8	не только	32	11
9	человека в	2	11
10	не в	24	11
11	а не	22	11
12	может быть	46	11
13	и все	5	10
14	человека и	8	10
15	в нем	16	10
16	вопрос о	2	10
17	никогда не	2	9
18	потому что	82	9
19	в человеке	4	9
20	не было	12	9
21	прежде всего	6	9
22	человек не	4	7
23	лишь в	2	7
24	в его	6	7
25	нет ничего	2	7
26	от него	2	7
27	он не	4	7
28	но он	3	7
29	как и	22	6
30	все это	4	6
31	для него	14	5
32	а в	14	5
33	в том	47	5
34	в самом	11	5
35	то что	37	5
36	в этой	3	5
37	человеке и	2	5
38	отношение к	2	5
39	и его	4	4
40	что в	30	4
41	он сам	2	4
42	того чтобы	5	4
43	и мысли	2	4
44	человек и	2	4
45	не может	18	4
46	все в	3	4
47	что не	12	4
48	в себе	26	3
49	и от	5	3
50	о том	7	3
51	это не	2	3
52	к нему	7	3
53	не могут	7	3
54	что он	8	3
55	было бы	16	3
56	для того	8	3
57	еще не	9	3
58	и есть	4	3
59	все что	4	3
60	в этих	2	3
61	в своих	2	3
62	никто не	5	3
63	как бы	10	3
64	хотя бы	3	3
65	могут быть	6	3
66	это было	3	3
67	с ним	10	3
68	быть может	7	3
69	мысли и	8	3
70	того что	24	3
71	что человек	4	3
72	частью в	2	2
73	одно из	6	2
74	и то	13	2
75	сказать что	8	2
76	и на	5	2
77	с тем	9	2
78	уже в	10	2
79	что же	3	2
80	мысль о	12	2
81	совсем не	2	2
82	что все	5	2
83	о любви	2	2
84	не имеет	10	2
85	и с	4	2
86	что и	16	2
87	ее в	2	2
88	и потому	9	2
89	в ее	3	2
90	в других	3	2
91	в своем	6	2
92	было для	3	2
93	тем что	13	2
94	человека а	2	2
95	но в	8	2
96	том что	28	2
97	для человека	8	2
98	что для	5	2
99	природы и	2	2
100	то к	4	2
101	все же	3	2
102	ко всем	5	2
103	в своей	2	2
104	так как	20	2
105	с чем	3	2
106	по себе	26	2
107	что у	4	2
108	должен был	2	2
109	что они	2	2
110	в истории	2	2
111	так что	14	2
112	не все	5	2
113	должно быть	9	2
114	и о	6	2
115	не есть	24	2
116	природы в	3	2
117	в душе	17	2
118	с которой	2	2
119	к этому	3	2
120	и к	5	2
121	так и	17	2
122	в которой	9	2
123	к ней	7	2
124	хотя и	3	2
125	его не	2	2
126	и из	2	2
127	в единстве	2	2
128	что есть	3	2
129	при чтении	2	2
130	чем в	2	2
131	его в	6	2
