N	2gram	Propp_Morf	FransuaR
1	и в	17	367
2	в этом	18	112
3	и не	16	101
4	таким образом	26	100
5	и его	3	99
6	прежде всего	14	92
7	не только	8	87
8	мы уже	4	85
9	но и	9	84
10	как бы	6	82
11	все эти	5	79
12	вовсе не	6	77
13	как и	4	76
14	но в	4	75
15	и др	12	72
16	в том	10	71
17	как мы	8	71
18	то же	10	66
19	так и	10	65
20	в этой	3	65
21	в сущности	3	64
22	во время	6	63
23	в то	4	63
24	все это	2	62
25	во всех	6	62
26	что в	10	52
27	только в	3	48
28	так как	20	46
29	том что	7	45
30	то что	10	41
31	у него	2	40
32	точки зрения	7	37
33	с его	3	36
34	может быть	61	35
35	мы видим	15	35
36	о том	6	35
37	сказать что	4	34
38	и даже	2	34
39	он не	5	32
40	для него	2	32
41	так же	4	30
42	один из	7	30
43	потому что	7	30
44	в этих	17	29
45	не может	19	29
46	еще не	4	29
47	его в	4	29
48	не в	3	29
49	в одном	2	29
50	связи с	12	29
51	что он	5	29
52	из них	4	28
53	в основе	2	28
54	также и	6	28
55	и к	4	28
56	роль в	2	27
57	по своему	2	27
58	и другие	6	27
59	и их	3	27
60	все же	9	27
61	кроме того	3	26
62	на самом	4	25
63	но это	6	25
64	того чтобы	4	24
65	в частности	2	24
66	например в	2	24
67	но не	8	24
68	в большинстве	3	24
69	как в	5	24
70	и у	3	24
71	и для	4	23
72	это не	6	23
73	и здесь	7	23
74	есть и	4	23
75	к нему	3	23
76	большинстве случаев	3	23
77	а в	8	22
78	что и	10	22
79	там где	5	22
80	тем что	4	22
81	в своих	2	21
82	в качестве	8	21
83	что это	3	21
84	ни в	3	21
85	одним из	2	21
86	и как	6	21
87	в образе	6	20
88	а также	7	20
89	одной из	2	20
90	этом отношении	2	20
91	с точки	6	20
92	самом деле	4	20
93	в связи	10	20
94	в форме	6	19
95	их в	2	19
96	хотя и	5	19
97	к этому	4	19
98	было бы	5	19
99	далеко не	5	19
100	с другой	9	19
101	на этом	4	18
102	здесь не	3	18
103	превращается в	2	18
104	но они	2	18
105	это и	3	18
106	перед нами	14	18
107	одна из	5	18
108	для того	3	17
109	но все	4	17
110	того что	3	17
111	можно было	4	17
112	в результате	8	17
113	связана с	3	17
114	на его	5	17
115	а не	11	17
116	между тем	5	16
117	ничего не	5	16
118	в начале	3	16
119	в другом	2	16
120	они не	3	16
121	с одной	2	16
122	никто не	4	15
123	в нашем	6	15
124	а затем	10	15
125	в которой	3	15
126	из этих	2	15
127	мы не	8	14
128	по существу	13	14
129	в данном	2	14
130	несмотря на	4	14
131	и по	3	14
132	в чем	2	14
133	здесь только	2	14
134	это было	3	13
135	в других	5	13
136	или в	6	13
137	с этим	14	13
138	бы в	2	13
139	и есть	3	13
140	не на	2	13
141	в одной	2	13
142	они и	5	13
143	одной стороны	2	13
144	не знает	2	13
145	этот момент	5	12
146	только для	2	12
147	у нас	3	12
148	не могут	7	12
149	право на	2	12
150	в пределах	3	12
151	благодаря этому	3	12
152	и ее	5	12
153	та же	3	12
154	главным образом	5	12
155	но здесь	2	12
156	можно сказать	2	12
157	другой стороны	5	12
158	об этом	5	12
159	так например	3	11
160	это уже	3	11
161	и более	2	11
162	в свое	2	11
163	того как	2	11
164	уже не	4	11
165	и что	3	11
166	момент в	2	11
167	между собою	2	11
168	что они	5	11
169	очень часто	6	11
170	данном случае	2	10
171	до наших	2	10
172	в доме	2	10
173	на котором	4	10
174	наших дней	2	10
175	на этот	2	10
176	со смертью	2	10
177	в таких	3	10
178	к тому	5	10
179	ту же	2	10
180	целый ряд	3	10
181	во второй	2	10
182	по отношению	7	10
183	в целом	5	10
184	но оно	2	10
185	значение и	3	9
186	эти формы	2	9
187	но как	3	9
188	как это	7	9
189	в основу	2	9
190	некоторые из	3	9
191	отношению к	7	9
192	видим что	12	9
193	для нас	2	9
194	в тех	8	9
195	для этой	3	9
196	нашей работы	2	9
197	не имеет	2	9
198	в которых	2	9
199	же в	3	9
200	здесь же	3	9
201	мы можем	5	9
202	от него	2	8
203	с этой	3	8
204	здесь мы	3	8
205	с тем	2	8
206	если бы	3	8
207	но эти	3	8
208	мы увидим	10	8
209	нельзя было	2	8
210	как они	2	8
211	в совершенно	2	8
212	и при	3	8
213	более или	2	8
214	сам он	3	8
215	на первый	3	8
216	но с	2	8
217	или менее	2	8
218	не менее	7	8
219	дело не	2	8
220	то время	3	8
221	не будем	5	7
222	в одну	2	7
223	тому как	5	7
224	мы будем	3	7
225	и за	2	7
226	в виде	3	7
227	во всяком	2	7
228	себя в	2	7
229	вот как	2	7
230	по всему	3	7
231	подобно тому	6	7
232	из которых	5	7
233	играют в	2	7
234	том как	2	7
235	на него	4	7
236	к себе	2	7
237	в настоящее	3	7
238	а на	3	7
239	в различных	2	7
240	настоящее время	3	7
241	в некоторых	4	7
242	и этим	7	7
243	в нее	2	6
244	смысле слова	4	6
245	и тот	2	6
246	он может	2	6
247	вряд ли	2	6
248	входит в	4	6
249	что эта	2	6
250	ее в	3	6
251	могут быть	21	6
252	что она	2	6
253	его и	2	6
254	друг друга	3	6
255	в один	3	6
256	дается в	2	6
257	хотя бы	5	6
258	от того	4	6
259	очень много	2	6
260	имеем в	8	6
261	как будто	2	6
262	тем же	2	6
263	тех же	4	6
264	видно что	5	6
265	и пр	45	6
266	говорить о	4	6
267	но мы	3	5
268	вступают в	3	5
269	в первом	5	5
270	должна быть	2	5
271	их как	2	5
272	к началу	4	5
273	первом случае	3	5
274	из его	2	5
275	с собой	3	5
276	не является	4	5
277	что мы	2	5
278	чем в	2	5
279	ничем не	2	5
280	и дает	2	5
281	с другими	2	5
282	совсем не	3	5
283	и когда	2	5
284	как например	2	5
285	и этот	2	5
286	ни было	2	5
287	если мы	6	5
288	всяком случае	2	5
289	и только	3	5
290	всех других	2	5
291	без всякой	2	5
292	во втором	7	5
293	себя и	2	5
294	в собственном	3	5
295	вообще не	2	5
296	по их	5	5
297	живой и	2	5
298	то в	3	5
299	один раз	2	5
300	в числе	2	5
301	независимо от	4	5
302	мы имеем	19	5
303	на то	3	5
304	состоит из	3	4
305	он должен	3	4
306	иногда в	8	4
307	что этот	2	4
308	этот же	2	4
309	у нее	2	4
310	о происхождении	2	4
311	но если	10	4
312	и заставляет	2	4
313	и больше	2	4
314	что эти	3	4
315	животных и	3	4
316	ряд других	2	4
317	также в	2	4
318	если же	5	4
319	учение о	5	4
320	но для	3	4
321	этого нельзя	2	4
322	это явление	5	4
323	не так	2	4
324	заметить что	11	4
325	который в	2	4
326	быть и	2	4
327	в наши	2	4
328	имеется в	3	4
329	носит характер	2	4
330	или же	7	4
331	оно не	2	4
332	этот вопрос	4	4
333	без всякого	2	4
334	в очень	2	4
335	если в	7	4
336	есть нечто	3	4
337	и тем	3	4
338	не входит	2	4
339	когда в	2	4
340	о его	4	4
341	к ней	3	4
342	нами в	4	4
343	не по	2	4
344	на нем	3	4
345	собственном смысле	3	4
346	в каком	2	3
347	очень важный	2	3
348	что многие	2	3
349	можно наблюдать	8	3
350	относятся к	2	3
351	она не	2	3
352	с того	3	3
353	и другим	3	3
354	не что	2	3
355	же она	3	3
356	что иное	2	3
357	ни к	2	3
