N	2gram	Nazirov_Vr	Narrotol
1	не только	9	62
2	и не	5	50
3	при этом	4	47
4	но и	7	45
5	может быть	4	30
6	и в	8	30
7	в том	3	29
8	том что	3	28
9	тогда как	2	28
10	в этом	8	28
11	а в	2	27
12	как и	6	24
13	то что	7	23
14	не может	2	20
15	в себе	2	17
16	а также	2	17
17	в его	3	16
18	но в	6	15
19	и т.п	2	15
20	и его	3	14
21	в своем	3	13
22	в своей	2	13
23	то же	5	13
24	у него	5	13
25	о том	4	13
26	уже не	2	13
27	все же	6	12
28	как бы	4	12
29	к себе	2	11
30	об этом	5	11
31	в нем	6	11
32	в этой	2	11
33	в мире	2	11
34	никогда не	2	10
35	в то	5	10
36	точки зрения	2	10
37	и все	7	10
38	между тем	5	10
39	с его	3	10
40	еще не	2	9
41	что он	4	9
42	что в	7	9
43	отнюдь не	2	9
44	для него	2	9
45	далеко не	3	9
46	столь же	2	9
47	с ним	4	9
48	как раз	2	9
49	о чем	2	8
50	матери и	3	8
51	не менее	2	8
52	одна из	2	8
53	и он	2	8
54	в той	2	8
55	же время	5	8
56	он не	3	8
57	не мог	2	8
58	в свою	2	7
59	это не	4	7
60	в конце	3	7
61	в чем	3	7
62	в ней	4	7
63	же в	2	7
64	в глазах	2	7
65	в котором	6	7
66	о нем	6	6
67	ответ на	2	6
68	в известном	2	6
69	что у	3	6
70	на то	3	6
71	таким образом	2	6
72	и у	3	5
73	и о	3	5
74	место в	2	5
75	я не	3	5
76	и то	2	5
77	в начале	6	5
78	тем более	2	5
79	и даже	6	5
80	их в	2	5
81	в своих	4	5
82	в русской	3	5
83	из них	2	5
84	не было	5	5
85	он сам	2	5
86	и уже	3	5
87	и ее	2	4
88	начиная с	2	4
89	в виду	4	4
90	в них	2	4
91	так в	2	4
92	к этому	3	4
93	за границей	2	4
94	и как	3	4
95	человека в	3	4
96	раз в	3	4
97	что я	2	4
98	и с	6	4
99	для нас	4	4
100	несмотря на	4	4
101	о которой	2	4
102	вместе с	2	4
103	так же	4	3
104	но как	2	3
105	в романе	6	3
106	а с	2	3
107	к ним	2	3
108	в него	2	3
109	и это	2	3
110	же не	2	3
111	же как	2	3
112	связи с	3	3
113	в связи	3	3
114	во время	2	3
115	речь идет	3	3
116	но это	2	3
117	о себе	3	3
118	с точки	2	3
119	и что	8	3
120	наряду с	3	3
121	но он	3	3
122	в это	2	2
123	давно уже	3	2
124	достоевского и	7	2
125	после этого	2	2
126	в момент	2	2
127	в повести	2	2
128	в году	18	2
129	с нею	2	2
130	у тургенева	11	2
131	и во	3	2
132	в россии	5	2
133	это в	2	2
134	по мнению	2	2
135	на это	2	2
136	в этот	3	2
137	целый ряд	4	2
138	на первый	2	2
139	все это	4	2
140	тем что	3	2
141	одним из	3	2
142	от сознания	2	2
143	в лицо	2	2
144	его и	2	2
145	но после	2	2
146	русской литературе	3	2
147	отношение к	2	2
148	во многом	4	2
149	и стал	2	2
150	с которым	2	2
151	после смерти	2	2
