N	2gram	Propp_Isto	Russkaja
1	не может	8	22
2	и не	16	19
3	в том	13	17
4	в этом	25	17
5	с другом	2	14
6	и в	43	14
7	друг с	2	14
8	то что	20	13
9	точки зрения	3	11
10	то же	11	11
11	таким образом	15	11
12	в то	2	10
13	но и	24	10
14	не только	28	9
15	том что	12	9
16	может быть	22	9
17	в себе	2	9
18	во всяком	2	9
19	прежде всего	3	8
20	к богу	2	7
21	и с	10	7
22	к тому	9	7
23	о том	4	7
24	в данном	7	7
25	мы должны	9	7
26	и если	3	7
27	с тем	3	6
28	на самом	2	6
29	и для	3	6
30	и к	4	6
31	если бы	7	6
32	всяком случае	2	6
33	все это	4	6
34	и при	2	6
35	что он	17	6
36	в своем	2	6
37	вопрос о	4	5
38	а в	13	5
39	на то	4	5
40	было бы	5	5
41	хотя бы	3	5
42	между собой	2	5
43	и на	7	5
44	потому что	8	5
45	при этом	4	5
46	в нем	11	5
47	он должен	3	5
48	в своей	4	5
49	конечно не	3	5
50	только в	8	5
51	никогда не	9	5
52	и только	6	5
53	он не	11	5
54	сих пор	7	5
55	между тем	2	5
56	по существу	3	5
57	до сих	7	5
58	и то	4	4
59	что в	29	4
60	но не	10	4
61	его в	7	4
62	все же	13	4
63	себя в	2	4
64	к этой	2	4
65	не в	9	4
66	как и	9	4
67	ли это	2	4
68	как бы	5	4
69	все что	4	4
70	можно было	3	4
71	так как	13	4
72	что же	2	4
73	которой он	3	4
74	жизни и	2	4
75	в его	7	4
76	со стороны	3	4
77	на земле	2	4
78	во всем	3	4
79	в этой	7	4
80	себе и	2	4
81	вместе с	12	4
82	от того	3	4
83	данном случае	6	3
84	да и	2	3
85	одна из	2	3
86	то это	5	3
87	и этот	2	3
88	в большинстве	2	3
89	что это	4	3
90	этом случае	8	3
91	на том	3	3
92	из этих	5	3
93	она может	2	3
94	не есть	3	3
95	всех этих	3	3
96	и потому	2	3
97	в другом	11	3
98	главным образом	3	3
99	из них	7	3
100	но если	2	3
101	и как	6	3
102	можно ли	3	3
103	знаем что	9	3
104	для них	3	3
105	что и	17	3
106	или в	14	3
107	он сам	2	3
108	таким же	5	3
109	и по	6	3
110	связи с	9	3
111	еще не	15	3
112	в виде	2	3
113	того что	8	3
114	в качестве	4	3
115	что они	14	3
116	друг друга	6	3
117	не было	2	3
118	и т	33	3
119	при котором	2	3
120	тем что	8	3
121	и о	2	2
122	в течение	6	2
123	и от	3	2
124	но она	2	2
125	с этим	13	2
126	в таких	3	2
127	есть и	7	2
128	большинстве случаев	3	2
129	ее в	3	2
130	к нему	12	2
131	указывает на	6	2
132	на этой	2	2
133	она не	4	2
134	только с	2	2
135	все члены	2	2
136	но в	15	2
137	ни в	2	2
138	в котором	5	2
139	так же	16	2
140	их в	6	2
141	на себя	5	2
142	в начале	2	2
143	для нее	2	2
144	это в	2	2
145	состоит в	4	2
146	в ней	3	2
147	уже не	11	2
148	на которой	3	2
149	на это	4	2
150	этот вопрос	3	2
151	в некоторых	9	2
152	по отношению	2	2
153	но для	2	2
154	даже не	2	2
155	если не	2	2
156	в силу	2	2
157	и даже	4	2
158	а не	13	2
159	и тот	3	2
160	для нас	6	2
161	одному из	2	2
162	по этому	2	2
163	по себе	3	2
164	от него	3	2
165	мы можем	10	2
166	не можем	2	2
167	целый ряд	3	2
168	точно так	8	2
169	к себе	3	2
170	в других	6	2
171	и тем	2	2
172	к чему	2	2
173	другом случае	3	2
174	и вот	3	2
175	тогда как	6	2
176	и что	6	2
177	но это	5	2
178	это только	2	2
179	все эти	8	2
180	совершенно не	2	2
181	у многих	2	2
182	не просто	4	2
183	в этих	18	2
184	так часто	4	2
185	только на	2	2
186	в частности	6	2
187	и есть	3	2
188	так что	8	2
189	во время	8	2
190	как будто	2	2
191	друг другу	2	2
192	именно на	2	2
193	во многих	2	2
194	должна быть	2	2
195	его и	6	2
196	если же	2	2
197	быть и	3	2
198	приводят к	2	2
199	у него	4	2
200	видеть в	3	2
201	мы уже	9	2
202	и более	3	2
203	переносится на	3	2
204	ясно что	2	2
