N	2gram	Nazirov_Tv	VrazhdaK
1	в году	22	18
2	у тургенева	2	11
3	в бесах	8	10
4	не только	16	9
5	и достоевского	2	9
6	достоевского с	12	9
7	достоевский и	4	8
8	достоевский в	7	8
9	и что	2	8
10	в этом	11	8
11	и в	40	8
12	что в	17	7
13	но и	10	7
14	и все	6	7
15	достоевского в	19	7
16	достоевского и	5	7
17	то что	9	7
18	года в	7	7
19	но в	11	6
20	как и	16	6
21	в котором	8	6
22	в начале	2	6
23	в нем	4	6
24	и с	9	6
25	о нем	2	6
26	все же	9	6
27	в романе	24	6
28	и даже	8	6
29	и не	12	5
30	г а	3	5
31	не было	3	5
32	об этом	4	5
33	в россии	5	5
34	то же	19	5
35	в то	23	5
36	же время	18	5
37	у него	11	5
38	между тем	2	5
39	что достоевский	10	4
40	уже в	5	4
41	у достоевского	51	4
42	во многом	8	4
43	в своих	8	4
44	это не	9	4
45	в россию	2	4
46	в виду	3	4
47	все это	14	4
48	при этом	14	4
49	о том	9	4
50	в ней	2	4
51	как бы	26	4
52	х годов	3	4
53	так же	6	4
54	что он	11	4
55	достоевского не	12	4
56	в истории	2	4
57	в дневнике	3	4
58	ставрогина в	2	4
59	с ним	4	4
60	подпольного человека	14	4
61	может быть	11	4
62	человека в	9	3
63	давно уже	2	3
64	и у	3	3
65	в том	13	3
66	в чем	4	3
67	одним из	6	3
68	его в	2	3
69	года достоевский	3	3
70	в петербург	2	3
71	далеко не	3	3
72	что у	5	3
73	в своем	4	3
74	в черновиках	6	3
75	том что	14	3
76	в его	19	3
77	сам достоевский	3	3
78	в связи	2	3
79	апреля года	4	3
80	и о	2	3
81	достоевского о	2	3
82	и его	14	3
83	достоевский не	7	3
84	и как	5	3
85	в этот	3	3
86	он был	2	3
87	в русской	5	3
88	он не	10	3
89	достоевского к	5	3
90	связи с	2	3
91	эти слова	3	3
92	к этому	4	3
93	из подполья	19	3
94	но он	3	3
95	я не	5	3
96	русской литературе	4	3
97	наряду с	6	3
98	года он	3	3
99	в конце	5	3
100	по нашему	9	3
101	марта года	4	3
102	с его	12	3
103	тем что	2	3
104	никогда не	13	2
105	в честь	2	2
106	же не	2	2
107	уже не	6	2
108	в мире	8	2
109	одна из	5	2
110	молодого достоевского	5	2
111	и достоевский	5	2
112	начиная с	2	2
113	место в	6	2
114	в него	2	2
115	записки из	8	2
116	для него	9	2
117	при помощи	4	2
118	и это	2	2
119	в в	2	2
120	неточку незванову	2	2
121	роман достоевского	4	2
122	мы знаем	2	2
123	а в	10	2
124	человека с	2	2
125	году достоевский	2	2
126	он писал	2	2
127	он сам	8	2
128	в этой	7	2
129	тогда как	3	2
130	достоевского он	2	2
131	столь же	2	2
132	том же	3	2
133	и наказания	6	2
134	в нашей	2	2
135	в своей	8	2
136	тургенева что	2	2
137	как раз	2	2
138	достоевский писал	2	2
139	и он	4	2
140	в себе	3	2
141	еще не	5	2
142	пришел к	2	2
143	в повести	5	2
144	же как	3	2
145	это в	3	2
146	таким образом	14	2
147	из повести	3	2
148	во время	2	2
149	что я	4	2
150	в момент	5	2
151	году в	3	2
152	с князем	2	2
153	его и	2	2
154	в свою	8	2
155	по мнению	4	2
156	этот роман	2	2
157	в письмах	3	2
158	о которой	2	2
159	рядом с	2	2
160	не может	9	2
161	в роман	3	2
162	из них	4	2
163	не менее	8	2
164	там же	11	2
165	но это	10	2
166	в глазах	2	2
167	с которым	2	2
168	отнюдь не	9	2
169	а с	4	2
170	время он	2	2
171	м м	19	2
172	не мог	3	2
173	этот момент	2	2
174	вместе с	4	2
175	в известном	2	2
176	и далее	4	2
