N	3gram	Medvedev_F	Vladivir
1	в том что	3	29
2	тем не менее	2	18
3	во всяком случае	6	12
4	в связи с	9	12
5	более или менее	7	11
6	в конце концов	2	11
7	в то же	13	10
8	с точки зрения	17	10
9	не может быть	11	10
10	вместе с тем	5	10
11	как раз и	4	9
12	то же время	13	9
13	в этом смысле	3	9
14	как мы знаем	2	6
15	в данном случае	2	6
16	в отличие от	2	6
17	в настоящее время	11	6
18	как мы видели	5	6
19	с другой стороны	4	6
20	и в этом	6	6
21	бы то ни	4	5
22	но даже и	2	5
23	и в то	4	5
24	что и в	2	5
25	сам по себе	2	4
26	в этом отношении	7	4
27	с одной стороны	5	4
28	для того чтобы	3	4
29	и т д	11	4
30	в том чтобы	3	4
31	в том случае	2	3
32	с самого начала	2	3
33	ничего общего с	2	3
34	начала и до	2	3
35	в самом деле	5	3
36	во что бы	3	3
37	и до конца	3	3
38	и в частности	2	3
39	не только не	2	3
40	в связи со	2	3
41	к тому что	3	3
42	с начала и	2	3
43	что бы то	3	3
44	не в том	3	3
45	в свою очередь	6	3
46	то ни стало	4	3
47	раз и навсегда	2	3
48	и прежде всего	2	2
49	и не в	2	2
50	только и может	4	2
51	так и в	6	2
52	может быть и	4	2
53	с тем что	3	2
54	но в то	3	2
55	сводится к тому	2	2
56	до сих пор	7	2
57	как мы увидим	3	2
58	одной стороны и	4	2
59	что в нем	2	2
60	связи с этим	4	2
61	как это было	2	2
