N	3gram	Vygotskiy_	Narrotol
1	в том что	33	18
2	в данном случае	3	17
3	по отношению к	19	11
4	в отличие от	3	11
5	о том что	7	9
6	в этом отношении	7	8
7	не может быть	4	8
8	можно сказать что	7	6
9	и тем самым	3	6
10	с одной стороны	10	6
11	в известном смысле	7	6
12	состоит в том	7	6
13	мы имеем дело	2	6
14	но при этом	2	5
15	на самом деле	3	5
16	подобно тому как	6	5
17	для того чтобы	20	5
18	в свою очередь	4	5
19	к тому что	5	4
20	во всяком случае	2	4
21	то же самое	7	3
22	в этом и	2	3
23	в первом случае	2	3
24	и не может	3	3
25	в связи с	6	3
26	с точки зрения	12	3
27	в самом деле	6	3
28	до сих пор	3	3
29	в зависимости от	2	3
30	на то что	5	3
31	друг на друга	2	3
32	и то что	6	3
33	тем или иным	2	2
34	не только не	7	2
35	но все же	2	2
36	а с другой	3	2
37	одного и того	8	2
38	по своей природе	2	2
39	в той мере	3	2
40	можно было бы	8	2
41	мере в какой	3	2
42	так же как	9	2
43	что иное как	2	2
44	той мере в	3	2
45	тому что он	4	2
46	смысле можно сказать	2	2
47	и того же	8	2
48	именно то что	3	2
