N	3gram	Losev_Prob	EvropaiC
1	в том что	7	16
2	до сих пор	6	15
3	более или менее	7	8
4	с точки зрения	3	8
5	на самом деле	6	7
6	для того чтобы	9	7
7	на то что	12	7
8	мы говорили выше	2	6
9	так или иначе	7	5
10	в самом деле	4	5
11	в том случае	2	4
12	тем не менее	25	4
13	с другой стороны	7	4
14	в конце концов	11	4
15	в этом случае	6	4
16	в этой области	5	4
17	может быть и	5	4
18	о том что	16	4
19	о которых мы	2	4
20	не может быть	5	4
21	вместе с тем	2	3
22	бы то ни	2	3
23	так же как	2	3
24	в настоящее время	17	3
25	в данном случае	10	3
26	и того же	2	3
27	одного и того	2	3
28	в связи с	7	3
29	заключается в том	2	3
30	и то что	9	3
31	ничего общего с	9	2
32	с одной стороны	4	2
33	во всяком случае	11	2
34	в то время	2	2
35	во всех этих	2	2
36	что же касается	3	2
37	в то же	4	2
38	друг к другу	2	2
39	так и для	2	2
40	только то что	6	2
