N	2gram	Vygotskiy_	UchenyiS
1	и в	38	14
2	не только	16	10
3	а не	7	10
4	и не	16	8
5	прежде всего	6	8
6	то что	27	7
7	не может	11	7
8	в этом	35	7
9	может быть	25	6
10	и только	4	5
11	то же	18	5
12	хотя бы	2	5
13	все это	8	5
14	в конечном	2	4
15	но и	9	4
16	в этой	7	4
17	с другой	11	4
18	в их	12	4
19	в частности	4	3
20	для этого	3	3
21	и т.д	8	3
22	это не	5	3
23	формы в	3	3
24	только к	2	3
25	и то	9	3
26	в своей	9	3
27	все же	11	3
28	не как	3	3
29	нашему мнению	2	3
30	как и	20	3
31	в то	5	3
32	но в	4	3
33	этой области	2	3
34	по нашему	2	3
35	ни было	2	3
36	было бы	15	3
37	в области	9	3
38	другой стороны	5	3
39	для него	6	3
40	в самом	8	2
41	в себе	9	2
42	что мы	18	2
43	и у	7	2
44	мы и	4	2
45	же не	3	2
46	нас в	4	2
47	является в	4	2
48	же самое	9	2
49	что он	13	2
50	на каждом	4	2
51	к области	2	2
52	таким образом	36	2
53	т.е в	2	2
54	формы и	3	2
55	но не	7	2
56	и для	4	2
57	если бы	12	2
58	между тем	10	2
59	самом деле	4	2
60	только в	16	2
61	одним из	6	2
62	этом смысле	7	2
63	и является	2	2
64	не есть	5	2
65	что она	7	2
66	всех этих	2	2
67	и с	5	2
68	что и	14	2
69	каждом шагу	4	2
70	могут быть	9	2
71	на первый	5	2
72	не могут	5	2
73	смысле этого	10	2
74	сих пор	3	2
75	по себе	11	2
76	тем что	12	2
77	том что	44	2
78	а как	2	2
79	в его	22	2
80	все они	2	2
81	в том	59	2
82	что все	2	2
83	этом отношении	9	2
84	с его	3	2
85	но это	7	2
86	по существу	4	2
87	установку на	2	2
88	не в	10	2
89	бы и	2	2
90	мы не	14	2
91	до сих	3	2
92	могли бы	16	2
93	не столько	4	2
