N	2gram	Vinokur_Ku	Narrotol
1	не только	29	62
2	и не	23	50
3	при этом	6	47
4	но и	13	45
5	а не	17	38
6	в качестве	12	35
7	в частности	6	31
8	может быть	25	30
9	и в	44	30
10	в том	47	29
11	своего рода	4	28
12	том что	30	28
13	тогда как	2	28
14	в этом	31	28
15	а в	7	27
16	состоит в	4	25
17	только в	15	25
18	в данном	8	24
19	как и	3	24
20	не в	18	23
21	то что	14	23
22	не может	13	20
23	данном случае	2	17
24	в себе	4	17
25	так и	10	17
26	а также	3	17
27	со стороны	8	16
28	в его	16	16
29	но в	11	15
30	можно сказать	6	15
31	иначе говоря	2	15
32	к тому	8	15
33	и его	8	14
34	в своем	4	13
35	в своей	4	13
36	то же	12	13
37	у него	3	13
38	о том	10	13
39	уже не	13	13
40	перед нами	4	12
41	все же	17	12
42	прежде всего	14	12
43	как в	6	12
44	как бы	11	12
45	сводится к	3	12
46	тем самым	5	11
47	по отношению	9	11
48	к себе	4	11
49	и тем	7	11
50	отличие от	3	11
51	об этом	4	11
52	в нем	7	11
53	в этой	8	11
54	если бы	21	11
55	отношению к	9	11
56	в отличие	3	11
57	хотя и	7	11
58	никогда не	2	10
59	всего лишь	3	10
60	в то	4	10
61	ничего не	6	10
62	как это	6	10
63	один из	8	10
64	точки зрения	25	10
65	того что	11	10
66	как правило	2	10
67	не является	2	10
68	и все	4	10
69	но не	11	10
70	тому же	2	10
71	между тем	11	10
72	с его	4	10
73	в соответствии	6	9
74	еще не	10	9
75	что он	7	9
76	что в	25	9
77	отнюдь не	5	9
78	в рамках	5	9
79	тем не	10	9
80	для него	2	9
81	далеко не	2	9
82	столь же	2	9
83	я в	2	9
84	потому что	40	9
85	с ним	5	9
86	как раз	10	9
87	или иной	3	8
88	о чем	2	8
89	самом деле	17	8
90	не менее	12	8
91	того чтобы	25	8
92	большей части	2	8
93	по большей	2	8
94	мы имеем	11	8
95	и он	4	8
96	этом отношении	8	8
97	у нас	19	8
98	и для	3	8
99	в самом	20	8
100	соответствии с	5	8
101	внимание на	5	8
102	в той	6	8
103	же время	4	8
104	в таком	3	8
105	он не	4	8
106	не мог	2	8
107	в свою	4	7
108	это не	13	7
109	в конце	5	7
110	в чем	2	7
111	в ней	6	7
112	на себя	3	7
113	в целом	5	7
114	в ее	2	7
115	же в	5	7
116	в речи	5	7
117	в силу	16	7
118	также и	7	7
119	с другой	14	7
120	в котором	4	7
121	и на	8	7
122	или в	5	7
123	в форме	3	7
124	одной стороны	2	6
125	в современной	3	6
126	о нем	2	6
127	они не	4	6
128	во втором	2	6
129	ответ на	2	6
130	однако в	2	6
131	в известном	2	6
132	что и	5	6
133	например в	5	6
134	сказать что	5	6
135	никак не	5	6
136	то и	4	6
137	из этих	5	6
138	здесь не	5	6
139	однако и	2	6
140	в результате	8	6
141	как у	2	6
142	с одной	3	6
143	что у	3	6
144	в нашем	8	6
145	на то	6	6
146	событие и	2	6
147	слова в	7	6
148	в конечном	3	6
149	в случае	2	6
150	таким образом	17	6
151	в слове	3	6
152	на самом	3	5
153	том как	3	5
154	такова что	2	5
155	в другом	2	5
156	и у	3	5
157	не всегда	4	5
158	а именно	4	5
159	точку зрения	2	5
160	дело с	2	5
161	и о	3	5
162	о котором	4	5
163	может служить	4	5
164	свидетельствует о	3	5
165	не столько	2	5
166	было бы	28	5
167	свою очередь	4	5
168	я не	5	5
169	и здесь	8	5
170	да и	5	5
171	и то	7	5
172	по поводу	2	5
173	и от	2	5
174	что это	11	5
175	с ними	6	5
176	так сказать	5	5
177	тем более	2	5
178	бы и	6	5
179	и даже	5	5
180	только что	2	5
181	для того	23	5
182	в пределах	8	5
183	в какой	7	5
184	не случайно	7	5
185	именно в	7	5
186	в своих	2	5
187	но для	4	5
188	если не	4	5
189	из них	4	5
190	в одном	4	5
191	не было	6	5
192	и того	2	5
193	и уже	2	5
194	как будто	2	5
195	даже в	4	4
196	в москве	2	4
197	еще раз	2	4
198	роль в	6	4
199	а на	3	4
200	в виду	7	4
201	в области	15	4
202	в них	10	4
203	тому что	3	4
204	на том	4	4
205	а то	2	4
206	так в	2	4
207	что на	2	4
208	что касается	4	4
209	не все	4	4
210	когда в	4	4
211	и когда	2	4
212	и по	4	4
213	не на	4	4
214	что они	5	4
215	в первом	3	4
216	как мы	2	4
217	но зато	2	4
218	хотя бы	19	4
219	могла бы	2	4
220	к этому	4	4
221	конечном счете	2	4
222	это было	2	4
223	и как	3	4
224	не имеет	6	4
225	не с	4	4
226	ли не	4	4
227	что я	4	4
228	в сфере	3	4
229	оно не	5	4
230	и с	11	4
231	для нас	6	4
232	по себе	10	4
233	несмотря на	6	4
234	всяком случае	8	4
235	к жизни	2	4
236	во всяком	8	4
237	или даже	2	4
238	в себя	2	4
239	вместе с	8	4
240	через посредство	3	3
241	еще и	7	3
242	до конца	3	3
243	и потому	6	3
244	идет о	3	3
245	так же	8	3
246	но как	2	3
247	как к	2	3
248	за собой	2	3
249	должен быть	8	3
250	в следующем	2	3
251	с этой	4	3
252	подобного рода	4	3
253	этого не	5	3
254	связано с	3	3
255	и вот	4	3
256	не знает	4	3
257	а с	3	3
258	здесь мы	2	3
