N	3gram	Bakhtin_Pr	TeoriaLi
1	в том что	6	10
2	по отношению к	5	10
3	в то же	8	8
4	то же время	8	8
5	с другой стороны	3	6
6	более или менее	3	6
7	не может быть	8	5
8	мы имеем в	3	3
9	с точки зрения	13	3
10	в этом смысле	5	3
11	в том числе	15	3
12	тем не менее	2	3
13	той или иной	2	3
14	можно сказать что	6	3
15	по своей природе	3	3
16	тех или иных	2	3
17	имеем в виду	3	3
18	это своего рода	2	2
19	том числе и	13	2
20	в соответствии с	2	2
21	и в то	3	2
22	как и в	4	2
23	может быть и	2	2
24	сама по себе	2	2
25	в отношении к	2	2
26	но в то	3	2
