N	3gram	Bakhtin_fo	TeoriaLi
1	в том что	4	10
2	по отношению к	3	10
3	в то же	10	8
4	то же время	13	8
5	в отличие от	3	7
6	в данном случае	2	5
7	для того чтобы	11	5
8	не может быть	4	5
9	и того же	6	4
10	одного и того	6	4
11	мы имеем в	2	3
12	с точки зрения	9	3
13	с одной стороны	3	3
14	в том числе	7	3
15	той или иной	3	3
16	в связи с	12	3
17	имеем в виду	3	3
18	одно и то	4	2
19	и то же	4	2
20	но он не	2	2
21	том числе и	4	2
22	в соответствии с	2	2
23	и в то	7	2
24	как и в	3	2
25	может быть и	4	2
26	в этом мире	7	2
27	но в то	2	2
28	не могло быть	3	2
