N	2gram	Propp_Russ	Stilisti
1	и в	59	42
2	как бы	18	30
3	не только	28	28
4	прежде всего	2	22
5	то же	6	16
6	но и	20	16
7	и не	6	14
8	не может	6	13
9	может быть	14	13
10	как и	19	12
11	точки зрения	3	11
12	мы уже	2	11
13	и как	2	10
14	отнюдь не	3	10
15	мы должны	3	10
16	в этом	18	10
17	как мы	11	10
18	в то	3	9
19	для того	6	9
20	все же	7	9
21	то что	10	9
22	при этом	11	9
23	мы не	11	9
24	ничего не	4	8
25	так как	25	8
26	и это	2	8
27	с тем	14	8
28	в ней	3	8
29	таким образом	10	8
30	и от	2	7
31	в которой	3	7
32	мы можем	2	7
33	так и	8	7
34	потому что	15	7
35	только в	4	7
36	а не	3	7
37	и на	14	7
38	того чтобы	6	7
39	было бы	3	7
40	и его	2	7
41	когда мы	2	6
42	и так	2	6
43	во всех	6	6
44	не в	2	6
45	в области	3	6
46	в нем	3	6
47	в свою	3	6
48	в его	3	6
49	в форме	3	6
50	слова в	3	6
51	в этой	4	6
52	и то	2	5
53	независимо от	3	5
54	и следовательно	2	5
55	в нашем	2	5
56	связанных с	2	5
57	то есть	3	5
58	мы увидим	8	5
59	не является	2	5
60	и наконец	2	5
61	и их	4	5
62	как это	11	5
63	а с	6	5
64	мы видели	3	5
65	но все	3	5
66	тому что	4	5
67	а в	16	5
68	но в	5	5
69	и с	12	5
70	уже в	2	5
71	с точки	3	5
72	вместе с	16	5
73	что это	4	4
74	в одном	4	4
75	так же	7	4
76	его в	9	4
77	что именно	3	4
78	не что	3	4
79	так называемой	3	4
80	свою очередь	2	4
81	у нас	11	4
82	влияние на	3	4
83	того что	6	4
84	можно было	3	4
85	один из	10	4
86	и все	4	4
87	в каждом	2	4
88	к тому	4	4
89	о том	14	4
90	и пр	4	4
91	уже не	9	4
92	и к	3	4
93	в целом	2	4
94	мы видим	2	4
95	не просто	3	4
96	связаны с	6	4
97	все это	12	4
98	в качестве	5	4
99	как только	2	4
100	не к	3	4
101	на самом	3	3
102	это не	14	3
103	том что	33	3
104	а к	3	3
105	в тех	5	3
106	и поэтому	3	3
107	перед нами	2	3
108	об этом	11	3
109	этого слова	3	3
110	и здесь	3	3
111	для наших	2	3
112	в виду	3	3
113	та же	4	3
114	в том	33	3
115	он должен	2	3
116	в частности	2	3
117	у них	2	3
118	еще не	7	3
119	только на	4	3
120	его и	2	3
121	как в	10	3
122	чаще всего	3	3
123	в разных	3	3
124	не с	5	3
125	по своему	2	3
126	и для	3	3
127	что у	3	3
128	в котором	2	3
129	их в	7	3
130	заметить что	3	3
131	должно было	5	3
132	ответ на	2	3
133	из которых	2	3
134	главным образом	5	3
135	но что	2	3
136	из них	12	3
137	для нас	12	3
138	хотя и	3	3
139	несмотря на	4	3
140	что и	8	3
141	все эти	5	3
142	связи с	6	3
143	до того	3	3
144	что эти	2	3
145	этом случае	9	3
146	между тем	9	3
147	связь между	2	3
148	вряд ли	2	3
149	здесь мы	3	3
150	что иное	3	2
151	до конца	5	2
152	для этого	6	2
153	вопрос о	4	2
154	очевидно что	2	2
155	и потому	3	2
156	как например	6	2
157	которые в	2	2
158	с этим	4	2
159	с другими	3	2
160	мы имеем	7	2
161	из этих	6	2
162	магический обряд	2	2
163	но даже	2	2
164	должно быть	2	2
165	каждый из	3	2
166	к этому	7	2
167	с ней	7	2
168	за столом	2	2
169	иное как	3	2
170	должны были	3	2
171	друг друга	3	2
172	должен быть	2	2
173	которые с	2	2
174	а на	8	2
175	в середине	4	2
176	на первый	3	2
177	кроме того	3	2
178	но эта	2	2
179	тем что	7	2
180	в их	5	2
181	том же	6	2
182	не всегда	4	2
183	ее с	2	2
184	и при	2	2
185	в этих	3	2
186	что он	2	2
187	останавливаться на	2	2
188	нас не	3	2
189	наших целей	2	2
190	связано с	3	2
191	должна была	6	2
192	в приведенных	2	2
193	в пределах	2	2
194	в какой	3	2
195	подойти к	2	2
196	только тогда	3	2
197	увидим что	2	2
198	в жизни	2	2
199	на этот	3	2
200	но не	7	2
201	как уже	6	2
202	в него	2	2
203	к нему	3	2
204	будут рассмотрены	4	2
205	связанные с	5	2
206	в своих	3	2
207	с собой	4	2
208	ту же	2	2
209	тех случаях	2	2
210	этот вопрос	4	2
211	о них	2	2
212	в которых	8	2
213	и те	3	2
214	представляет собой	5	2
215	между собой	4	2
216	место в	2	2
217	о чем	7	2
218	для них	5	2
219	не было	3	2
220	как не	2	2
221	между двумя	2	2
222	но это	5	2
223	или даже	3	2
224	не будут	2	2
225	или в	7	2
226	в связи	4	2
227	таким же	4	2
228	природы и	3	2
229	значение и	2	2
230	случаях когда	2	2
231	в дальнейшем	2	2
232	с ним	2	2
233	тот же	2	2
234	тем и	4	2
235	именно с	3	2
