N	2gram	Medvedev_U	VLabPisa
1	таким образом	2	32
2	в этом	7	29
3	не только	10	26
4	и в	14	26
5	может быть	6	23
6	хотя бы	5	20
7	и не	8	20
8	художественного творчества	5	19
9	не может	7	17
10	в том	2	15
11	в его	2	15
12	этом отношении	2	14
13	прежде всего	8	13
14	все это	5	13
15	в частности	3	12
16	с другой	4	11
17	то же	5	10
18	не могут	2	10
19	но и	4	10
20	в художественном	5	10
21	для него	3	9
22	том что	2	8
23	не следует	3	8
24	могут быть	2	8
25	другой стороны	3	8
26	было бы	3	8
27	только в	2	8
28	очевидно что	3	7
29	это не	3	7
30	художественное произведение	5	7
31	то что	7	7
32	как и	3	7
33	в конечном	4	7
34	а не	10	7
35	художественном творчестве	2	6
36	не в	2	6
37	в то	3	6
38	в себе	2	6
39	художественного произведения	2	6
40	все же	3	6
41	думается что	2	6
42	в искусстве	6	6
43	бы и	2	6
44	между тем	2	6
45	конечном счете	4	5
46	в их	4	5
47	одним из	2	5
48	вот почему	7	5
49	же время	3	5
50	что он	2	4
51	по существу	2	4
52	что все	2	4
53	их и	2	4
54	в самом	2	4
55	как раз	2	4
56	в своей	3	4
57	в этой	4	4
58	художественном произведении	2	4
59	с его	2	4
60	всех этих	2	3
61	но даже	2	3
62	в конце	2	3
63	если бы	2	3
64	у нас	3	3
65	говоря иначе	2	3
66	даже и	2	3
67	что и	2	3
68	сводится к	2	3
69	этой области	3	3
70	не о	3	2
71	меньшей степени	2	2
72	о чем	2	2
73	крайней мере	2	2
74	что она	2	2
75	и через	2	2
76	и формы	3	2
77	а о	2	2
78	и у	2	2
79	конце концов	2	2
80	а как	2	2
81	все они	2	2
82	в области	3	2
83	не приходится	2	2
84	по крайней	2	2
85	сих пор	2	2
86	формы и	2	2
87	же самое	2	2
88	но не	2	2
89	и для	2	2
90	но в	3	2
91	что такое	4	2
92	к сожалению	3	2
93	не столько	2	2
94	что мы	2	2
95	по себе	2	2
96	в противном	2	2
97	должна быть	2	2
98	противном случае	2	2
99	до сих	2	2
100	в системе	2	2
