N	3gram	Potebnia_M	VLabPisa
1	и т д	5	16
2	в этом отношении	2	14
3	и т п	7	9
4	с другой стороны	4	8
5	не может быть	7	8
6	по отношению к	10	7
7	более или менее	6	6
8	в то же	8	5
9	в том что	22	5
10	то же время	8	5
11	вместе с тем	5	4
12	не было бы	2	4
13	к тому что	3	4
14	можно сказать что	3	4
15	равно как и	2	4
16	не могут быть	3	4
17	подобно тому как	3	3
18	для того чтобы	5	3
19	о том что	5	3
20	по крайней мере	8	2
21	с одной стороны	4	2
22	не только не	4	2
23	во всяком случае	3	2
24	от того что	7	2
25	не было в	3	2
26	не только в	4	2
27	до сих пор	4	2
28	не в том	6	2
29	только в том	5	2
30	после того как	2	2
31	в том чтобы	4	2
32	из них не	2	2
