N	2gram	Tiupa_Hudo	Tragedij
1	и в	23	18
2	в романе	3	10
3	в году	2	9
4	в этом	12	9
5	не только	20	8
6	и не	16	7
7	и на	3	7
8	как бы	11	7
9	может быть	19	7
10	же время	7	6
11	что он	5	6
12	но в	10	6
13	и его	12	6
14	у него	2	6
15	несмотря на	2	5
16	к жизни	2	5
17	это не	4	5
18	то же	12	5
19	как и	3	5
20	так и	12	5
21	не может	9	5
22	в то	8	5
23	что в	7	4
24	еще не	4	4
25	в целом	3	4
26	но и	14	4
27	прежде всего	5	4
28	об этом	2	4
29	том что	9	4
30	в этой	2	4
31	и что	4	4
32	так же	2	4
33	все это	2	4
34	в нем	6	4
35	то что	5	4
36	я не	2	4
37	в себе	13	4
38	один из	2	3
39	своего рода	9	3
40	и как	4	3
41	в мире	24	3
42	тем самым	5	3
43	к нему	3	3
44	в своем	4	3
45	при этом	19	3
46	в его	11	3
47	все эти	2	3
48	мог бы	3	3
49	отнюдь не	2	3
50	о чем	3	3
51	с ее	6	3
52	и сам	3	3
53	никто не	3	3
54	как в	2	3
55	как это	7	3
56	для него	5	3
57	то есть	26	3
58	с ним	2	3
59	никогда не	2	2
60	в рассказе	3	2
61	в самом	7	2
62	и то	4	2
63	одна из	2	2
64	в душе	9	2
65	в одном	3	2
66	его в	4	2
67	поведение в	2	2
68	в данном	4	2
69	в ее	6	2
70	к тому	4	2
71	о том	2	2
72	в ходе	5	2
73	о его	2	2
74	что и	2	2
75	ни в	5	2
76	не в	9	2
77	столь же	2	2
78	потому что	3	2
79	о жизни	2	2
80	не просто	2	2
81	в частности	18	2
82	к области	3	2
83	только о	2	2
84	в таком	3	2
85	он не	4	2
86	и ее	3	2
87	уже не	6	2
88	что она	2	2
89	и это	2	2
90	говорит что	2	2
91	личности и	3	2
92	отличие от	7	2
93	в том	20	2
94	в глаза	2	2
95	дома и	2	2
96	который в	2	2
97	не случайно	3	2
98	в отличие	7	2
99	как говорит	3	2
100	для искусства	2	2
101	он и	2	2
102	с его	6	2
103	времени в	2	2
104	отношение к	7	2
