N	3gram	Medvedev_V	DiskursI
1	в том что	5	28
2	по отношению к	7	17
3	с одной стороны	2	14
4	не может быть	8	12
5	то же время	5	10
6	о том что	3	9
7	в то же	5	8
8	в этом отношении	14	8
9	по крайней мере	2	6
10	в конечном счете	5	6
11	одной стороны и	2	5
12	подобно тому как	3	5
13	не только в	2	5
14	с другой стороны	8	5
15	не в том	2	4
16	можно сказать что	4	4
17	в частности в	2	4
18	не было в	2	4
19	и не может	2	4
20	более или менее	6	3
21	в том числе	2	3
22	также и в	2	3
23	том числе и	2	3
24	во всяком случае	2	3
25	большей или меньшей	3	2
26	можно определить как	2	2
27	только то что	2	2
28	не удивительно что	3	2
29	только в том	2	2
30	следует понимать как	2	2
31	и в то	3	2
32	в одном из	4	2
33	в том чтобы	2	2
